
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/2aa02b9c8d62.pomdpx
  loading time : 3.73s 

SARSOP initializing ...
  initialization time : 790.54s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 790.54  0       0        0.555562   1.96839    1.41282     100      1        
 791.29  2       53       1.24257    1.80642    0.563852    118      17       
 792.23  4       109      1.48041    1.80624    0.325835    155      29       
 793.83  5       150      1.55622    1.80604    0.249819    171      46       
 795.49  7       200      1.64328    1.80568    0.162396    193      56       
 798.03  9       253      1.68798    1.80542    0.11744     36       65       
 802.52  11      313      1.7189     1.8051     0.0862026   34       79       
 805.31  12      350      1.73131    1.80499    0.0736745   27       86       
 808.37  14      403      1.75262    1.80484    0.052216    18       92       
 813.62  16      463      1.76332    1.80475    0.0414272   23       102      
 818.85  17      500      1.76808    1.80471    0.0366294   22       110      
 826.98  19      555      1.77516    1.80459    0.0294338   24       121      
 836.94  20      600      1.77797    1.80457    0.0266057   30       133      
 841.85  22      650      1.78268    1.80451    0.0218287   27       139      
 854.96  24      713      1.78619    1.80446    0.0182666   30       154      
 862.66  25      750      1.78757    1.80443    0.0168557   31       162      
 873.44  27      809      1.78996    1.8044     0.0144379   36       173      
 881.92  28      850      1.79084    1.80436    0.0135237   38       180      
 895.06  30      905      1.79229    1.80433    0.0120379   39       190      
 904.74  31      950      1.79292    1.80432    0.0113936   45       197      
 913.28  33      1001     1.794      1.80429    0.0102843   42       203      
 934.13  35      1065     1.79512    1.80427    0.00914096  42       220      
 946.77  36      1100     1.79551    1.80426    0.00875029  45       229      
 971.23  38      1163     1.79613    1.80424    0.00810714  50       244      
 982.87  39      1200     1.79657    1.80423    0.00765325  49       251      
 1008.35 41      1259     1.79706    1.8042     0.00714208  48       266      
 1023.5  42      1300     1.79723    1.80419    0.00695225  49       274      
 1044.23 44      1355     1.79769    1.80417    0.00648397  51       284      
 1053.7  45      1400     1.79789    1.80417    0.00627789  52       289      
 1075.88 47      1453     1.79818    1.80415    0.00596598  49       300      
 1102.12 49      1515     1.7985     1.80413    0.00563176  55       314      
 1118.66 50      1550     1.79859    1.80412    0.00552983  54       322      
 1143.34 52      1607     1.79883    1.8041     0.00526623  54       334      
 1178.34 53      1650     1.79897    1.80409    0.00512718  57       349      
 1202.67 55      1700     1.79912    1.80407    0.00495104  64       359      
 1241.28 57      1759     1.79929    1.80406    0.0047753   66       374      
 1272.5  58      1800     1.79936    1.80406    0.00470431  61       386      
 1309.24 60      1851     1.79949    1.80404    0.00455256  59       399      
 1347.84 62      1911     1.79959    1.80402    0.00442905  66       413      
 1376.5  63      1950     1.79965    1.80402    0.00436394  67       423      
 1418.92 65      2003     1.79977    1.80401    0.00423982  66       438      
 1464.93 67      2063     1.79988    1.804      0.00412329  67       453      
 1493.87 68      2100     1.79991    1.80399    0.00407262  63       462      
 1536.29 70      2153     1.8        1.80397    0.00397339  62       475      
 1580.74 72      2213     1.80009    1.80397    0.00387903  60       488      
 1613.42 73      2250     1.80012    1.80396    0.00384406  62       498      
 1674.25 75      2307     1.80019    1.80394    0.00375614  64       516      
 1723.14 76      2350     1.80022    1.80394    0.00371984  64       529      
 1764.44 78      2400     1.80028    1.80392    0.00364562  63       540      
 1817.22 80      2457     1.80034    1.80392    0.00357955  63       554      
 1885.62 81      2500     1.80036    1.80391    0.00355289  65       571      
 1930.45 83      2550     1.8004     1.8039     0.00350334  73       583      
 1984.89 85      2607     1.80044    1.8039     0.00345694  73       596      
 2059.87 86      2650     1.80046    1.80389    0.00343039  72       613      
 2123.99 88      2700     1.8005     1.80389    0.00338604  81       628      
 2201.83 90      2759     1.80052    1.80388    0.00336155  83       645      
 2261.67 91      2800     1.80054    1.80388    0.00334574  79       659      
 2321.63 93      2851     1.80058    1.80385    0.00327287  78       673      
 2407.2  95      2913     1.80062    1.80384    0.00322577  81       692      
 2464.79 96      2950     1.80064    1.80384    0.00320698  76       704      
 2536.18 98      3003     1.80068    1.80383    0.0031491   82       720      
 2612.05 100     3063     1.80071    1.80382    0.00310904  77       735      
 2664.9  101     3100     1.80073    1.80382    0.00308782  79       745      
 2737.27 103     3153     1.80077    1.8038     0.00303255  80       759      
Writing policy file: ./2aa02b9c8d62_105_2835.49.policy
Intermediate policy written(interval: 2000)
 2835.49 105     3213     1.80079    1.8038     0.00301191  86       777      
 2899.33 106     3250     1.8008     1.8038     0.00299596  83       790      
 2996.59 108     3305     1.80083    1.8038     0.00296379  83       807      
 3109.03 110     3350     1.80085    1.80378    0.00292804  89       827      
 3177.17 111     3400     1.80087    1.80377    0.00289349  89       839      
 3242.55 113     3455     1.8009     1.80376    0.00286509  82       850      
 3349.52 115     3500     1.80091    1.80376    0.00284652  85       869      
 3425.93 116     3550     1.80093    1.80375    0.00281489  89       882      
 3528.88 118     3605     1.80095    1.80373    0.00277352  90       899      
 3656.37 120     3650     1.80096    1.80372    0.00275911  94       920      
 3719.54 121     3700     1.80098    1.80371    0.00273303  94       932      
 3839.37 123     3755     1.801      1.80371    0.00270814  87       950      
 3949.97 124     3800     1.80101    1.8037     0.00268309  84       967      
 4026.9  126     3850     1.80103    1.80369    0.00265902  86       978      
 4161.61 128     3907     1.80105    1.80369    0.00264385  89       1001     
 4296.28 129     3950     1.80106    1.80368    0.00262548  90       1020     
 4391.45 131     4000     1.80107    1.80367    0.00259256  94       1033     
 4513.59 133     4057     1.80109    1.80366    0.00256139  87       1052     
 4620.92 134     4100     1.8011     1.80365    0.00254077  84       1068     
 4699.29 136     4150     1.80112    1.80364    0.00252029  82       1078     
 4834.88 138     4207     1.80113    1.80364    0.00250585  92       1096     
Writing policy file: ./2aa02b9c8d62_139_4966.9.policy
Intermediate policy written(interval: 2000)
 4966.9  139     4250     1.80114    1.80363    0.00249648  88       1113     
 5071.26 141     4300     1.80115    1.80362    0.00246363  96       1126     
 5213.72 143     4359     1.80116    1.8036     0.00243672  101      1144     
 5328.43 144     4400     1.80117    1.8036     0.00243019  103      1159     
 5457.66 146     4451     1.80118    1.80358    0.00240165  105      1175     
 5616.07 148     4511     1.8012     1.80358    0.00238315  108      1195     
 5728.29 149     4550     1.8012     1.80358    0.00237638  107      1210     
 5836.3  151     4601     1.80121    1.80358    0.00236357  106      1223     
 5971    153     4661     1.80122    1.80357    0.00234367  102      1239     
 6102.67 154     4700     1.80123    1.80357    0.00233828  103      1254     
 6253.26 156     4751     1.80124    1.80356    0.00232798  112      1270     
 6426.26 158     4811     1.80124    1.80356    0.0023139   107      1288     
 6551.33 159     4850     1.80125    1.80356    0.00230945  110      1303     
 6710.83 161     4901     1.80125    1.80355    0.00230003  110      1320     
 6820.35 163     4961     1.80126    1.80355    0.00228575  108      1332     
 6928.48 164     5000     1.80127    1.80355    0.00227903  104      1344     
Writing policy file: ./2aa02b9c8d62_166_7080.96.policy
Intermediate policy written(interval: 2000)
 7080.96 166     5053     1.80128    1.80355    0.00226904  99       1360     
 7273.75 168     5113     1.80129    1.80354    0.0022491   98       1380     
 7403.61 169     5150     1.80129    1.80352    0.00222952  106      1392     
 7532.74 171     5203     1.8013     1.80352    0.00221911  103      1405     
 7701.66 173     5250     1.8013     1.80352    0.00221505  103      1422     
 7797.91 174     5300     1.80131    1.8035     0.00218988  101      1435     
 7948.9  176     5355     1.80132    1.80349    0.00217494  108      1450     
 8109.61 178     5400     1.80132    1.80349    0.00217071  113      1470     
 8176.5  179     5450     1.80133    1.80348    0.00214939  110      1480     
 8252.1  181     5505     1.80133    1.80347    0.00213741  104      1491     
 8378.65 183     5550     1.80134    1.80347    0.00212929  107      1508     
 8464.3  184     5600     1.80134    1.80346    0.00212042  110      1522     
 8578    186     5655     1.80135    1.80345    0.00210002  106      1539     
 8691.25 188     5700     1.80135    1.80344    0.00208224  111      1557     
 8746.48 189     5750     1.80136    1.80343    0.00207274  110      1566     
 8851.16 191     5805     1.80136    1.80343    0.00206626  118      1582     
 8934.92 192     5850     1.80136    1.80343    0.00206491  116      1597     
 8981.81 194     5900     1.80137    1.80343    0.00206064  114      1605     
Writing policy file: ./2aa02b9c8d62_196_9088.13.policy
Intermediate policy written(interval: 2000)
 9088.13 196     5959     1.80137    1.80341    0.00203926  121      1624     
 9139.71 197     6000     1.80138    1.80341    0.00203692  123      1634     
 9206.44 199     6051     1.80138    1.8034     0.00202162  121      1646     
 9278.76 201     6113     1.80138    1.8034     0.00201873  125      1659     
 9304.18 202     6150     1.80138    1.8034     0.00201573  120      1664     
 9379.18 204     6207     1.80139    1.8034     0.00201071  119      1677     
 9447.77 205     6250     1.80139    1.8034     0.00200941  118      1690     
 9517.51 207     6303     1.80139    1.8034     0.00200442  121      1701     
 9608.05 209     6350     1.80139    1.80339    0.0020029   128      1718     
 9656.12 210     6400     1.8014     1.80339    0.0019936   135      1729     
 9747.19 212     6457     1.8014     1.80338    0.00198072  130      1745     
 9821.89 213     6500     1.8014     1.80338    0.00197778  132      1760     
 9875.84 215     6551     1.80141    1.80338    0.00197275  128      1769     
 9938.59 217     6613     1.80141    1.80338    0.00196844  129      1781     
 9996.69 218     6650     1.80141    1.80338    0.00196615  127      1792     
 10080.6 220     6705     1.80141    1.80337    0.00195364  132      1809     
 10161.4 221     6750     1.80142    1.80337    0.00194888  129      1823     
 10227.1 223     6800     1.80142    1.80336    0.00194112  130      1833     
 10302.3 225     6859     1.80142    1.80336    0.00193723  134      1845     
 10359.8 226     6900     1.80143    1.80336    0.00193544  131      1856     
 10430.3 228     6950     1.80143    1.80336    0.00192669  136      1868     
 10513.3 230     7009     1.80143    1.80335    0.00192138  135      1881     
 10571.9 231     7050     1.80143    1.80335    0.00191934  138      1891     
 10642   233     7100     1.80144    1.80335    0.00191622  142      1903     
 10732.5 235     7161     1.80144    1.80335    0.00191173  133      1919     
 10790.8 236     7200     1.80144    1.80335    0.00191093  129      1927     
 10872.4 238     7251     1.80144    1.80335    0.0019097   134      1938     
 10975.2 240     7311     1.80144    1.80335    0.00190541  142      1955     
 11045.9 241     7350     1.80144    1.80335    0.0019043   146      1965     
Writing policy file: ./2aa02b9c8d62_243_11116.8.policy
Intermediate policy written(interval: 2000)
 11116.8 243     7405     1.80145    1.80335    0.00190104  147      1978     
-------------------------------------------------------------------------------

SARSOP finishing ...
  Preset timeout reached
  Timeout     : 10000.000000s
  Actual Time : 11116.820000s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 11116.8 243     7405     1.80145    1.80335    0.00190104  147      1978     
-------------------------------------------------------------------------------

Writing out policy ...
  output file : ./2aa02b9c8d62.policyx

