
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/2aa0453f2f43.pomdpx
  loading time : 3.70s 

SARSOP initializing ...
  initialization time : 547.98s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 547.98  0       0        0.859376   2.19244    1.33307     100      1        
 548.4   2       50       1.42863    2.03422    0.605593    110      23       
 549.16  4       100      1.67768    2.03402    0.35634     158      43       
 550.02  6       150      1.8139     2.03387    0.219968    194      56       
 551.31  8       200      1.88003    2.03365    0.153619    232      68       
 553.24  10      250      1.91924    2.03337    0.114135    265      82       
 555.05  12      300      1.94681    2.03322    0.0864063   74       93       
 556.92  14      351      1.96581    2.03313    0.0673226   51       105      
 559.13  16      407      1.97978    2.033      0.0532246   46       117      
 562.38  18      463      1.98855    2.03295    0.0443965   41       130      
 565.2   19      500      1.99302    2.03289    0.0398672   29       141      
 568.7   21      550      1.99946    2.03283    0.0333711   27       154      
 573.53  23      603      2.00464    2.03277    0.0281316   22       171      
 577.47  25      659      2.00834    2.03273    0.0243899   23       183      
 583.14  26      700      2.00985    2.0327     0.0228474   25       199      
 586.96  28      750      2.01267    2.03267    0.0199992   25       209      
 592.65  30      803      2.01477    2.03263    0.0178638   26       220      
 598.09  32      859      2.01633    2.03258    0.0162549   33       233      
 603.46  33      900      2.01733    2.03256    0.0152261   29       243      
 608.43  35      950      2.01871    2.03252    0.0138139   28       252      
 619.32  37      1007     2.01983    2.0325     0.012665    29       272      
 628.33  38      1050     2.02027    2.03248    0.0122087   33       289      
 632.7   40      1100     2.02112    2.03244    0.0113212   34       297      
 642.5   42      1157     2.02205    2.03242    0.0103697   34       313      
 652.6   43      1200     2.02242    2.03241    0.00998822  35       326      
 662.31  45      1250     2.02307    2.03239    0.00932336  36       339      
 671.91  47      1307     2.02358    2.03237    0.00878338  39       353      
 683.28  48      1350     2.02391    2.03236    0.00844985  39       367      
 692.65  50      1400     2.0243     2.03233    0.0080279   42       378      
 702.33  52      1453     2.02483    2.03227    0.00743879  38       392      
 716.15  54      1513     2.0252     2.03222    0.00701685  37       407      
 726.17  55      1550     2.02533    2.0322     0.00686911  39       419      
 740.19  57      1603     2.02561    2.03217    0.0065626   38       433      
 754.77  59      1663     2.02594    2.03212    0.00617297  41       452      
 763.37  60      1700     2.02604    2.03211    0.00606791  40       460      
 779.71  62      1751     2.02622    2.03206    0.00584664  40       475      
 795.36  64      1811     2.02641    2.03204    0.00563355  42       491      
 808.96  65      1850     2.02651    2.03202    0.00551168  39       506      
 821.33  67      1900     2.02664    2.03198    0.005345    41       517      
 838.7   69      1955     2.02677    2.03196    0.00518958  43       532      
 861.06  71      2011     2.02691    2.03189    0.00497864  49       549      
 873.36  72      2050     2.02696    2.03187    0.00491621  43       560      
 892.12  74      2101     2.02705    2.03186    0.00481012  48       573      
 913.58  76      2161     2.02713    2.03182    0.00468876  46       590      
 930.47  77      2200     2.02722    2.0318     0.00458213  48       603      
 951.12  79      2251     2.0273     2.03178    0.00447667  47       618      
 969.88  81      2309     2.02735    2.03177    0.00441117  55       632      
 990.66  82      2350     2.02739    2.03176    0.00436343  54       647      
 1008.73 84      2400     2.02748    2.03174    0.00426515  52       661      
 1027.64 86      2455     2.02755    2.0317     0.00415616  53       674      
 1057.16 88      2500     2.02757    2.0317     0.00413089  56       694      
 1075.55 89      2550     2.0276     2.03167    0.00406865  57       707      
 1104.54 91      2605     2.02765    2.03164    0.00398216  51       726      
 1133.19 93      2663     2.02771    2.03161    0.00389497  50       744      
 1147.31 94      2700     2.02778    2.0316     0.00382346  56       754      
 1171.52 96      2753     2.02781    2.03159    0.00377836  54       767      
 1201.67 98      2811     2.02784    2.03155    0.00371482  54       786      
 1224.96 99      2850     2.02785    2.03154    0.00369427  53       799      
 1248.51 101     2900     2.02788    2.03154    0.00366163  58       809      
 1276.54 103     2959     2.02791    2.03152    0.00360901  57       825      
 1309.29 104     3000     2.02792    2.03152    0.00359385  57       842      
 1327.37 106     3050     2.02796    2.0315     0.00354833  68       852      
 1371.61 108     3107     2.02798    2.03148    0.00350376  63       874      
 1411.56 109     3150     2.02799    2.03147    0.00348197  68       894      
