id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,r,sigma_m,sigma_g,noise,model,K,C,precision,timeout,timeInterval,max_state,max_obs,max_action,min_state,min_obs,min_action,cost,beta
2aa133ad0633,4.81,728.17,10320.1,0.089741,  Preset timeout reached,100,100,100,0.95,2016-10-24 07:27:22,0.5,0.5,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e33ad0633,4.7,655.07,11026.1,0.00251019,  Preset timeout reached,100,100,100,0.95,2016-10-24 07:39:11,0.5,0.1,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f33ad0633,4.89,778.28,11599.5,0.00894668,  Preset timeout reached,100,100,100,0.95,2016-10-24 07:48:27,1,0.1,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa033ad0633,4.81,922.71,12156,0.0245163,  Preset timeout reached,100,100,100,0.95,2016-10-24 07:58:02,1.5,0.1,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa233ad0633,4.77,838.82,12259.9,0.288645,  Preset timeout reached,100,100,100,0.95,2016-10-24 07:59:43,1,0.5,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa333ad0633,4.69,974.45,12987.8,0.584523,  Preset timeout reached,100,100,100,0.95,2016-10-24 08:11:51,1.5,0.5,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f594a021a,5.37,1547.4,10363,0.0103553,  Preset timeout reached,100,100,100,0.95,2016-10-24 10:52:13,1,0.1,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa2594a021a,4.92,1779.32,10743.6,0.88058,  Preset timeout reached,100,100,100,0.95,2016-10-24 11:09:32,1,0.5,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa3594a021a,5.14,1800.99,10104.9,1.30572,  Preset timeout reached,100,100,100,0.95,2016-10-24 11:10:41,1.5,0.5,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e594a021a,4.99,1462.43,12118.9,0.00120618,  Preset timeout reached,100,100,100,0.95,2016-10-24 11:12:07,0.5,0.1,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa0594a021a,5.09,1586.71,11076.7,0.0560076,  Preset timeout reached,100,100,100,0.95,2016-10-24 11:13:22,1.5,0.1,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa1594a021a,5.29,1684.08,14461.7,0.459424,  Preset timeout reached,100,100,100,0.95,2016-10-24 11:39:23,0.5,0.5,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f70588e3f,5.29,1681.54,10411.9,0.0159498,  Preset timeout reached,100,100,100,0.95,2016-10-24 13:57:08,1,0.1,0.5,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa270588e3f,4.89,1981.7,10085.7,0.770705,  Preset timeout reached,100,100,100,0.95,2016-10-24 14:08:55,1,0.5,0.5,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e70588e3f,5.35,1595.17,10219.7,0.00285647,  Preset timeout reached,100,100,100,0.95,2016-10-24 14:13:39,0.5,0.1,0.5,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa070588e3f,5.13,1748.96,11939.6,0.00891051,  Preset timeout reached,100,100,100,0.95,2016-10-24 14:43:28,1.5,0.1,0.5,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa370588e3f,5.21,2025.17,12385.8,0.902458,  Preset timeout reached,100,100,100,0.95,2016-10-24 14:48:08,1.5,0.5,0.5,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa170588e3f,5.1,1886.75,13430.2,0.426832,  Preset timeout reached,100,100,100,0.95,2016-10-24 15:33:34,0.5,0.5,0.5,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9fd75444c,3.46,299.47,10392.3,0.00567771,  Preset timeout reached,100,100,100,0.95,2016-10-24 16:53:02,1,0.1,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9ed75444c,3.34,274.45,10350.4,0.00441698,  Preset timeout reached,100,100,100,0.95,2016-10-24 17:08:47,0.5,0.1,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa2d75444c,4.14,321.42,10704.8,0.1212,  Preset timeout reached,100,100,100,0.95,2016-10-24 17:11:35,1,0.5,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa0d75444c,3.45,362.69,10614.9,0.0110164,  Preset timeout reached,100,100,100,0.95,2016-10-24 17:43:02,1.5,0.1,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa3d75444c,3.7,383.76,10824.9,0.316389,  Preset timeout reached,100,100,100,0.95,2016-10-24 17:52:49,1.5,0.5,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa1d75444c,3.54,291.66,10577,0.0447812,  Preset timeout reached,100,100,100,0.95,2016-10-24 18:34:00,0.5,0.5,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f404b0f02,3.85,611.3,10710.8,0.00136638,  Preset timeout reached,100,100,100,0.95,2016-10-24 19:54:51,1,0.1,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e404b0f02,3.63,561.53,10627.9,0.000890002,  Preset timeout reached,100,100,100,0.95,2016-10-24 20:09:02,0.5,0.1,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa2404b0f02,3.89,701.97,11262.6,0.153236,  Preset timeout reached,100,100,100,0.95,2016-10-24 20:24:06,1,0.5,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa0404b0f02,3.6,790.77,10923,0.00663708,  Preset timeout reached,100,100,100,0.95,2016-10-24 20:48:26,1.5,0.1,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa3404b0f02,4.08,879.72,11733,0.480281,  Preset timeout reached,100,100,100,0.95,2016-10-24 21:13:16,1.5,0.5,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa1404b0f02,3.74,612.15,11182.8,0.0527408,  Preset timeout reached,100,100,100,0.95,2016-10-24 21:45:00,0.5,0.5,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f72e9e89,3.56,920.11,11094.3,0.00123974,  Preset timeout reached,100,100,100,0.95,2016-10-24 23:03:27,1,0.1,0.5,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
