
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/4d7d47401d01.pomdpx
  loading time : 0.13s 

SARSOP initializing ...
  initialization time : 1.98s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1.98    0       0        1.08599    1.75208    0.666097    30       1        
 2       5       53       1.54467    1.68783    0.143158    59       23       
 2.01    8       100      1.6059     1.6864     0.0805052   92       47       
 2.03    12      153      1.63309    1.68538    0.0522851   106      63       
 2.04    14      200      1.64134    1.68524    0.0438994   140      72       
 2.06    17      250      1.64849    1.68447    0.0359857   178      83       
 2.07    19      307      1.65395    1.68388    0.0299238   198      89       
 2.09    22      355      1.65776    1.68282    0.0250567   211      101      
 2.11    23      400      1.65876    1.68237    0.0236122   252      105      
 2.13    25      450      1.66178    1.68179    0.0200089   276      112      
 2.15    28      507      1.66384    1.68112    0.0172846   297      120      
 2.17    29      551      1.66455    1.68089    0.0163351   335      125      
 2.2     31      611      1.66551    1.68048    0.0149721   389      134      
 2.22    33      650      1.6665     1.68002    0.0135188   409      146      
 2.26    35      700      1.66716    1.67947    0.012308    445      160      
 2.29    37      750      1.66774    1.67908    0.0113323   464      171      
 2.33    40      800      1.66804    1.67855    0.0105106   494      180      
 2.37    42      857      1.66853    1.67784    0.00930947  547      187      
 2.42    44      900      1.66883    1.67751    0.00868488  562      203      
 2.46    47      951      1.66921    1.67658    0.00737517  571      210      
 2.52    49      1019     1.66942    1.6763     0.00687507  617      223      
 2.56    50      1065     1.66954    1.67613    0.0065866   657      228      
 2.6     52      1105     1.66973    1.67583    0.00609901  697      238      
 2.66    54      1150     1.6698     1.6757     0.00589556  715      253      
 2.72    55      1200     1.66993    1.67545    0.005518    765      268      
 2.8     58      1255     1.67011    1.67511    0.00500057  785      281      
 2.88    59      1300     1.67016    1.67501    0.00485799  811      296      
 2.96    62      1353     1.67029    1.67462    0.00432732  864      300      
