
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/4d826a6fe1df.pomdpx
  loading time : 0.16s 

SARSOP initializing ...
  initialization time : 4.17s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4.17    0       0        3.64454    8.12092    4.47638     30       1        
 4.82    3       51       7.01542    7.81825    0.802829    22       24       
 6.12    5       101      7.1327     7.81039    0.677694    31       42       
 8.06    7       150      7.17686    7.80491    0.628056    56       61       
 10.6    9       200      7.20577    7.8047     0.598929    40       78       
 15.16   11      250      7.21447    7.8012     0.586734    58       99       
 21.52   13      300      7.21952    7.8006     0.581079    44       120      
 27.93   15      350      7.22103    7.80048    0.579455    41       136      
 36.73   17      400      7.22453    7.79986    0.575336    39       155      
 47.03   19      450      7.24168    7.79704    0.555358    26       173      
 57.74   21      500      7.24218    7.79641    0.554224    34       189      
 74.59   23      550      7.2465     7.79379    0.547283    32       209      
 89.19   26      611      7.24858    7.79354    0.544957    34       227      
 104.13  28      661      7.25761    7.79081    0.533204    34       243      
 121.14  30      709      7.25787    7.79068    0.532809    36       259      
 142.46  32      761      7.2601     7.78973    0.529635    51       278      
 161.58  34      809      7.26176    7.78889    0.527129    46       292      
 186.02  36      859      7.26225    7.78886    0.526608    61       308      
 208.86  38      909      7.26304    7.78678    0.523739    53       322      
 236.86  40      957      7.26322    7.78642    0.523197    48       336      
 263.1   42      1005     7.26377    7.78605    0.522281    59       349      
 300.48  44      1055     7.26474    7.78421    0.519466    53       367      
 319.87  46      1103     7.265      7.78386    0.518856    52       376      
 355.58  48      1151     7.26518    7.78376    0.51858     58       392      
 389.07  50      1200     7.26552    7.78299    0.517475    61       406      
 428.57  52      1250     7.26576    7.78223    0.516471    67       422      
 455.35  54      1300     7.26579    7.78222    0.516425    63       433      
 498.87  56      1350     7.26763    7.77928    0.511649    68       449      
 538.88  58      1400     7.26778    7.77907    0.511286    65       464      
 593.42  60      1450     7.26782    7.77904    0.511219    80       484      
 641.06  62      1500     7.26783    7.77902    0.511186    93       501      
 701.92  64      1550     7.26785    7.77895    0.511099    96       521      
 753.31  66      1600     7.27066    7.77601    0.505349    89       538      
 792.61  69      1661     7.27071    7.77587    0.505159    89       550      
 826.19  71      1709     7.27083    7.77567    0.504844    82       560      
 880.87  73      1759     7.2715     7.7746     0.503097    89       576      
 930.76  75      1807     7.2717     7.7746     0.502898    92       591      
 975.86  77      1857     7.27171    7.77457    0.502851    96       604      
 1021.08 79      1907     7.2718     7.77446    0.502652    111      616      
 1076.51 81      1955     7.27186    7.77433    0.502469    95       631      
 1140.27 83      2003     7.272      7.77417    0.502172    90       648      
 1196.91 85      2051     7.27205    7.77411    0.502051    87       662      
 1273.08 87      2103     7.27241    7.77256    0.500146    93       680      
 1330.15 89      2150     7.27256    7.77255    0.499992    88       693      
 1400.29 91      2200     7.27261    7.77252    0.499915    94       709      
 1484.14 93      2250     7.27262    7.77251    0.499891    107      727      
 1548.34 95      2300     7.27311    7.77211    0.499002    109      741      
 1620.97 97      2350     7.27319    7.77211    0.498913    115      756      
 1696.16 100     2411     7.27325    7.7714     0.498155    118      771      
 1769.2  102     2461     7.27359    7.77082    0.497224    123      786      
 1817.61 104     2509     7.2736     7.77081    0.497214    113      796      
