
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/4d8274e760d7.pomdpx
  loading time : 0.13s 

SARSOP initializing ...
  initialization time : 3.55s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 3.55    0       0        1.99937    3.29833    1.29896     30       1        
 3.77    3       51       2.77796    3.18357    0.405611    17       24       
 4.24    6       103      2.87804    3.18266    0.304626    21       47       
 4.97    9       155      2.92623    3.17159    0.245366    34       71       
 5.95    11      200      2.93689    3.17074    0.233847    43       94       
 6.87    14      250      2.95482    3.17035    0.215525    47       111      
 8.33    17      300      2.96221    3.1701     0.207883    70       132      
 10.24   20      353      2.96798    3.16638    0.1984      67       154      
 13.03   23      407      2.96918    3.16616    0.196979    54       179      
 15.92   25      450      2.97414    3.15919    0.185052    52       202      
 18.15   28      500      2.97642    3.15914    0.182716    40       218      
 21.2    31      557      2.9783     3.15871    0.18041     44       240      
 23.89   33      600      2.97846    3.15866    0.1802      45       258      
 27.1    36      650      2.97926    3.15837    0.17911     48       277      
 31.25   39      705      2.97962    3.15829    0.178672    56       299      
 36.23   42      750      2.97988    3.15823    0.178354    53       323      
 40.25   44      800      2.98174    3.15609    0.174347    48       341      
 44.57   47      855      2.98808    3.15592    0.167835    30       362      
 48.84   49      900      2.98869    3.15585    0.167161    41       381      
 53.57   52      953      2.98955    3.1557     0.166159    33       400      
 59.73   54      1000     2.98979    3.15563    0.165843    36       423      
 65.69   57      1055     2.99186    3.1532     0.16134     50       443      
 71.17   59      1100     2.99206    3.15316    0.161102    48       461      
 76.07   62      1153     2.99269    3.1531     0.160411    51       476      
 83.75   65      1200     2.99288    3.15309    0.160213    57       497      
 90.48   67      1250     2.99298    3.1528     0.159818    60       514      
 99.96   69      1300     2.9932     3.15262    0.159414    66       538      
 106.52  72      1350     2.99353    3.15256    0.159026    69       552      
 115.49  75      1403     2.9936     3.15253    0.158929    71       570      
 124.92  78      1457     2.99374    3.15251    0.158771    69       590      
 135.24  80      1500     2.99389    3.15227    0.158386    77       610      
 146.85  83      1553     2.99391    3.15225    0.158338    79       629      
 160.79  85      1600     2.99392    3.15224    0.158322    87       650      
 174.39  88      1653     2.9949     3.15082    0.155919    74       670      
 188.02  90      1700     2.99492    3.15081    0.15589     81       689      
 202.64  93      1753     2.99505    3.15073    0.155683    99       708      
 220.88  95      1800     2.99507    3.15069    0.155624    104      729      
 236.04  98      1851     2.99515    3.15061    0.155458    102      746      
 254.94  101     1900     2.99517    3.15056    0.155396    101      766      
 271.33  103     1950     2.99518    3.15056    0.155381    107      782      
 290.71  106     2007     2.99536    3.15055    0.155188    104      802      
 311.01  108     2050     2.99536    3.15054    0.155174    109      821      
 327.83  111     2100     2.99537    3.15052    0.155144    118      837      
 351.1   114     2153     2.99603    3.14918    0.153157    123      858      
 370.23  116     2200     2.99651    3.14917    0.152662    106      877      
 380.18  119     2250     2.99652    3.14917    0.152645    95       891      
 396.69  122     2307     2.99655    3.14915    0.152604    93       911      
 410.32  124     2350     2.99655    3.14914    0.152585    98       927      
 428.32  127     2403     2.99658    3.14911    0.152528    92       947      
 446.91  130     2459     2.99659    3.14907    0.15248     97       967      
 461.72  132     2500     2.99662    3.14906    0.152434    107      982      
 485.76  135     2555     2.99692    3.14898    0.152065    114      1004     
 508.36  137     2600     2.997      3.14894    0.151942    108      1025     
 523.05  140     2650     2.9981     3.14759    0.14949     114      1039     
 542.68  143     2703     2.99812    3.14756    0.149444    120      1057     
 565.69  145     2750     2.99814    3.14756    0.149415    124      1078     
 584.53  148     2803     2.99817    3.14752    0.149353    129      1094     
 613.13  150     2850     2.99818    3.14752    0.14934     131      1117     
 637.79  153     2901     2.99819    3.14745    0.14926     135      1135     
 670.42  156     2950     2.9982     3.14743    0.149226    143      1157     
 692.96  158     3000     2.99821    3.14738    0.149167    151      1171     
 730.82  161     3059     2.99822    3.14731    0.149093    163      1194     
 756.93  163     3100     2.99857    3.14578    0.147204    152      1210     
 790.51  166     3159     2.99858    3.14576    0.147172    164      1233     
 816.82  168     3200     2.9986     3.14573    0.147132    157      1250     
 847.56  171     3257     2.99861    3.14571    0.147108    161      1269     
 877.02  173     3300     2.99861    3.14567    0.147059    150      1288     
 902.86  176     3350     2.99862    3.14565    0.147028    148      1303     
 935.63  179     3403     2.99863    3.14562    0.146999    162      1323     
 974.23  181     3450     2.99863    3.14558    0.146951    175      1346     
 1000.93 184     3501     2.99863    3.14557    0.146939    175      1360     
 1034.69 186     3550     2.99867    3.14541    0.146732    184      1380     
 1059.42 189     3600     2.99868    3.14539    0.146713    179      1394     
 1095.49 192     3657     2.99869    3.14539    0.146699    178      1414     
 1126.65 194     3700     2.99869    3.14537    0.14668     180      1431     
 1165.95 197     3757     2.9987     3.14536    0.146665    177      1451     
 1193.62 199     3800     2.9987     3.14536    0.146662    189      1466     
 1227.87 202     3851     2.9987     3.14535    0.146657    196      1484     
 1268.19 205     3907     2.9987     3.14534    0.146642    197      1504     
 1299.89 207     3950     2.99872    3.14533    0.146611    196      1521     
 1333.97 210     4001     2.99873    3.14521    0.146486    198      1538     
 1383.29 213     4050     2.99873    3.14516    0.146428    204      1562     
 1412.68 215     4100     2.99873    3.1451     0.146364    197      1575     
 1458.87 218     4155     2.99877    3.14498    0.146211    183      1596     
 1496.26 220     4200     2.99879    3.14498    0.146189    196      1613     
 1537.37 223     4253     2.99883    3.14472    0.145892    204      1630     
 1582.69 226     4307     2.99883    3.14469    0.145856    200      1648     
 1624.07 228     4350     2.99884    3.14468    0.145848    199      1664     
 1662.75 231     4401     2.99884    3.14467    0.145829    199      1679     
 1718.69 234     4457     2.99884    3.14461    0.145766    194      1700     
 1759.36 236     4501     2.99885    3.1446     0.145751    192      1715     
 1825.38 238     4550     2.99964    3.1433     0.143657    185      1739     
 1865.74 241     4605     2.99971    3.14329    0.143584    197      1754     
 1905.85 243     4650     2.99971    3.14329    0.143579    209      1768     
 1948.42 246     4700     2.99971    3.14329    0.143572    214      1783     
 2001.18 249     4753     2.99971    3.14328    0.143565    215      1801     
Writing policy file: ./4d8274e760d7_251_2060.54.policy
Intermediate policy written(interval: 2000)
 2060.54 251     4800     2.99971    3.14323    0.143513    230      1820     
 2109.6  254     4850     2.99972    3.1432     0.143483    221      1835     
 2164.38 257     4909     2.99972    3.14319    0.143474    221      1853     
 2219.46 259     4950     2.99972    3.14319    0.143472    209      1871     
 2271.81 262     5000     2.99972    3.14318    0.143455    205      1887     
 2333.68 265     5055     2.99975    3.14317    0.143428    209      1906     
 2382.03 267     5100     2.99975    3.14316    0.143412    216      1921     
 2426.03 270     5151     2.99976    3.14307    0.143313    219      1934     
 2483.11 272     5200     3.0007     3.14295    0.142241    206      1955     
 2515.89 275     5250     3.00074    3.14294    0.142204    200      1968     
 2567.15 278     5307     3.00075    3.14294    0.142182    196      1987     
 2607.05 280     5350     3.00076    3.14293    0.142168    194      2001     
 2652.09 283     5401     3.00078    3.14292    0.142147    177      2017     
 2709.15 286     5455     3.00079    3.14292    0.142135    169      2036     
 2769.25 288     5500     3.0008     3.1429     0.142103    178      2057     
 2815.11 291     5551     3.00083    3.14285    0.14202     177      2072     
 2867.75 294     5607     3.00084    3.14283    0.141986    177      2090     
 2924.07 296     5650     3.00085    3.14282    0.141968    181      2108     
 2977.06 299     5703     3.00085    3.14281    0.14196     191      2125     
 3034.36 302     5759     3.00127    3.14187    0.140596    211      2144     
 3091.6  304     5800     3.00128    3.14186    0.140583    207      2162     
 3149.4  307     5857     3.00494    3.14163    0.136689    150      2182     
 3203.87 309     5900     3.005      3.14162    0.136613    129      2201     
 3256.29 312     5955     3.00509    3.14161    0.13652     131      2218     
 3298.33 314     6000     3.00514    3.14161    0.13647     117      2232     
 3345.54 317     6051     3.00519    3.14161    0.136413    108      2247     
 3406.63 319     6100     3.00524    3.1416     0.136364    116      2267     
 3457.36 322     6155     3.00531    3.1416     0.13629     114      2283     
 3524.23 324     6200     3.00534    3.14158    0.136246    119      2304     
 3589.37 327     6257     3.00537    3.14155    0.136188    134      2323     
 3645.12 329     6300     3.00538    3.14154    0.136159    128      2339     
 3691.04 332     6351     3.00541    3.14151    0.136101    127      2352     
 3768.25 334     6400     3.00542    3.14144    0.136019    141      2374     
 3812.29 337     6450     3.00544    3.14142    0.135987    127      2386     
 3891.79 340     6505     3.00548    3.14135    0.135876    124      2407     
 3959.9  342     6550     3.00551    3.14132    0.135802    128      2426     
 4010.5  345     6601     3.00552    3.14131    0.135787    128      2439     
Writing policy file: ./4d8274e760d7_347_4077.52.policy
Intermediate policy written(interval: 2000)
 4077.52 347     6650     3.00554    3.14131    0.135774    131      2457     
 4131.52 350     6700     3.00555    3.14131    0.135758    136      2471     
 4210.36 353     6757     3.00556    3.1413     0.135748    130      2491     
 4270.21 355     6800     3.00556    3.1413     0.135742    131      2506     
 4334.38 358     6853     3.00557    3.14128    0.135719    140      2522     
 4400.3  360     6900     3.00557    3.14128    0.135711    146      2538     
 4476.43 363     6953     3.00558    3.14128    0.1357      158      2556     
 4549.31 366     7007     3.00559    3.14127    0.135677    153      2573     
 4613.81 368     7050     3.0056     3.14126    0.135666    159      2588     
 4688.84 371     7105     3.00568    3.14121    0.135533    166      2606     
 4786.48 374     7150     3.00569    3.14119    0.135506    169      2628     
 4865.29 376     7200     3.00613    3.14029    0.13416     167      2646     
 4937.61 379     7251     3.00613    3.14028    0.134153    173      2662     
 5017.04 381     7300     3.00613    3.14028    0.13415     167      2680     
 5078.87 384     7350     3.00613    3.14027    0.134143    159      2693     
 5161.93 387     7407     3.00613    3.14027    0.134134    165      2711     
 5235.8  389     7450     3.00613    3.14024    0.13411     168      2727     
 5340.46 391     7500     3.00614    3.14024    0.134108    181      2750     
 5404.76 394     7553     3.00614    3.14024    0.134103    184      2763     
