
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/4d847c90b237.pomdpx
  loading time : 0.19s 

SARSOP initializing ...
  initialization time : 5.56s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 5.56    0       0        0.619607   1.53076    0.911154    30       1        
 5.73    2       55       0.911139   1.45673    0.545595    7        25       
 5.83    4       107      1.09328    1.45657    0.363293    7        35       
 5.96    6       150      1.1927     1.4564     0.263707    20       51       
 6.19    8       205      1.27459    1.4562     0.181607    30       65       
 6.77    10      257      1.31074    1.45608    0.145334    71       87       
 7.66    12      309      1.35115    1.45592    0.104765    69       108      
 8.61    14      363      1.38462    1.45585    0.0712253   26       124      
 9.24    15      400      1.39066    1.45578    0.0651234   59       133      
 10.09   17      450      1.40594    1.45573    0.0497873   103      145      
 11.01   19      501      1.41435    1.45569    0.0413445   20       155      
 12.89   21      553      1.42307    1.45563    0.0325591   15       175      
 14.47   23      603      1.42819    1.45554    0.0273441   15       189      
 16.55   25      651      1.43366    1.45546    0.0217978   11       206      
 18.54   27      701      1.43911    1.45543    0.0163159   14       221      
 21.79   29      757      1.44254    1.45535    0.01281     12       244      
 24.41   31      813      1.44518    1.4553     0.0101158   11       261      
 26.04   32      850      1.44607    1.45529    0.00922155  12       271      
 29.49   34      900      1.44784    1.45525    0.00740321  14       291      
 33.08   36      953      1.44947    1.45518    0.00571198  14       310      
 36.79   38      1009     1.45039    1.45516    0.004768    14       328      
 42.53   39      1050     1.45085    1.45515    0.0043014   15       354      
 45.14   41      1100     1.45167    1.45508    0.00341898  14       366      
 50.46   43      1153     1.4523     1.45502    0.00271751  15       388      
 58.31   45      1213     1.45284    1.45499    0.00215713  15       418      
 63.82   46      1250     1.45308    1.45495    0.00187058  15       438      
 70.59   48      1309     1.45332    1.45493    0.00160546  16       461      
 76.91   49      1350     1.45341    1.45492    0.00150697  15       482      
 82.73   51      1405     1.45367    1.4549     0.00123743  16       501      
 92.06   52      1450     1.45373    1.45487    0.00113866  16       530      
 97.58   54      1503     1.45385    1.45486    0.00100548  16       546      
 105.04  55      1550     1.45389    1.45485    0.000966504 16       567      
 112.42  57      1605     1.454      1.45484    0.000838487 16       586      
 121.32  58      1650     1.45404    1.45483    0.00079206  16       611      
 130.87  60      1715     1.45412    1.45483    0.000702316 16       635      
 136.37  61      1750     1.45416    1.45482    0.000666639 17       648      
 147.39  63      1800     1.45417    1.45482    0.000649272 19       675      
 154.91  64      1853     1.4542     1.45481    0.00061144  17       690      
 168.37  65      1900     1.45422    1.45481    0.000592947 17       714      
 177.82  67      1961     1.45425    1.45481    0.000558508 17       733      
 185.93  68      2000     1.45426    1.4548     0.0005437   18       751      
 198.81  69      2050     1.45428    1.4548     0.000523912 18       779      
 205.37  71      2105     1.4543     1.45479    0.000491352 18       792      
 215.77  72      2150     1.45431    1.45479    0.000477375 19       814      
 230.66  74      2200     1.45432    1.45479    0.000470127 17       843      
 238.58  75      2255     1.45434    1.45478    0.000441622 17       858      
 247.84  76      2300     1.45435    1.45478    0.000433344 18       876      
 261.75  78      2363     1.45436    1.45478    0.000418626 17       900      
 269.54  79      2400     1.45436    1.45478    0.000415628 20       913      
 284.59  80      2450     1.45437    1.45478    0.0004107   20       939      
 296.92  82      2509     1.45437    1.45478    0.000404665 19       959      
 306.44  83      2550     1.45437    1.45478    0.000401942 19       976      
