
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/4d8a47401d01.pomdpx
  loading time : 0.14s 

SARSOP initializing ...
  initialization time : 3.93s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 3.93    0       0        1.02749    2.57586    1.54837     30       1        
 3.95    2       50       1.75241    2.4895     0.737093    15       13       
 3.95    5       107      2.12926    2.48834    0.359079    11       14       
 3.96    7       155      2.22771    2.48825    0.260546    20       15       
 3.96    9       201      2.30114    2.48826    0.187113    23       17       
 3.97    11      250      2.3442     2.48814    0.143939    31       18       
 3.98    12      300      2.36312    2.48805    0.124933    53       20       
 3.99    14      350      2.38463    2.48786    0.103235    65       24       
 4       15      400      2.40079    2.48761    0.0868187   86       25       
 4.02    17      463      2.41297    2.48742    0.0744521   94       26       
 4.03    18      513      2.42       2.48726    0.0672648   104      27       
 4.04    19      550      2.42774    2.48699    0.0592539   98       28       
 4.06    21      600      2.4377     2.48665    0.0489512   118      31       
 4.08    24      650      2.44422    2.48624    0.0420217   132      33       
 4.1     26      711      2.45295    2.48549    0.0325399   147      36       
 4.12    28      761      2.45796    2.48521    0.0272543   159      36       
 4.14    29      800      2.45915    2.48504    0.0258954   185      38       
 4.17    31      853      2.4613     2.48476    0.0234557   210      39       
 4.19    33      900      2.46469    2.48433    0.0196404   218      41       
 4.23    35      950      2.46651    2.48424    0.0177279   226      45       
 4.26    37      1000     2.46844    2.48395    0.0155131   255      49       
 4.3     40      1050     2.47009    2.48359    0.013499    285      51       
 4.34    42      1107     2.47209    2.48323    0.0111468   326      54       
 4.39    43      1153     2.47272    2.48314    0.0104224   344      56       
 4.45    45      1200     2.47377    2.48293    0.00915352  365      61       
 4.54    47      1250     2.47476    2.48259    0.00783375  395      66       
 4.6     49      1300     2.47523    2.48244    0.00721078  423      71       
 4.67    51      1359     2.47571    2.48237    0.00665986  462      71       
 4.74    53      1403     2.47622    2.48225    0.00603475  484      75       
 4.8     55      1450     2.47676    2.48214    0.00538228  503      76       
 4.88    57      1500     2.47718    2.48205    0.00486938  536      81       
 4.99    60      1559     2.47766    2.4819     0.00424737  571      87       
 5.06    62      1603     2.4779     2.48183    0.00392325  600      89       
 5.17    64      1671     2.47808    2.48176    0.00367648  640      90       
 5.23    65      1700     2.47822    2.48174    0.00351722  669      93       
 5.33    68      1753     2.47836    2.48166    0.0032962   684      96       
 5.41    69      1800     2.47846    2.48163    0.00316835  731      99       
 5.59    72      1850     2.47861    2.48156    0.00295627  752      110      
 5.83    74      1901     2.47881    2.48151    0.0026936   790      115      
 5.98    77      1957     2.47898    2.48141    0.00243014  846      120      
 6.16    79      2021     2.47911    2.48133    0.00222343  888      123      
 6.28    80      2050     2.47921    2.48128    0.0020653   882      128      
 6.45    83      2107     2.47934    2.48116    0.00181984  939      136      
 6.62    85      2153     2.47938    2.48108    0.00170033  958      141      
 6.83    87      2200     2.47941    2.48106    0.00164832  1005     150      
 7.01    89      2250     2.47946    2.48102    0.00155931  1016     153      
 7.18    91      2311     2.47953    2.48095    0.00142531  1077     154      
 7.47    93      2357     2.47957    2.48093    0.00136063  1068     165      
 7.68    94      2400     2.47961    2.48091    0.00130685  1111     171      
 7.93    96      2451     2.47966    2.48089    0.00123257  1128     174      
 8.32    98      2500     2.47971    2.48087    0.00116016  1177     190      
 8.59    100     2550     2.47976    2.48085    0.00109274  1199     194      
 8.9     103     2609     2.47982    2.48081    0.000989952 1258     198      
 9.48    104     2650     2.47983    2.4808     0.000977711 259      209      
 9.57    106     2709     2.47985    2.48078    0.0009283   281      214      
 9.64    108     2757     2.47988    2.48076    0.000874704 321      219      
 9.69    110     2800     2.4799     2.48074    0.000844802 353      221      
 9.81    112     2850     2.47991    2.48072    0.000805932 396      232      
 9.97    115     2907     2.47994    2.4807     0.000764396 420      244      
 10.07   117     2950     2.47995    2.48069    0.000740058 440      251      
 10.18   119     3000     2.47996    2.48069    0.000725184 483      256      
