
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/4d8a74e760d7.pomdpx
  loading time : 0.20s 

SARSOP initializing ...
  initialization time : 5.64s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 5.64    0       0        0.787743   2.46251    1.67477     30       1        
 5.7     2       50       1.50096    2.37176    0.870799    12       15       
 5.77    4       100      1.81366    2.37169    0.558029    15       23       
 5.85    6       150      1.97293    2.37166    0.398729    7        32       
 5.97    8       200      2.10514    2.37161    0.26648     17       41       
 6.3     10      250      2.18338    2.37159    0.188214    15       59       
 6.84    12      300      2.23344    2.37158    0.13814     18       76       
 7.78    14      350      2.26795    2.3715     0.103547    18       94       
 8.62    16      400      2.28801    2.37148    0.083466    14       107      
 9.79    18      450      2.30535    2.37147    0.0661199   16       123      
 11.33   20      501      2.3186     2.37138    0.0527845   14       140      
 12.6    22      553      2.32849    2.37135    0.0428599   14       151      
 13.82   24      605      2.33609    2.37127    0.0351813   15       162      
 15.56   26      657      2.34128    2.37126    0.0299766   14       175      
 17.92   28      709      2.3463     2.37123    0.0249251   16       193      
 19.28   30      761      2.34919    2.37122    0.0220273   16       201      
 21      32      811      2.35267    2.3712     0.0185304   16       210      
 23.11   34      850      2.35402    2.3712     0.0171816   17       225      
 24.77   36      911      2.35648    2.3712     0.0147215   15       236      
 26.87   38      959      2.35772    2.37114    0.0134237   15       248      
 27.85   40      1007     2.3586     2.37113    0.0125375   16       254      
 29.96   42      1055     2.35982    2.37112    0.0113055   15       266      
 31.78   44      1103     2.36048    2.37112    0.0106376   16       275      
 33.36   46      1151     2.36144    2.37112    0.00967682  17       282      
 36.97   48      1201     2.3624     2.37111    0.00871688  18       300      
 38.79   50      1250     2.36302    2.37111    0.00808946  18       308      
 41.07   52      1300     2.36379    2.37106    0.00726885  18       320      
 44.46   55      1350     2.36426    2.37099    0.00672645  19       334      
 48.06   57      1405     2.36507    2.37087    0.0057993   19       351      
 51.61   59      1450     2.36566    2.37082    0.00515471  21       367      
 54.71   61      1500     2.36605    2.37076    0.00471594  20       379      
 58.34   64      1559     2.36648    2.37065    0.00416836  20       395      
 62.35   66      1605     2.36682    2.3706     0.0037719   20       412      
 66.07   68      1653     2.3671     2.37052    0.00341928  21       427      
 69.12   70      1701     2.36744    2.37047    0.00303196  21       439      
 72.92   72      1750     2.36774    2.37042    0.00268376  22       454      
 76.32   74      1800     2.36799    2.37037    0.00238942  22       466      
 81.64   76      1850     2.36816    2.37033    0.00217783  22       487      
 84.95   78      1900     2.3683     2.3703     0.00200565  21       498      
 86.84   80      1950     2.36845    2.37026    0.00180942  22       504      
 89.77   82      2000     2.36858    2.37026    0.00168385  23       514      
 92.81   84      2051     2.36868    2.37026    0.00157957  23       525      
 96.76   86      2103     2.3688     2.37026    0.00145676  22       537      
 101.7   88      2155     2.3689     2.37024    0.00133319  22       553      
 104.65  90      2207     2.369      2.37024    0.00123432  22       562      
 108.94  92      2259     2.36908    2.37023    0.00115015  24       577      
 113.07  94      2311     2.36919    2.37023    0.00104448  24       589      
 116.38  96      2350     2.36922    2.37023    0.00101569  24       598      
 120.18  97      2400     2.3693     2.37023    0.00092869  23       611      
 123.75  99      2450     2.36936    2.37023    0.000870558 24       622      
 130.39  102     2511     2.36942    2.37022    0.000794886 23       643      
 135.54  104     2559     2.36949    2.37022    0.000727891 24       657      
 138.76  106     2609     2.36954    2.37021    0.000678045 23       666      
 142.73  108     2657     2.36958    2.37021    0.000631778 24       676      
