
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/4d8b47401d01.pomdpx
  loading time : 0.15s 

SARSOP initializing ...
  initialization time : 3.97s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 3.97    0       0        1.33696    3.2761     1.93914     30       1        
 3.99    2       50       2.2762     3.17202    0.895819    15       12       
 4       4       100      2.60463    3.1717     0.567071    27       16       
 4       6       150      2.69763    3.17176    0.474132    28       18       
 4.01    8       211      2.86145    3.17176    0.310304    34       18       
 4.02    10      259      2.94048    3.17176    0.231276    32       19       
 4.03    12      307      2.99232    3.17168    0.179362    39       19       
 4.03    14      353      3.02517    3.17168    0.146511    66       19       
 4.05    16      401      3.0619     3.1718     0.1099      65       21       
 4.06    18      450      3.07783    3.17134    0.093506    94       24       
 4.08    20      501      3.09613    3.17097    0.0748395   118      27       
 4.11    22      573      3.10791    3.17074    0.0628222   144      29       
 4.12    23      600      3.11255    3.17063    0.0580777   166      31       
 4.15    25      669      3.12219    3.17053    0.0483336   179      34       
 4.17    26      721      3.12485    3.17048    0.045632    202      35       
 4.19    27      750      3.128      3.17045    0.0424475   212      36       
 4.22    29      800      3.13463    3.17015    0.0355153   230      38       
 4.26    30      850      3.13649    3.16998    0.0334934   250      42       
 4.31    31      900      3.13994    3.16968    0.0297422   266      46       
 4.36    33      973      3.14343    3.16948    0.0260503   303      47       
 4.39    34      1000     3.1457     3.16919    0.0234921   330      50       
 4.43    35      1050     3.14698    3.1691     0.0221219   330      50       
 4.48    36      1100     3.14797    3.16904    0.0210669   354      50       
 4.53    38      1150     3.15004    3.16899    0.0189469   392      53       
 4.6     39      1203     3.15201    3.16894    0.016926    423      56       
 4.66    41      1253     3.15374    3.16862    0.0148804   460      59       
 4.73    43      1301     3.15561    3.1683     0.0126928   497      64       
 4.81    44      1350     3.15651    3.16824    0.0117265   532      67       
 4.92    46      1403     3.15806    3.16803    0.00997677  578      70       
 5.05    48      1457     3.15901    3.1678     0.00878967  600      74       
 5.15    49      1507     3.15937    3.16775    0.00838308  644      78       
 5.26    50      1555     3.15977    3.1677     0.00792897  663      81       
 5.37    51      1600     3.16016    3.16755    0.00738877  675      86       
 5.51    53      1650     3.1608     3.16743    0.00662589  702      90       
 5.69    55      1723     3.16156    3.16733    0.00576955  743      96       
 5.82    56      1771     3.16192    3.16727    0.00534559  791      102      
 5.96    57      1819     3.16219    3.16714    0.00494432  799      105      
 6.05    58      1867     3.16246    3.16709    0.00463588  847      105      
 6.16    59      1900     3.1627     3.16704    0.00434005  849      107      
 6.39    61      1965     3.16305    3.16693    0.00388377  914      115      
 6.58    62      2013     3.16321    3.16689    0.00368317  938      121      
 6.74    63      2050     3.16349    3.16684    0.00335579  975      127      
 7.1     64      2100     3.16364    3.16682    0.00318383  970      136      
 7.39    66      2155     3.16385    3.16677    0.00291511  1025     136      
 7.66    68      2203     3.16408    3.1667     0.00261892  1051     141      
 7.87    70      2251     3.16423    3.16667    0.00243784  1099     146      
 8.18    71      2300     3.16429    3.16662    0.00232723  1124     153      
 8.46    73      2351     3.1644     3.16654    0.00214519  1175     160      
 8.69    74      2400     3.16451    3.1665     0.00198727  1224     161      
 9.39    76      2450     3.16465    3.16646    0.00180379  129      174      
 9.45    78      2519     3.16476    3.1664     0.00163936  170      179      
 9.48    79      2550     3.16482    3.16638    0.00156486  196      180      
 9.57    80      2600     3.16486    3.16637    0.00150963  232      191      
 9.68    81      2650     3.1649     3.16634    0.00143649  263      201      
 9.79    83      2700     3.16497    3.16629    0.00131562  305      212      
 9.93    84      2750     3.16498    3.16626    0.00128539  343      223      
 10.04   85      2800     3.16502    3.16625    0.00123115  366      230      
 10.15   87      2850     3.16507    3.16621    0.00114193  401      235      
 10.32   89      2921     3.16514    3.16619    0.0010461   428      242      
 10.39   90      2950     3.16516    3.16617    0.00101419  457      245      
 10.6    92      3000     3.1652     3.16614    0.000944482 497      257      
 10.7    93      3050     3.16523    3.16612    0.000898607 534      259      
 10.94   94      3100     3.16524    3.16612    0.000874174 548      273      
 11.26   95      3150     3.16526    3.16611    0.000852106 591      291      
 11.57   97      3209     3.16528    3.16608    0.000795444 108      297      
 11.7    98      3250     3.16529    3.16608    0.000785765 144      311      
 11.79   100     3300     3.16532    3.16606    0.000739505 185      318      
 11.94   101     3350     3.16533    3.16605    0.000723    225      329      
 12.07   102     3400     3.16534    3.16603    0.000693235 256      338      
 12.18   104     3450     3.16535    3.16602    0.000669299 297      344      
 12.41   105     3500     3.16536    3.16602    0.000652502 99       357      
 12.5    106     3550     3.16537    3.16601    0.000634398 132      363      
 12.67   108     3601     3.16539    3.16599    0.000608546 74       376      
 12.88   109     3650     3.16539    3.16599    0.000599748 54       394      
 12.93   111     3700     3.1654     3.16597    0.00057307  51       395      
 13.11   113     3753     3.16542    3.16596    0.000539428 44       410      
 13.25   114     3800     3.16543    3.16595    0.000524038 33       421      
 13.49   116     3865     3.16544    3.16594    0.000504111 47       439      
 13.57   118     3909     3.16545    3.16593    0.000483378 45       444      
 13.72   119     3957     3.16546    3.16593    0.000472041 37       455      
 13.86   120     4000     3.16546    3.16592    0.000460852 45       465      
 14.11   122     4069     3.16547    3.16591    0.000440979 47       482      
 14.22   123     4117     3.16548    3.1659     0.000428756 37       489      
 14.39   124     4150     3.16548    3.1659     0.000420088 38       500      
 14.51   125     4200     3.16548    3.16589    0.000412334 39       507      
 14.68   126     4250     3.16549    3.16588    0.000391983 42       518      
 14.91   128     4300     3.16549    3.16587    0.000373309 39       531      
 15.45   130     4361     3.16549    3.16586    0.000362439 40       555      
 15.65   131     4400     3.16549    3.16586    0.000360989 38       566      
 15.83   132     4450     3.1655     3.16585    0.000348044 38       576      
 15.91   135     4500     3.16551    3.16585    0.000340254 42       579      
 16.1    136     4550     3.16551    3.16584    0.000328462 40       589      
 16.46   138     4609     3.16551    3.16582    0.000312505 40       610      
 16.74   139     4657     3.16551    3.16582    0.000311498 44       624      
 17.07   140     4700     3.16551    3.16582    0.00030513  40       641      
 17.3    142     4755     3.16552    3.16581    0.00029252  37       651      
 17.67   144     4807     3.16552    3.1658     0.000280956 39       670      
 17.82   145     4850     3.16553    3.1658     0.000278707 39       676      
 18.19   146     4900     3.16553    3.1658     0.000274516 39       693      
 18.63   148     4965     3.16553    3.1658     0.000269284 45       713      
 18.81   149     5000     3.16553    3.1658     0.000266301 39       720      
 19.25   151     5057     3.16553    3.16579    0.000260548 41       738      
 19.48   153     5103     3.16554    3.16579    0.000251906 40       746      
 19.96   155     5153     3.16554    3.16579    0.000246079 36       767      
 20.05   157     5201     3.16554    3.16578    0.000240931 37       769      
 20.54   159     5273     3.16554    3.16577    0.00023218  43       787      
 20.85   160     5321     3.16554    3.16577    0.000228482 39       798      
 21.12   161     5350     3.16554    3.16577    0.000226829 38       808      
 21.46   162     5400     3.16554    3.16577    0.000222841 40       821      
 21.8    163     5450     3.16554    3.16576    0.000218731 41       832      
 22.3    165     5503     3.16555    3.16576    0.000211803 41       848      
 22.54   166     5551     3.16555    3.16576    0.000207192 41       855      
 22.86   167     5600     3.16555    3.16575    0.000203859 43       866      
 23.46   169     5655     3.16555    3.16575    0.000200162 40       886      
 23.95   170     5700     3.16555    3.16575    0.000197335 39       901      
 24.23   171     5750     3.16555    3.16575    0.000196155 46       909      
 24.79   173     5809     3.16555    3.16574    0.000191291 38       926      
 25.15   174     5855     3.16555    3.16574    0.000187081 40       936      
 25.84   175     5900     3.16556    3.16574    0.000183952 41       957      
 26.18   176     5950     3.16556    3.16574    0.000182857 40       966      
 26.74   177     6000     3.16556    3.16574    0.000179699 40       982      
 27.37   179     6067     3.16556    3.16573    0.000177816 42       1000     
 27.62   180     6115     3.16556    3.16573    0.000177313 40       1006     
 27.97   181     6150     3.16556    3.16573    0.000170395 40       1015     
 28.33   183     6200     3.16556    3.16573    0.00016536  42       1024     
