
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/4d8b74e760d7.pomdpx
  loading time : 0.18s 

SARSOP initializing ...
  initialization time : 5.73s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 5.73    0       0        1.05405    3.23452    2.18048     30       1        
 5.81    2       50       1.96492    3.12263    1.15772     12       17       
 5.89    4       100      2.34735    3.12258    0.775232    7        29       
 5.96    7       150      2.57891    3.12254    0.543627    9        36       
 6.11    8       200      2.75364    3.12247    0.368833    9        51       
 6.38    10      250      2.85295    3.12238    0.269438    16       67       
 6.82    12      300      2.93211    3.12231    0.190194    15       81       
 7.76    14      350      2.97642    3.12225    0.145825    17       99       
 8.86    16      400      3.00909    3.12213    0.113039    17       116      
 9.51    18      450      3.02994    3.12202    0.0920824   14       123      
 10.91   20      501      3.04455    3.12198    0.077424    12       139      
 12.38   22      553      3.0554     3.12196    0.066564    14       153      
 13.57   24      605      3.0652     3.12195    0.0567534   14       164      
 15.06   26      657      3.07252    3.12194    0.0494193   15       177      
 15.66   28      709      3.08094    3.12192    0.040972    15       181      
 17.5    30      761      3.08599    3.1219     0.0359074   14       195      
 18.63   32      800      3.08807    3.12189    0.0338286   14       202      
 20.18   33      850      3.0921     3.12179    0.0296883   15       213      
 21.16   35      900      3.0951     3.12176    0.0266593   17       218      
 23.61   37      950      3.0982     3.12173    0.0235298   17       236      
 25.93   39      1000     3.10026    3.12172    0.0214532   16       251      
 28.2    41      1050     3.1019     3.1217     0.0198008   17       265      
 29.84   44      1111     3.1046     3.12169    0.0170858   17       275      
 31.51   46      1159     3.10611    3.12168    0.0155738   15       284      
 33.1    48      1207     3.10711    3.12167    0.0145646   16       292      
 35.66   50      1255     3.10837    3.12167    0.0132944   18       306      
 37.44   52      1303     3.10935    3.12166    0.012315    18       315      
 39.83   54      1350     3.1104     3.12158    0.0111846   19       327      
 42.92   56      1400     3.11129    3.12151    0.010224    19       343      
 47.28   59      1459     3.11274    3.12143    0.00869613  19       363      
 50.6    61      1503     3.11346    3.12137    0.00790436  19       378      
 54.02   63      1550     3.11412    3.1213     0.00718002  20       394      
 57.69   65      1600     3.11473    3.12121    0.00648104  20       410      
 61.23   68      1657     3.11548    3.12107    0.00558954  21       423      
 65.42   70      1701     3.11605    3.12094    0.00488547  22       440      
 68.6    72      1751     3.11657    3.12087    0.00429382  22       452      
 72.49   74      1800     3.11695    3.1208     0.00385155  22       466      
 76.62   76      1850     3.11724    3.12075    0.00351614  22       483      
 80.23   78      1900     3.11752    3.1207     0.00317904  21       496      
 85.36   80      1950     3.11777    3.12065    0.0028858   21       515      
 90.05   82      2000     3.11798    3.12065    0.00267432  21       531      
 95      84      2050     3.11823    3.12064    0.0024083   23       548      
 97.29   86      2100     3.11838    3.12061    0.00222856  23       555      
 100.89  89      2161     3.11862    3.1206     0.0019861   22       569      
 105.63  91      2209     3.11878    3.1206     0.00181505  22       584      
 110.75  93      2257     3.119      3.12059    0.00159805  22       600      
 114.34  95      2305     3.1191     3.12059    0.00149018  22       610      
 117.91  97      2355     3.11923    3.12057    0.00133989  22       620      
 123.6   99      2405     3.11932    3.12057    0.00124722  22       638      
 128.43  101     2453     3.11939    3.12057    0.00117446  22       652      
 134.18  103     2501     3.11949    3.12057    0.00107202  22       669      
 139.37  105     2551     3.11956    3.12057    0.00100519  22       684      
 144.83  107     2600     3.11965    3.12056    0.000916863 22       699      
 150.45  109     2650     3.11971    3.12056    0.000853767 22       715      
 156.87  111     2700     3.11978    3.12055    0.000766965 22       732      
 160.82  113     2750     3.11983    3.12055    0.000717243 22       743      
 167.84  115     2800     3.11987    3.12054    0.000664444 22       761      
 172.72  118     2857     3.11994    3.12053    0.000593118 22       773      
 178.96  120     2903     3.11997    3.12053    0.000562011 22       788      
 185.16  122     2950     3.12       3.12052    0.000524795 22       804      
 192.8   124     3000     3.12002    3.12052    0.000497049 22       823      
 200.53  127     3059     3.12007    3.12051    0.000442408 22       841      
 205.7   129     3105     3.1201     3.12051    0.000411202 22       853      
 212.91  131     3153     3.12013    3.1205     0.000376569 22       869      
 220.23  133     3201     3.12014    3.1205     0.000351858 22       885      
 226.39  135     3251     3.12017    3.12049    0.000324301 22       899      
 233.19  137     3301     3.12018    3.12049    0.000309175 22       914      
 241.97  139     3351     3.1202     3.12049    0.000288085 22       933      
 248.65  141     3400     3.12021    3.12048    0.000272182 22       948      
 259.35  143     3450     3.12022    3.12048    0.000260027 23       970      
 267.98  145     3500     3.12024    3.12048    0.000244329 22       988      
 277.59  147     3550     3.12025    3.12048    0.000233115 22       1008     
 286.2   149     3600     3.12025    3.12047    0.000220734 22       1026     
 295.4   151     3650     3.12027    3.12047    0.000204891 23       1045     
 302.98  153     3700     3.12027    3.12047    0.000192999 22       1060     
 312.59  155     3750     3.12028    3.12047    0.000187135 22       1078     
 324.23  157     3800     3.12028    3.12047    0.00018201  22       1100     
 331.37  159     3850     3.12029    3.12046    0.00017361  22       1114     
 343.37  161     3900     3.12029    3.12046    0.000165962 23       1137     
 353.38  163     3950     3.1203     3.12046    0.000158402 22       1154     
 363.28  165     4000     3.1203     3.12046    0.000154429 23       1171     
 371.27  167     4050     3.12031    3.12046    0.00015127  22       1185     
 379.98  169     4100     3.12031    3.12046    0.000148015 22       1200     
 388.32  171     4150     3.12031    3.12046    0.000144836 22       1215     
 398.62  173     4200     3.12031    3.12046    0.000142551 23       1232     
 410.63  175     4250     3.12032    3.12046    0.000134878 22       1252     
 421.93  177     4300     3.12033    3.12045    0.000128415 23       1272     
 433.72  179     4350     3.12033    3.12045    0.000124141 23       1291     
 441.56  181     4400     3.12033    3.12045    0.000119899 23       1303     
 450.1   183     4450     3.12033    3.12045    0.000118606 22       1317     
 461.3   185     4500     3.12033    3.12045    0.000115442 22       1332     
 476.83  187     4550     3.12034    3.12045    0.000112883 23       1355     
 486.39  189     4600     3.12034    3.12045    0.000110581 22       1367     
 499.55  191     4650     3.12034    3.12045    0.000108426 23       1386     
 508.15  194     4711     3.12034    3.12045    0.000104171 22       1400     
 516.4   196     4759     3.12034    3.12045    0.00010312  23       1412     
 525.58  198     4803     3.12035    3.12045    0.000102695 23       1427     
 535.68  200     4850     3.12035    3.12045    0.000101898 23       1442     
 548.22  202     4900     3.12035    3.12045    9.91666e-05 23       1460     
 562.06  204     4950     3.12035    3.12045    9.81048e-05 23       1477     
 575.11  207     5011     3.12035    3.12045    9.74006e-05 23       1494     
 586.17  209     5059     3.12035    3.12045    9.52321e-05 23       1509     
 599.7   211     5105     3.12035    3.12044    9.24392e-05 23       1529     
 612.22  213     5155     3.12035    3.12044    9.14937e-05 23       1546     
 625.28  215     5200     3.12035    3.12044    9.05955e-05 23       1563     
 638.57  217     5250     3.12035    3.12044    8.66058e-05 22       1581     
 648.9   219     5300     3.12036    3.12044    8.40699e-05 22       1596     
 660.89  221     5350     3.12036    3.12044    8.03855e-05 24       1614     
 672.18  223     5400     3.12036    3.12044    7.99582e-05 23       1630     
 685.44  225     5450     3.12036    3.12043    7.77512e-05 24       1648     
 696.09  227     5500     3.12036    3.12043    7.7208e-05  23       1661     
 705.14  229     5550     3.12036    3.12043    7.70023e-05 24       1673     
 718.95  231     5600     3.12036    3.12043    7.62e-05    23       1690     
 733.99  233     5650     3.12036    3.12043    7.40869e-05 24       1709     
 747.6   235     5703     3.12036    3.12043    7.2692e-05  23       1726     
 762.29  237     5755     3.12036    3.12043    7.19938e-05 23       1743     
 775.39  239     5803     3.12036    3.12043    7.17679e-05 23       1759     
 788.01  241     5855     3.12036    3.12043    7.09907e-05 23       1773     
 803.16  243     5905     3.12036    3.12043    7.05966e-05 23       1791     
 815.07  245     5953     3.12036    3.12043    6.88684e-05 23       1806     
 830.48  247     6005     3.12036    3.12043    6.82337e-05 23       1824     
 843.96  249     6055     3.12036    3.12043    6.68836e-05 23       1840     
 856.89  251     6105     3.12036    3.12043    6.64756e-05 23       1855     
 870.66  253     6155     3.12036    3.12043    6.50981e-05 23       1872     
 881.75  255     6207     3.12036    3.12043    6.45492e-05 23       1885     
 893.32  257     6257     3.12036    3.12043    6.43951e-05 23       1900     
 911.38  259     6311     3.12036    3.12043    6.39545e-05 23       1919     
 921.11  261     6359     3.12036    3.12043    6.39016e-05 23       1931     
 934.93  263     6407     3.12036    3.12043    6.38182e-05 23       1945     
 945.79  265     6457     3.12036    3.12043    6.37387e-05 23       1957     
 958.01  267     6507     3.12037    3.12043    6.33988e-05 23       1971     
 971.64  269     6555     3.12037    3.12043    6.32518e-05 23       1986     
 984.5   271     6603     3.12037    3.12043    6.1959e-05  23       2000     
 1000.01 273     6651     3.12037    3.12043    6.17236e-05 23       2016     
 1013.74 275     6701     3.12037    3.12043    6.15076e-05 23       2030     
 1031.2  277     6750     3.12037    3.12043    5.98558e-05 23       2049     
 1044.93 279     6801     3.12037    3.12043    5.97355e-05 23       2064     
 1060.41 281     6851     3.12037    3.12043    5.95102e-05 23       2081     
 1075.22 283     6901     3.12037    3.12043    5.92526e-05 23       2097     
 1087.74 285     6951     3.12037    3.12043    5.89917e-05 23       2111     
 1099.48 287     7000     3.12037    3.12043    5.88779e-05 23       2124     
 1111.45 289     7050     3.12037    3.12043    5.87602e-05 24       2137     
 1122.99 291     7100     3.12037    3.12043    5.86924e-05 23       2148     
 1137.23 293     7150     3.12037    3.12043    5.85628e-05 23       2161     
 1151.76 295     7200     3.12037    3.12043    5.85073e-05 23       2175     
 1166.69 298     7259     3.12037    3.12043    5.83502e-05 23       2190     
 1183.2  300     7309     3.12037    3.12043    5.82753e-05 23       2205     
 1193.92 302     7353     3.12037    3.12043    5.82215e-05 23       2217     
 1209.18 304     7401     3.12037    3.12043    5.77542e-05 23       2233     
 1219.85 306     7450     3.12037    3.12043    5.77088e-05 24       2244     
 1234.05 308     7500     3.12037    3.12043    5.75121e-05 23       2258     
 1244.75 311     7550     3.12037    3.12043    5.73386e-05 23       2269     
