
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/4d8d7c90b237.pomdpx
  loading time : 0.18s 

SARSOP initializing ...
  initialization time : 6.67s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 6.67    0       0        0.540294   0.977471   0.437177    30       1        
 8.35    2       65       0.599894   0.908446   0.308553    15       19       
 8.88    3       100      0.614516   0.908053   0.293537    30       22       
 11      5       159      0.623833   0.903416   0.279583    37       31       
 11.77   6       200      0.650074   0.902923   0.252849    22       36       
 13.87   8       253      0.667248   0.901825   0.234577    10       41       
 19.09   10      300      0.683464   0.901644   0.21818     6        50       
 20.67   11      350      0.700819   0.900656   0.199837    11       52       
 24.25   13      405      0.716093   0.900169   0.184076    9        56       
 27.68   15      450      0.72663    0.899982   0.173352    10       59       
 29.95   16      500      0.739389   0.899781   0.160393    6        61       
 35.66   18      555      0.744682   0.899329   0.154647    9        65       
 40.69   20      600      0.753862   0.899285   0.145424    7        69       
 47.93   21      650      0.768963   0.898484   0.129521    5        74       
 64.35   23      707      0.773364   0.898231   0.124867    10       84       
 85.92   24      750      0.778641   0.898128   0.119487    7        92       
 95.31   26      800      0.784584   0.898      0.113416    7        95       
 117.87  28      855      0.788259   0.897873   0.109613    14       101      
 142.08  30      900      0.792722   0.897785   0.105063    11       107      
 154.61  31      950      0.799569   0.897348   0.0977788   8        110      
 182.78  33      1005     0.805048   0.896998   0.0919503   9        116      
 220.82  35      1050     0.805787   0.896987   0.0912001   10       125      
 231.77  36      1100     0.807162   0.89671    0.0895482   13       128      
 253.52  38      1155     0.812824   0.896568   0.0837439   10       134      
 271.57  40      1200     0.813352   0.896459   0.0831071   10       139      
 285.55  41      1250     0.817666   0.896317   0.0786512   8        142      
 316.26  43      1305     0.820024   0.896119   0.0760956   13       148      
 352.71  45      1363     0.822887   0.895915   0.0730283   14       158      
 364.32  46      1400     0.823165   0.895822   0.0726568   15       160      
 388.34  48      1451     0.825447   0.895728   0.0702812   15       164      
 420.89  50      1511     0.826868   0.895652   0.0687843   12       169      
 435.07  51      1550     0.827286   0.895616   0.0683301   14       171      
 480.58  53      1603     0.828084   0.895562   0.0674779   13       178      
 508.17  55      1663     0.828915   0.895289   0.0663739   14       182      
 522.75  56      1700     0.829086   0.895281   0.0661953   18       184      
 545.3   58      1751     0.830377   0.895183   0.0648057   17       187      
 582.33  60      1811     0.831668   0.895052   0.0633844   13       192      
 597.17  61      1850     0.832175   0.894995   0.0628208   12       194      
 621.8   63      1900     0.833323   0.89488    0.0615569   12       197      
 662.83  65      1957     0.834928   0.894754   0.0598256   16       202      
 696.71  66      2000     0.835789   0.894743   0.058954    15       206      
 724.8   68      2050     0.83656    0.89471    0.0581502   13       209      
 759     70      2105     0.838075   0.894677   0.0566023   15       213      
 794.89  72      2163     0.838935   0.894672   0.0557366   16       217      
 813.93  73      2200     0.83942    0.894631   0.0552111   14       219      
 850.95  75      2251     0.839873   0.894582   0.0547092   18       223      
 878.38  77      2309     0.840105   0.894571   0.0544669   20       226      
 898.46  78      2350     0.840713   0.894566   0.0538528   15       228      
 947.88  80      2400     0.841176   0.894445   0.0532689   16       233      
 998.88  82      2459     0.841426   0.894355   0.0529287   19       238      
 1020.53 83      2500     0.842258   0.894333   0.0520751   15       240      
 1063.89 85      2550     0.842717   0.894314   0.0515962   17       244      
 1118.08 87      2609     0.843212   0.894309   0.0510968   16       249      
 1150.55 88      2650     0.843448   0.894179   0.0507308   18       252      
 1167.37 90      2700     0.844481   0.893962   0.049481    21       255      
 1234.19 92      2753     0.84493    0.893891   0.0489612   21       261      
 1277.98 94      2811     0.845891   0.893891   0.0480001   17       265      
 1300.58 95      2850     0.846164   0.893871   0.0477073   18       267      
 1367.34 97      2903     0.846709   0.893784   0.047075    24       273      
 1441.6  99      2965     0.847519   0.893761   0.0462422   20       279      
 1479.66 100     3000     0.847667   0.893713   0.0460457   21       282      
 1515.02 102     3055     0.847902   0.893693   0.0457905   21       285      
 1589.57 103     3100     0.847943   0.893686   0.0457437   24       291      
 1628    105     3150     0.848078   0.89368    0.0456021   23       294      
 1680.58 107     3207     0.848706   0.893598   0.0448925   20       299      
 1721.4  108     3250     0.849012   0.893593   0.0445807   19       302      
 1761.18 110     3300     0.849355   0.893574   0.0442188   18       305      
 1825.47 112     3359     0.849642   0.893561   0.0439196   21       310      
 1865.74 113     3400     0.84972    0.893503   0.0437829   22       313      
 1906.37 115     3450     0.84995    0.893496   0.0435458   21       316      
 1954.08 117     3507     0.850923   0.893406   0.0424823   20       320      
Writing policy file: ./4d8d7c90b237_118_2026.07.policy
Intermediate policy written(interval: 2000)
 2026.07 118     3550     0.851141   0.893383   0.0422416   19       325      
 2055.65 120     3600     0.851431   0.893188   0.0417569   22       327      
 2112.52 122     3653     0.851707   0.893113   0.0414058   22       331      
 2151.78 124     3711     0.85185    0.893112   0.0412616   21       334      
 2197.46 125     3750     0.851897   0.89309    0.0411927   22       337      
 2212.69 127     3800     0.852205   0.893081   0.0408763   23       338      
 2256.87 129     3855     0.852346   0.893081   0.0407345   22       341      
 2318.73 131     3900     0.852382   0.893032   0.0406505   23       345      
 2350.18 132     3950     0.852563   0.893016   0.0404532   22       347      
 2397.6  134     4005     0.852662   0.892976   0.0403146   26       350      
 2443.71 136     4063     0.852704   0.892927   0.0402235   26       353      
 2475.53 137     4100     0.852734   0.892872   0.0401379   29       355      
 2538.39 139     4151     0.852932   0.892861   0.0399297   23       359      
 2608.83 141     4211     0.853002   0.892806   0.0398045   24       364      
 2641.46 142     4250     0.853096   0.892768   0.0396719   21       366      
 2719.11 144     4300     0.853167   0.892764   0.039597    22       371      
 2801.5  146     4361     0.853254   0.892665   0.0394106   24       376      
 2850.88 147     4400     0.853283   0.892664   0.0393817   28       379      
 2930.98 149     4455     0.853302   0.892618   0.0393166   28       384      
 2994.68 151     4513     0.85362    0.892615   0.0389948   27       388      
 3026.48 152     4550     0.853674   0.892614   0.0389405   24       390      
 3097.18 154     4601     0.853841   0.892511   0.0386697   21       394      
