
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/28a446e47eb.pomdpx
  loading time : 0.52s 

SARSOP initializing ...
  initialization time : 24.53s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 24.53   0       0        0.768453   1.48182    0.713369    50       1        
 24.57   3       53       1.1551     1.41437    0.259268    80       19       
 24.62   6       107      1.28353    1.41407    0.13054     110      26       
 24.66   9       150      1.31832    1.41392    0.0956027   133      32       
 24.71   11      200      1.34966    1.41371    0.0640487   142      37       
 24.77   14      253      1.36383    1.41339    0.049565    158      45       
 24.85   17      300      1.37132    1.41322    0.0419041   176      57       
 24.92   19      350      1.38216    1.4131     0.0309405   204      62       
 25.03   22      407      1.38799    1.41301    0.025021    219      74       
 25.1    24      450      1.39021    1.41291    0.0227015   229      78       
 25.2    27      501      1.39509    1.41255    0.017461    235      85       
 25.29   30      557      1.39778    1.41251    0.0147251   236      90       
 25.39   32      600      1.39969    1.41238    0.012685    260      96       
 25.49   35      650      1.40173    1.41216    0.010424    265      103      
 25.6    38      700      1.40303    1.41211    0.00908122  267      109      
 25.71   41      753      1.40447    1.41193    0.00746173  299      119      
 25.83   44      809      1.40534    1.41188    0.00654232  325      127      
 25.95   47      857      1.40608    1.4118     0.00571335  351      131      
 26.08   50      905      1.40651    1.41172    0.0052099   365      138      
 26.19   53      957      1.40739    1.41169    0.00429545  383      142      
 26.31   55      1000     1.40769    1.41167    0.00397395  398      148      
 26.46   58      1057     1.40804    1.41164    0.00360483  444      155      
 26.58   60      1100     1.40827    1.41161    0.00333704  464      160      
 26.73   63      1151     1.40851    1.41153    0.00302137  491      167      
 26.92   66      1205     1.40874    1.4115     0.00276277  532      174      
 27.21   69      1255     1.4089     1.41142    0.00252242  560      187      
 27.38   71      1300     1.40909    1.4114     0.00230866  567      195      
 27.59   74      1355     1.40925    1.41138    0.00212777  600      204      
 27.82   77      1400     1.40936    1.41137    0.0020064   615      214      
 28.07   79      1450     1.4095     1.41135    0.00184622  630      221      
 28.29   82      1505     1.40965    1.41133    0.0016803   632      226      
 28.59   84      1550     1.40969    1.4113     0.00161198  677      237      
 28.88   87      1601     1.40974    1.41126    0.00152447  668      245      
 29.08   89      1650     1.40978    1.41126    0.00147949  674      251      
 29.43   92      1703     1.40983    1.41125    0.00141985  654      260      
 29.69   94      1751     1.40987    1.41123    0.00136074  317      264      
 29.87   96      1800     1.40991    1.41122    0.00130909  344      273      
 30.12   99      1850     1.40996    1.41121    0.0012484   362      286      
 30.39   101     1903     1.40998    1.41118    0.0011986   265      297      
 30.59   103     1950     1.41001    1.41118    0.00116163  235      311      
 30.75   105     2000     1.41003    1.41117    0.0011385   175      316      
 30.95   108     2057     1.41006    1.41116    0.00110192  151      328      
 31.13   110     2103     1.41008    1.41115    0.00106802  127      339      
 31.3    112     2150     1.4101     1.41114    0.00103628  123      350      
 31.49   115     2200     1.41011    1.41113    0.00101615  103      360      
 31.65   117     2255     1.41012    1.41112    0.00099257  90       367      
 31.75   119     2301     1.41014    1.41111    0.00097105  88       372      
 31.92   121     2350     1.41016    1.4111     0.00093748  68       382      
 32.06   123     2400     1.41018    1.41109    0.000911018 65       388      
 32.23   125     2450     1.41019    1.41108    0.000893182 62       397      
 32.37   127     2500     1.4102     1.41108    0.000878698 65       406      
 32.49   129     2550     1.41021    1.41106    0.000854538 62       410      
 32.72   131     2600     1.41021    1.41105    0.000839889 57       422      
 32.87   133     2650     1.41022    1.41105    0.000825009 64       428      
 33.14   136     2711     1.41023    1.41104    0.00080403  58       441      
 33.25   138     2759     1.41024    1.41103    0.000791464 54       445      
 33.4    140     2807     1.41024    1.41102    0.000780163 52       452      
 33.54   142     2855     1.41025    1.41102    0.000771983 52       457      
 33.61   144     2905     1.41025    1.41101    0.000762605 53       460      
 33.87   146     2951     1.41026    1.41101    0.000751122 53       473      
 34.05   148     3003     1.41026    1.411      0.00073941  54       481      
 34.17   150     3051     1.41026    1.41099    0.000730664 53       486      
 34.28   152     3100     1.41026    1.41099    0.000724677 53       489      
 34.46   154     3150     1.41027    1.41099    0.00071974  53       495      
 34.62   156     3200     1.41027    1.41098    0.000709557 53       503      
 35      158     3250     1.41027    1.41098    0.000704733 56       515      
 35.21   160     3300     1.41028    1.41096    0.000687244 51       523      
 35.42   162     3350     1.41028    1.41096    0.000681273 52       529      
 35.54   164     3400     1.41028    1.41096    0.000670818 49       536      
 35.67   166     3450     1.41029    1.41095    0.000664969 50       544      
 35.83   168     3500     1.41029    1.41095    0.000660164 51       550      
 35.95   170     3550     1.41029    1.41095    0.000654874 49       554      
 36.11   172     3600     1.41029    1.41094    0.000651006 50       560      
 36.37   174     3650     1.41029    1.41094    0.000647225 50       568      
 36.53   176     3700     1.4103     1.41094    0.000639866 49       573      
 36.66   178     3750     1.4103     1.41093    0.000637523 54       577      
 36.92   180     3800     1.4103     1.41093    0.000629975 52       586      
 37.06   182     3850     1.4103     1.41093    0.000625452 50       591      
 37.19   184     3900     1.4103     1.41092    0.000622068 50       594      
 37.4    186     3950     1.4103     1.41092    0.00061593  52       600      
 37.8    188     4000     1.4103     1.41092    0.000613787 53       614      
 38      190     4050     1.41031    1.41091    0.000607962 56       620      
 38.09   192     4100     1.41031    1.41091    0.000602429 56       621      
 38.24   194     4150     1.41031    1.4109     0.000592975 55       624      
 38.64   196     4200     1.41031    1.4109     0.000590659 53       636      
 38.85   198     4250     1.41031    1.4109     0.000587549 51       644      
 39.14   200     4300     1.41031    1.4109     0.000584876 51       652      
 39.55   202     4350     1.41032    1.4109     0.00058137  52       665      
 39.76   204     4400     1.41032    1.41089    0.000575511 51       669      
 40.08   206     4450     1.41032    1.41089    0.000572596 52       678      
 40.42   208     4500     1.41032    1.41089    0.000566758 56       688      
 40.53   210     4550     1.41032    1.41088    0.000562736 53       692      
 41.15   212     4600     1.41032    1.41088    0.000559868 54       711      
 41.47   214     4650     1.41032    1.41088    0.000557459 53       719      
 41.68   216     4700     1.41032    1.41088    0.000554971 58       725      
 41.94   218     4750     1.41032    1.41087    0.000548311 58       732      
 42.28   221     4811     1.41032    1.41087    0.000544998 56       742      
 42.55   223     4855     1.41033    1.41086    0.000533589 56       750      
 42.68   225     4900     1.41033    1.41086    0.000527675 54       753      
 42.81   227     4950     1.41033    1.41085    0.000521895 53       756      
 43.13   229     5000     1.41033    1.41085    0.000519464 52       764      
 43.44   231     5050     1.41033    1.41085    0.000515473 50       772      
 43.9    233     5100     1.41033    1.41084    0.000509672 50       783      
 44.52   235     5150     1.41033    1.41084    0.00050531  51       799      
 45.02   238     5200     1.41033    1.41084    0.000501063 54       813      
 45.21   239     5250     1.41033    1.41083    0.000496481 53       818      
 45.62   241     5300     1.41034    1.41083    0.000492717 52       827      
 46.23   244     5361     1.41034    1.41082    0.000481369 51       841      
 46.65   246     5411     1.41034    1.41082    0.000478624 54       849      
 46.83   247     5450     1.41034    1.41082    0.000477675 53       854      
 47.19   249     5500     1.41034    1.41081    0.000475686 54       862      
 47.46   251     5550     1.41034    1.41081    0.000472688 53       869      
 47.76   253     5600     1.41034    1.41081    0.000466844 52       875      
 47.93   255     5650     1.41034    1.41081    0.000465784 52       877      
 48.17   258     5700     1.41034    1.4108     0.00046141  52       881      
 48.49   260     5761     1.41034    1.4108     0.000455179 55       888      
 49.11   262     5809     1.41034    1.41079    0.000452525 53       901      
 49.54   264     5857     1.41034    1.41079    0.000445005 56       909      
 50.04   266     5909     1.41034    1.41078    0.000443236 55       918      
 50.44   268     5959     1.41034    1.41078    0.000441539 57       925      
 50.91   270     6009     1.41034    1.41078    0.000440501 59       934      
 51.43   272     6059     1.41034    1.41078    0.00043589  55       943      
 51.73   274     6107     1.41034    1.41078    0.000432645 56       948      
 51.91   276     6157     1.41034    1.41078    0.000432393 55       951      
 52.21   278     6205     1.41034    1.41077    0.000431458 55       956      
 52.69   280     6255     1.41034    1.41077    0.000430545 57       963      
 53.05   282     6303     1.41034    1.41077    0.000427889 58       969      
 53.81   284     6353     1.41034    1.41077    0.00042504  57       984      
 54.19   286     6403     1.41034    1.41076    0.000420618 61       991      
 54.48   288     6451     1.41034    1.41076    0.00041725  64       997      
 55.34   290     6501     1.41034    1.41076    0.000414131 62       1012     
 56.04   292     6550     1.41034    1.41076    0.000413162 62       1025     
 56.54   294     6600     1.41034    1.41076    0.000410645 60       1033     
 56.94   296     6650     1.41034    1.41075    0.000408904 60       1039     
 57.48   298     6700     1.41035    1.41075    0.00040636  58       1048     
 58.05   300     6750     1.41035    1.41075    0.000402839 59       1057     
 58.59   302     6800     1.41035    1.41075    0.000400796 61       1069     
 59.08   304     6850     1.41035    1.41074    0.000397914 60       1076     
 59.49   306     6900     1.41035    1.41074    0.000395829 61       1082     
 59.91   309     6950     1.41035    1.41074    0.00039027  61       1091     
 60.38   310     7000     1.41035    1.41074    0.000388674 62       1097     
 60.98   313     7050     1.41035    1.41073    0.000385816 61       1110     
 61.22   315     7111     1.41035    1.41073    0.000383913 61       1113     
 61.66   317     7161     1.41035    1.41073    0.000381553 60       1121     
 62.07   319     7209     1.41035    1.41073    0.000380083 60       1128     
 62.49   321     7257     1.41035    1.41072    0.000373583 60       1135     
 63.02   323     7309     1.41035    1.41072    0.000369618 60       1145     
 63.97   325     7357     1.41035    1.41072    0.000366756 58       1162     
 64.27   327     7409     1.41035    1.41071    0.000363858 59       1165     
 64.96   329     7459     1.41035    1.41071    0.000361293 59       1177     
 65.26   331     7511     1.41035    1.41071    0.000360149 57       1180     
 65.58   333     7550     1.41035    1.41071    0.000359787 59       1186     
 65.83   334     7600     1.41035    1.41071    0.000358492 59       1188     
 66.29   336     7650     1.41035    1.41071    0.000356348 59       1196     
 66.6    338     7700     1.41035    1.4107     0.000353927 58       1199     
 67.06   340     7750     1.41035    1.4107     0.000353569 58       1205     
 67.19   342     7800     1.41035    1.4107     0.000352096 57       1206     
 68.05   344     7850     1.41035    1.4107     0.000349573 56       1217     
 68.43   346     7900     1.41035    1.4107     0.000348562 59       1222     
 69.37   348     7950     1.41035    1.4107     0.000347845 59       1235     
 69.66   350     8000     1.41035    1.4107     0.000345245 57       1237     
 70.44   352     8050     1.41035    1.41069    0.000344023 57       1248     
 70.81   354     8100     1.41035    1.41069    0.00034146  58       1252     
 71.45   356     8150     1.41035    1.41069    0.000339625 58       1259     
 71.72   358     8200     1.41035    1.41069    0.000337603 57       1261     
 72.22   360     8250     1.41035    1.41069    0.000335112 57       1267     
 72.55   362     8300     1.41035    1.41069    0.000334684 59       1270     
 72.92   364     8350     1.41035    1.41068    0.000333382 59       1274     
 73.76   367     8411     1.41035    1.41068    0.000330959 58       1285     
 74.11   369     8459     1.41035    1.41068    0.000330878 60       1289     
 74.57   371     8509     1.41035    1.41068    0.000330365 61       1295     
 74.92   373     8557     1.41035    1.41068    0.000326393 58       1298     
 76.6    375     8609     1.41035    1.41068    0.000325145 59       1320     
 77.11   377     8659     1.41035    1.41067    0.000324036 61       1327     
 77.65   379     8711     1.41035    1.41067    0.000322992 61       1334     
 78.24   380     8750     1.41035    1.41067    0.000321698 59       1342     
 78.93   382     8800     1.41035    1.41067    0.000320016 57       1350     
 79.42   384     8850     1.41035    1.41067    0.00031964  58       1355     
 79.76   386     8900     1.41035    1.41067    0.000317689 60       1360     
 80.12   388     8950     1.41035    1.41066    0.000313241 57       1363     
 80.39   390     9000     1.41035    1.41066    0.000313191 57       1365     
 81.55   392     9050     1.41035    1.41066    0.000312275 60       1381     
 81.68   394     9100     1.41035    1.41066    0.000308596 60       1381     
 81.93   396     9150     1.41035    1.41066    0.000308448 67       1385     
 82.28   398     9200     1.41035    1.41066    0.000307282 66       1389     
 83.3    400     9250     1.41035    1.41066    0.000304256 63       1401     
 83.67   402     9300     1.41035    1.41065    0.000303178 62       1404     
 84.7    404     9350     1.41035    1.41065    0.000301274 60       1419     
 84.99   406     9400     1.41035    1.41065    0.000300876 60       1421     
 85.22   408     9450     1.41035    1.41065    0.00029965  63       1423     
 85.74   410     9500     1.41035    1.41065    0.000297652 62       1432     
 86.4    412     9550     1.41035    1.41065    0.00029745  61       1442     
 86.72   414     9600     1.41035    1.41065    0.000294323 59       1445     
 87.09   416     9650     1.41035    1.41065    0.000293184 59       1449     
 87.66   419     9700     1.41035    1.41064    0.000292162 60       1455     
 88.3    420     9750     1.41035    1.41064    0.000290773 64       1461     
 88.79   422     9800     1.41035    1.41064    0.000290613 62       1467     
 89.81   424     9850     1.41035    1.41064    0.000289802 62       1479     
 91.06   426     9900     1.41035    1.41064    0.000288649 61       1493     
 91.54   428     9950     1.41035    1.41064    0.000286875 61       1499     
 91.79   430     10000    1.41035    1.41064    0.00028569  61       1502     
 92.55   432     10050    1.41035    1.41064    0.00028495  61       1511     
 93.07   434     10100    1.41035    1.41064    0.000284258 63       1515     
 93.8    436     10150    1.41035    1.41064    0.000283378 63       1522     
 94.39   438     10200    1.41035    1.41063    0.000281337 63       1528     
