
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/28a60fca97e.pomdpx
  loading time : 0.69s 

SARSOP initializing ...
  initialization time : 67.23s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 67.23   0       0        0.507072   0.753385   0.246313    50       1        
 67.4    2       50       0.585001   0.688947   0.103945    16       21       
 67.64   4       100      0.619959   0.687527   0.0675685   24       41       
 68.05   7       150      0.641071   0.686431   0.0453594   15       59       
 69.5    10      207      0.648104   0.685967   0.0378635   20       83       
 73.11   12      250      0.651075   0.685713   0.0346379   29       105      
 76.53   15      300      0.653668   0.685428   0.0317592   18       122      
 85.1    17      351      0.656179   0.685171   0.0289924   37       143      
 94.39   20      403      0.656808   0.684988   0.0281797   26       166      
 105.54  22      450      0.657267   0.684745   0.0274784   21       190      
 126.72  23      500      0.657833   0.684377   0.0265438   33       218      
 137.83  25      551      0.657998   0.684083   0.0260851   35       233      
 153.23  27      600      0.658054   0.684004   0.0259498   38       254      
 168.58  29      650      0.658325   0.683887   0.0255625   29       274      
 191.31  32      713      0.659133   0.683577   0.0244446   25       299      
 210.75  34      763      0.659384   0.68346    0.0240757   25       318      
 233.17  35      800      0.659604   0.683227   0.0236234   29       336      
 269.21  37      861      0.66       0.682899   0.0228989   28       363      
 301.3   38      900      0.660119   0.682829   0.0227106   30       387      
 333.23  40      959      0.660278   0.68244    0.0221622   32       407      
 362.8   42      1011     0.661133   0.682132   0.020999    29       429      
 390.27  43      1050     0.661263   0.682014   0.0207503   31       446      
 419.04  45      1100     0.661473   0.681836   0.0203636   32       467      
 452.24  47      1151     0.661873   0.681643   0.0197702   32       489      
 492.75  50      1200     0.66224    0.681585   0.0193448   31       516      
 514.32  51      1251     0.66258    0.681415   0.0188352   32       529      
 545.42  53      1300     0.662968   0.681338   0.0183701   31       549      
 584.43  55      1351     0.663164   0.681211   0.0180463   32       573      
 631.18  57      1409     0.663302   0.681172   0.0178699   32       598      
 673.05  58      1450     0.663311   0.681136   0.017825    33       622      
 699.52  61      1500     0.663841   0.680855   0.017014    30       637      
 767.31  63      1565     0.664111   0.680603   0.016492    33       668      
 811.74  65      1613     0.66441    0.680424   0.0160141   30       689      
 858.4   66      1650     0.664466   0.68041    0.0159435   31       710      
 906.17  68      1705     0.664704   0.680257   0.0155531   35       727      
 959.79  70      1755     0.664949   0.680065   0.0151162   37       749      
 1027.12 71      1800     0.665058   0.679906   0.0148483   37       775      
 1075.65 74      1857     0.665185   0.67978    0.0145953   37       797      
 1146.58 75      1900     0.665211   0.679762   0.0145509   37       824      
 1205.74 77      1950     0.665337   0.679586   0.0142494   38       845      
 1258.49 79      2000     0.665371   0.679487   0.0141163   38       865      
 1309.89 82      2050     0.665722   0.679372   0.0136502   36       890      
 1373.15 84      2100     0.6659     0.679215   0.013315    38       912      
 1446.84 86      2150     0.666106   0.679175   0.0130691   35       938      
 1513.66 88      2205     0.666231   0.678944   0.0127127   38       958      
 1612.94 90      2250     0.666268   0.678937   0.0126695   36       988      
 1658.17 91      2301     0.666401   0.678788   0.012387    36       1004     
 1736.84 93      2350     0.666555   0.678624   0.0120684   37       1028     
 1810.7  95      2400     0.666627   0.67861    0.011983    39       1054     
 1884.98 97      2450     0.666824   0.678436   0.0116113   40       1080     
 1950.84 99      2503     0.666985   0.678417   0.0114315   36       1097     
 2044.76 100     2550     0.667059   0.678411   0.0113516   37       1124     
Writing policy file: ./28a60fca97e_103_2119.34.policy
Intermediate policy written(interval: 2000)
 2119.34 103     2611     0.667271   0.678268   0.0109975   40       1143     
 2186.73 105     2653     0.667478   0.678156   0.0106774   38       1162     
 2296.12 106     2700     0.66762    0.678076   0.0104558   38       1189     
 2371.73 108     2751     0.667762   0.677959   0.010197    41       1208     
 2454.99 110     2807     0.667808   0.677885   0.0100769   41       1230     
 2569.77 111     2850     0.667858   0.67784    0.00998106  41       1255     
 2656.53 113     2901     0.667877   0.677718   0.00984078  41       1276     
 2747.26 115     2950     0.668055   0.677546   0.00949122  44       1299     
 2850.88 117     3009     0.668136   0.677448   0.00931242  42       1324     
 2924.45 118     3050     0.668175   0.677424   0.00924891  42       1344     
 3030.41 120     3109     0.668256   0.677284   0.00902787  41       1368     
 3091.93 123     3155     0.668386   0.677207   0.00882139  39       1386     
 3187.11 125     3201     0.668501   0.677139   0.00863774  37       1407     
 3306.44 127     3250     0.668546   0.677044   0.00849771  42       1436     
 3384.67 129     3315     0.668618   0.677015   0.00839703  39       1456     
 3457.42 130     3350     0.668643   0.677012   0.00836896  42       1472     
 3559.59 132     3409     0.668649   0.677001   0.0083518   42       1498     
 3663.01 133     3450     0.668659   0.677      0.00834099  42       1522     
 3759.74 135     3505     0.668673   0.676994   0.00832108  43       1542     
 3875.26 136     3550     0.668709   0.676873   0.00816438  44       1566     
 3944.62 139     3603     0.668827   0.676739   0.00791172  41       1585     
 4048.25 141     3650     0.668908   0.676735   0.00782766  41       1602     
Writing policy file: ./28a60fca97e_143_4180.41.policy
Intermediate policy written(interval: 2000)
 4180.41 143     3707     0.668925   0.676731   0.00780605  43       1623     
 4283.34 145     3750     0.66897    0.676714   0.00774405  42       1647     
 4368.23 147     3805     0.669034   0.676663   0.00762885  42       1664     
 4444.34 149     3855     0.669085   0.676649   0.00756464  41       1684     
 4536.81 150     3900     0.669095   0.676625   0.00752959  41       1709     
 4603.44 152     3951     0.669124   0.676609   0.00748525  41       1726     
 4673.56 154     4000     0.669138   0.676529   0.00739085  42       1749     
 4730.65 157     4057     0.669207   0.676512   0.00730501  41       1770     
 4786.73 158     4100     0.669236   0.676441   0.00720496  42       1790     
 4837.23 160     4153     0.669262   0.676431   0.00716866  42       1810     
 4878.64 163     4203     0.669291   0.676402   0.00711023  41       1827     
 4937.08 164     4250     0.669326   0.676395   0.00706929  44       1853     
 4975.6  166     4305     0.669388   0.676337   0.00694906  42       1869     
 5015.82 168     4351     0.669417   0.676272   0.00685438  44       1889     
 5089.66 170     4400     0.669439   0.676192   0.00675298  42       1916     
 5130.48 172     4461     0.669476   0.676131   0.00665551  43       1931     
 5169.57 173     4500     0.669493   0.676077   0.00658411  43       1948     
 5221.82 175     4565     0.669513   0.676053   0.00654009  44       1972     
 5262.11 176     4600     0.669519   0.676051   0.00653161  44       1988     
 5304.31 178     4651     0.669524   0.676048   0.00652337  44       2007     
 5345.34 180     4700     0.669553   0.675977   0.00642442  45       2028     
 5391.41 182     4759     0.669565   0.67597    0.00640566  45       2043     
 5408.36 184     4809     0.669572   0.675963   0.00639064  44       2051     
 5450.14 186     4855     0.66958    0.67596    0.00637973  46       2068     
 5508.21 188     4900     0.669582   0.675955   0.00637302  47       2091     
 5536.06 189     4950     0.669592   0.675899   0.006307    46       2100     
 5591.1  191     5007     0.669595   0.675893   0.0062984   48       2123     
 5653    192     5050     0.669596   0.675893   0.0062972   46       2147     
 5703.91 194     5105     0.669611   0.675847   0.00623565  46       2163     
 5772.3  195     5150     0.669616   0.675772   0.00615607  48       2188     
 5791.96 197     5200     0.669624   0.675767   0.00614236  46       2195     
 5850.26 199     5265     0.66963    0.675759   0.00612842  46       2213     
 5912.42 200     5300     0.669631   0.675759   0.00612722  47       2227     
 5989.62 202     5350     0.669663   0.675736   0.00607317  47       2246     
 6075.92 205     5400     0.669677   0.675733   0.00605558  47       2269     
 6130.27 207     5450     0.66972    0.675704   0.00598383  45       2283     
Writing policy file: ./28a60fca97e_209_6214.56.policy
Intermediate policy written(interval: 2000)
 6214.56 209     5507     0.669735   0.6757     0.00596454  46       2303     
 6306.19 210     5550     0.669741   0.675697   0.00595636  47       2325     
 6388.78 212     5601     0.669761   0.675694   0.00593218  47       2341     
 6485.82 214     5650     0.669777   0.675655   0.00587763  47       2361     
 6580.19 216     5703     0.669794   0.675618   0.00582386  47       2382     
 6686.43 218     5750     0.66984    0.675537   0.00569734  48       2405     
 6765.43 220     5803     0.669859   0.675508   0.00564825  47       2420     
 6912.6  221     5850     0.669868   0.675507   0.00563926  47       2445     
 7001.83 223     5901     0.66989    0.675482   0.00559197  48       2462     
 7064.55 226     5953     0.669925   0.675477   0.00555189  47       2477     
 7137.21 228     6000     0.669945   0.675422   0.00547699  47       2493     
 7267.97 230     6050     0.669969   0.675342   0.00537388  47       2516     
 7384.6  232     6111     0.669987   0.675339   0.00535167  47       2539     
 7501.6  234     6159     0.670032   0.67529    0.00525842  48       2557     
 7620.19 235     6200     0.670042   0.67529    0.00524769  47       2580     
 7742.87 237     6250     0.670075   0.67516    0.0050849   48       2603     
 7822.54 239     6300     0.670089   0.675159   0.00507042  47       2617     
 7962.73 241     6350     0.670118   0.675117   0.00499897  49       2639     
 8149.92 243     6415     0.670131   0.675115   0.00498457  48       2667     
 8194.66 244     6450     0.670131   0.675112   0.00498116  49       2678     
Writing policy file: ./28a60fca97e_246_8301.08.policy
Intermediate policy written(interval: 2000)
 8301.08 246     6507     0.670142   0.675109   0.00496702  48       2693     
 8383.2  248     6553     0.670169   0.675105   0.00493589  47       2707     
 8492.63 250     6600     0.670182   0.675104   0.00492243  47       2727     
 8617.93 253     6655     0.670214   0.675058   0.00484429  48       2747     
 8768.86 254     6700     0.670247   0.675055   0.00480769  49       2768     
 8892.5  258     6750     0.670297   0.675051   0.00475426  46       2787     
 9029.54 259     6800     0.670324   0.675036   0.00471289  47       2808     
 9180.65 261     6857     0.670338   0.675008   0.00466925  45       2828     
 9304.19 262     6900     0.670352   0.674948   0.00459622  47       2847     
 9421.28 264     6957     0.67036    0.674944   0.00458443  49       2864     
 9559    266     7003     0.670388   0.67492    0.00453276  48       2883     
 9698.93 268     7055     0.670406   0.674918   0.0045122   48       2903     
 9857.84 270     7109     0.670414   0.674917   0.00450243  48       2924     
 9992.04 271     7150     0.670421   0.674868   0.0044467   49       2941     
 10167   273     7211     0.670442   0.674864   0.00442247  47       2963     
 10270.8 274     7250     0.670456   0.67486    0.00440441  46       2981     
Writing policy file: ./28a60fca97e_276_10368.7.policy
Intermediate policy written(interval: 2000)
 10368.7 276     7300     0.670459   0.67486    0.00440103  47       2998     
-------------------------------------------------------------------------------

SARSOP finishing ...
  Preset timeout reached
  Timeout     : 10000.000000s
  Actual Time : 10368.710000s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 10368.7 276     7300     0.670459   0.67486    0.00440103  47       2998     
-------------------------------------------------------------------------------

Writing out policy ...
  output file : ./28a60fca97e.policyx

