
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/28a99c41e4.pomdpx
  loading time : 0.55s 

SARSOP initializing ...
  initialization time : 21.68s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 21.68   0       0        0.507271   0.753166   0.245895    50       1        
 21.73   2       63       0.615147   0.688516   0.0733691   81       16       
 21.77   3       100      0.632967   0.68851    0.0555429   103      23       
 21.8    5       150      0.653832   0.688386   0.0345538   121      27       
 21.87   7       201      0.665405   0.688289   0.0228837   107      35       
 21.93   9       255      0.671339   0.688199   0.0168601   111      43       
 22      11      309      0.674238   0.68818    0.0139418   148      57       
 22.07   13      357      0.677469   0.688115   0.0106461   150      63       
 22.15   15      400      0.680242   0.68808    0.00783824  148      70       
 22.19   17      451      0.681674   0.688042   0.00636776  169      74       
 22.27   19      501      0.682726   0.688009   0.00528285  176      82       
 22.37   21      550      0.683569   0.687961   0.00439211  190      90       
 22.44   23      601      0.68408    0.687948   0.00386754  211      96       
 22.56   25      650      0.684766   0.68792    0.00315435  225      104      
 22.67   27      700      0.685144   0.687893   0.00274832  241      111      
 22.83   29      750      0.685402   0.687883   0.0024816   257      122      
 22.96   31      800      0.685627   0.687873   0.00224601  285      129      
 23.02   33      850      0.685836   0.687871   0.00203459  323      131      
 23.21   36      900      0.685984   0.687864   0.00187979  323      142      
 23.39   38      957      0.686273   0.687835   0.00156186  351      154      
 23.53   39      1000     0.686334   0.687834   0.00150037  379      163      
 23.68   41      1050     0.686504   0.687822   0.00131774  407      168      
 23.85   43      1105     0.686575   0.687813   0.00123844  390      176      
 24.05   45      1159     0.686617   0.687804   0.00118681  424      184      
 24.15   46      1200     0.686675   0.687802   0.00112702  452      188      
 24.38   48      1250     0.686735   0.687798   0.00106299  448      194      
 24.69   50      1300     0.686795   0.687792   0.000996449 454      204      
 24.94   52      1355     0.686861   0.687788   0.000926683 473      218      
 25.25   54      1407     0.686908   0.687784   0.000876037 493      228      
 25.55   56      1459     0.686933   0.687771   0.000838208 509      236      
 25.93   58      1511     0.686954   0.687764   0.000810176 520      248      
 26.08   59      1550     0.686974   0.687762   0.000788286 559      251      
 26.33   61      1600     0.687048   0.687757   0.000708668 578      256      
 26.55   63      1651     0.687076   0.687755   0.000678863 609      260      
 26.97   65      1709     0.687089   0.68775    0.000660438 283      267      
 27.16   66      1750     0.687095   0.687744   0.0006485   303      275      
 27.32   68      1811     0.687141   0.687742   0.000601535 354      278      
 27.49   69      1850     0.687145   0.68774    0.000595102 321      281      
 27.76   71      1901     0.687148   0.687738   0.000589331 302      288      
 28.1    73      1961     0.687162   0.687736   0.00057421  266      299      
 28.28   74      2000     0.687166   0.687734   0.000568667 237      306      
 28.5    76      2050     0.687182   0.687732   0.000550233 198      311      
 28.67   78      2105     0.687194   0.687731   0.000536463 145      316      
 28.91   80      2150     0.68721    0.687729   0.000519197 109      324      
 29.04   81      2200     0.687219   0.687727   0.000507961 100      327      
 29.22   83      2261     0.687229   0.687726   0.000496989 95       332      
 29.31   84      2300     0.687236   0.687724   0.000488107 63       335      
 29.5    86      2357     0.687246   0.687723   0.000476709 56       342      
 29.68   87      2400     0.687248   0.687722   0.000474268 50       349      
 29.86   89      2450     0.68725    0.687722   0.000471852 55       356      
 30.06   91      2509     0.687256   0.687719   0.000463605 54       362      
 30.24   92      2550     0.687258   0.687718   0.00046009  58       368      
 30.48   94      2600     0.687259   0.687716   0.000456507 53       375      
 30.78   96      2661     0.687263   0.687713   0.000450591 59       386      
 30.86   97      2700     0.687272   0.687713   0.000440865 51       388      
 30.97   99      2759     0.687276   0.687711   0.00043477  51       390      
 31.14   100     2800     0.687279   0.68771    0.000430791 53       397      
 31.41   102     2850     0.687281   0.687708   0.000426845 50       405      
 31.61   104     2911     0.687285   0.687706   0.000420781 45       410      
 31.72   105     2950     0.687286   0.687706   0.00042044  48       412      
 32      107     3001     0.687288   0.687705   0.000416858 51       420      
 32.18   109     3063     0.687291   0.687703   0.000411749 50       426      
 32.27   110     3100     0.687291   0.687703   0.000411399 52       428      
 32.52   112     3153     0.687294   0.687701   0.000406799 52       436      
 32.76   114     3213     0.687295   0.687701   0.00040544  51       444      
 32.91   115     3250     0.687296   0.687701   0.000404874 50       448      
 33.14   117     3301     0.687298   0.6877     0.000402394 49       453      
 33.5    119     3361     0.687299   0.6877     0.00040118  50       461      
 33.6    120     3400     0.687299   0.6877     0.000400621 52       463      
 33.89   122     3450     0.6873     0.687699   0.000399025 57       471      
 34.12   124     3503     0.687302   0.687698   0.000395239 57       475      
 34.33   126     3550     0.687305   0.687697   0.000392762 58       483      
 34.51   127     3600     0.687306   0.687695   0.000389493 60       487      
