
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/28b1788dd15.pomdpx
  loading time : 0.68s 

SARSOP initializing ...
  initialization time : 55.97s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 55.97   0       0        0.69395    2.22954    1.53559     50       1        
 56.31   2       50       1.28143    2.12534    0.843916    10       24       
 56.67   4       100      1.55926    2.12528    0.566021    14       34       
 57.13   6       150      1.70735    2.12521    0.417859    17       41       
 58.01   8       200      1.80532    2.12517    0.319853    10       52       
 59.19   11      261      1.90454    2.1251     0.220566    12       62       
 61.54   13      311      1.95624    2.12507    0.16883     12       76       
 64.46   15      359      1.99058    2.12503    0.13445     11       89       
 67.51   17      409      2.01211    2.12502    0.11291     13       100      
 72.33   19      459      2.03891    2.12498    0.0860708   13       116      
 80.04   21      509      2.0482     2.12496    0.0767628   14       137      
 85.85   23      559      2.06162    2.12493    0.0633052   13       150      
 90.74   25      607      2.0708     2.12486    0.0540594   13       161      
 97.07   27      657      2.07994    2.12484    0.0449025   11       173      
 104.11  29      705      2.08696    2.12479    0.0378331   13       187      
 110.63  31      753      2.09158    2.12478    0.0331988   14       199      
 118.54  33      801      2.09492    2.12478    0.0298606   14       213      
 125.09  35      850      2.09852    2.12475    0.0262282   14       223      
 134.86  37      900      2.10204    2.12466    0.0226252   13       239      
 141.15  39      950      2.10422    2.12465    0.0204308   14       247      
 152.35  41      1000     2.10643    2.12462    0.0181853   16       265      
 164.18  43      1050     2.10849    2.1246     0.0161066   15       280      
 171.36  46      1111     2.11058    2.12459    0.0140053   20       289      
 182.41  48      1157     2.11159    2.12459    0.0129935   19       303      
 192.07  50      1201     2.11268    2.12458    0.0118961   18       315      
 205     52      1250     2.11372    2.12453    0.0108106   20       328      
 219.28  55      1300     2.11461    2.12452    0.00990677  19       344      
 228.73  57      1355     2.11578    2.12445    0.00867256  21       353      
 245.61  59      1400     2.11657    2.1244     0.00783865  22       370      
 258.98  61      1450     2.11719    2.12436    0.00716746  22       384      
 275.72  64      1509     2.11796    2.12423    0.00626917  22       398      
 291.74  66      1553     2.11847    2.12418    0.00570961  23       413      
 308.41  68      1600     2.11881    2.12414    0.00532309  24       430      
 329.16  71      1657     2.1193     2.12406    0.00476189  26       447      
 345.44  73      1700     2.11966    2.12399    0.00433296  26       462      
 367.28  75      1750     2.12       2.12392    0.00392103  25       481      
 385.19  78      1807     2.12038    2.12385    0.00346804  26       494      
 400.83  80      1851     2.12062    2.12378    0.00316301  28       507      
 426.05  82      1900     2.12081    2.12375    0.00294075  27       527      
 454.8   85      1950     2.12097    2.12372    0.00274892  31       548      
 480.07  87      2007     2.12129    2.12366    0.0023745   31       567      
 503.92  89      2051     2.12144    2.12361    0.00217321  30       586      
 535.39  91      2100     2.12158    2.12359    0.00200156  30       608      
 572.85  93      2150     2.12172    2.12356    0.00183711  32       629      
 602.03  95      2200     2.12184    2.12354    0.00169496  34       645      
 630.79  97      2250     2.12195    2.12352    0.00156759  34       661      
 665.99  99      2300     2.12204    2.1235     0.00146158  34       680      
 697.12  101     2350     2.12213    2.1235     0.00136241  35       698      
 730.89  104     2400     2.12221    2.12349    0.0012885   35       716      
 770.7   106     2457     2.12231    2.12349    0.00118396  34       737      
 792.98  108     2503     2.12234    2.12348    0.00114306  34       751      
 828.23  110     2550     2.12239    2.12347    0.00108455  35       769      
 858.22  112     2600     2.12244    2.12347    0.00103391  35       786      
 916.27  114     2650     2.12249    2.12346    0.000964309 36       808      
 974.31  116     2700     2.12255    2.12346    0.000908107 35       829      
 1025.61 119     2757     2.12261    2.12344    0.000834915 35       848      
 1059.94 121     2803     2.12264    2.12344    0.000800405 35       863      
 1102.73 123     2850     2.12267    2.12344    0.000765575 36       881      
 1147.99 125     2900     2.12271    2.12344    0.00072582  37       898      
 1199.25 128     2957     2.12275    2.12343    0.000679885 37       918      
 1258.26 130     3001     2.12279    2.12342    0.000638976 36       937      
 1307.98 132     3050     2.12282    2.12342    0.000596763 37       960      
 1352.63 135     3109     2.12287    2.12342    0.000544198 37       979      
 1410.78 137     3155     2.1229     2.12341    0.000512801 37       1000     
 1467.64 139     3200     2.12291    2.1234     0.000490316 38       1022     
 1531.64 142     3259     2.12294    2.1234     0.000450703 37       1042     
 1595.86 144     3305     2.12297    2.12339    0.000419404 37       1062     
 1659.58 146     3350     2.12299    2.12338    0.00039463  37       1082     
 1750.9  148     3400     2.123      2.12338    0.00037641  38       1109     
 1804.84 151     3457     2.12302    2.12337    0.000353495 38       1129     
 1864.03 153     3503     2.12303    2.12337    0.000338681 37       1147     
 1935.25 155     3550     2.12304    2.12337    0.000323913 37       1167     
 2028.7  157     3600     2.12306    2.12336    0.000309033 38       1191     
Writing policy file: ./28b1788dd15_160_2110.66.policy
Intermediate policy written(interval: 2000)
 2110.66 160     3659     2.12307    2.12336    0.000285619 37       1212     
 2167.95 162     3705     2.12309    2.12336    0.000268862 38       1231     
 2251.73 164     3751     2.12309    2.12335    0.000261096 38       1248     
 2327.97 166     3800     2.1231     2.12335    0.000250356 37       1266     
 2398.99 168     3850     2.12311    2.12335    0.000239935 40       1284     
 2508.01 170     3900     2.12312    2.12335    0.00023382  40       1310     
 2585.97 173     3950     2.12312    2.12335    0.000222022 39       1329     
 2665.14 175     4009     2.12314    2.12334    0.000208781 39       1348     
 2740.05 177     4055     2.12314    2.12334    0.000203238 38       1367     
 2826.53 179     4103     2.12315    2.12334    0.000194708 39       1386     
 2893    181     4150     2.12315    2.12334    0.000192206 39       1402     
 2998.28 183     4200     2.12316    2.12334    0.000186075 38       1421     
 3104.24 185     4250     2.12316    2.12334    0.000180263 39       1442     
 3200.74 187     4300     2.12317    2.12334    0.000172031 39       1460     
 3307.64 189     4350     2.12317    2.12334    0.000170147 38       1483     
 3380.72 192     4400     2.12317    2.12334    0.000165838 38       1499     
 3475.56 194     4461     2.12318    2.12334    0.000159538 38       1517     
 3550.34 196     4505     2.12318    2.12334    0.000154775 38       1535     
 3638.05 198     4550     2.12318    2.12334    0.000152088 38       1551     
 3720.44 200     4600     2.12319    2.12334    0.000148    38       1568     
 3818.11 202     4650     2.12319    2.12334    0.000144493 38       1586     
 3907.94 205     4700     2.12319    2.12334    0.000142295 38       1602     
 3996.02 207     4757     2.1232     2.12334    0.000137551 38       1618     
 4069.22 209     4801     2.1232     2.12334    0.000136121 38       1634     
Writing policy file: ./28b1788dd15_211_4162.08.policy
Intermediate policy written(interval: 2000)
 4162.08 211     4850     2.1232     2.12334    0.000134835 38       1654     
 4255.04 214     4905     2.1232     2.12334    0.00013333  39       1672     
 4334.57 216     4950     2.1232     2.12334    0.000131195 39       1689     
 4469.62 218     5000     2.12321    2.12334    0.000130289 39       1713     
 4566.62 221     5053     2.12321    2.12334    0.000128069 39       1727     
 4679.71 223     5100     2.12321    2.12333    0.000125447 39       1747     
 4778.62 226     5159     2.12321    2.12333    0.000123239 39       1765     
 4849.38 228     5201     2.12321    2.12333    0.000121598 39       1778     
 4948.64 230     5250     2.12321    2.12333    0.00012116  39       1798     
 5024.73 233     5301     2.12322    2.12333    0.000116673 39       1812     
 5134.22 235     5350     2.12322    2.12333    0.000115019 39       1831     
 5226.33 238     5407     2.12322    2.12333    0.000113271 39       1847     
 5295.34 240     5450     2.12322    2.12333    0.00011264  39       1860     
 5388.28 242     5500     2.12322    2.12333    0.000110538 39       1877     
 5481.47 245     5559     2.12322    2.12333    0.000109573 39       1892     
 5534.07 247     5601     2.12322    2.12333    0.000108583 39       1904     
 5644.26 249     5650     2.12322    2.12333    0.000105872 38       1922     
 5745.79 252     5707     2.12323    2.12333    0.00010471  39       1941     
 5870.08 254     5750     2.12323    2.12333    0.000103952 39       1959     
 6009.42 257     5809     2.12323    2.12333    0.00010163  39       1980     
 6093.52 259     5850     2.12323    2.12333    0.000100036 39       1994     
Writing policy file: ./28b1788dd15_261_6210.81.policy
Intermediate policy written(interval: 2000)
 6210.81 261     5900     2.12323    2.12333    9.83367e-05 39       2011     
 6299.47 264     5955     2.12323    2.12333    9.5534e-05  39       2026     
 6415.51 266     6000     2.12323    2.12333    9.49732e-05 39       2043     
 6536.3  269     6059     2.12323    2.12333    9.35623e-05 39       2063     
 6620.76 271     6101     2.12323    2.12333    9.31455e-05 39       2076     
 6756.12 273     6150     2.12323    2.12333    9.24641e-05 40       2097     
 6894.11 276     6207     2.12323    2.12332    9.01501e-05 39       2118     
 6979.05 278     6250     2.12323    2.12332    9.00506e-05 39       2131     
 7108.03 281     6300     2.12323    2.12332    8.99637e-05 39       2153     
 7201.55 283     6353     2.12324    2.12332    8.76251e-05 39       2166     
 7290.07 285     6400     2.12324    2.12332    8.69672e-05 39       2184     
 7396.34 288     6457     2.12324    2.12332    8.55975e-05 39       2204     
 7470.58 290     6500     2.12324    2.12332    8.43347e-05 39       2220     
 7541.39 292     6550     2.12324    2.12332    8.41525e-05 39       2239     
 7588.77 295     6603     2.12324    2.12332    8.37754e-05 39       2252     
 7628.78 297     6650     2.12324    2.12332    8.28976e-05 39       2267     
 7677.04 300     6707     2.12324    2.12332    8.2571e-05  39       2283     
 7710.4  302     6750     2.12324    2.12332    8.19632e-05 40       2295     
 7744.16 304     6800     2.12324    2.12332    8.16393e-05 39       2309     
 7785.6  307     6857     2.12324    2.12332    8.13549e-05 39       2323     
 7806.74 309     6900     2.12324    2.12332    8.11737e-05 39       2332     
 7851.7  311     6950     2.12324    2.12332    8.07263e-05 39       2351     
 7891.94 314     7005     2.12324    2.12332    8.04771e-05 39       2364     
 7928.43 316     7050     2.12324    2.12332    7.92072e-05 39       2379     
 7968.09 318     7100     2.12324    2.12332    7.90846e-05 39       2394     
 7995.12 321     7153     2.12324    2.12332    7.85599e-05 40       2407     
 8022.05 323     7200     2.12324    2.12332    7.81708e-05 39       2417     
 8058.87 326     7257     2.12324    2.12332    7.79218e-05 39       2433     
 8095.71 328     7300     2.12324    2.12332    7.7641e-05  39       2447     
 8131.98 331     7350     2.12324    2.12332    7.74544e-05 39       2465     
 8158.8  333     7403     2.12324    2.12332    7.69569e-05 39       2475     
 8207.14 335     7450     2.12324    2.12332    7.61079e-05 39       2496     
Writing policy file: ./28b1788dd15_338_8245.87.policy
Intermediate policy written(interval: 2000)
 8245.87 338     7507     2.12324    2.12332    7.56735e-05 39       2513     
 8275.07 340     7550     2.12324    2.12332    7.53705e-05 39       2530     
 8300.27 342     7600     2.12324    2.12332    7.4412e-05  39       2548     
 8325.59 345     7655     2.12324    2.12332    7.40863e-05 39       2562     
 8339.77 347     7700     2.12325    2.12332    7.39427e-05 39       2572     
 8390.14 350     7759     2.12325    2.12332    7.27742e-05 39       2595     
 8415.36 352     7803     2.12325    2.12332    7.2635e-05  40       2610     
 8456.21 354     7850     2.12325    2.12332    7.10074e-05 39       2631     
 8494.28 357     7907     2.12325    2.12332    7.08906e-05 40       2646     
 8537.49 359     7951     2.12325    2.12332    7.04513e-05 39       2663     
 8553.02 361     8000     2.12325    2.12332    7.03434e-05 39       2671     
 8588.84 364     8057     2.12325    2.12332    7.01927e-05 39       2685     
 8605.13 366     8100     2.12325    2.12332    7.01558e-05 39       2695     
 8646.62 369     8150     2.12325    2.12332    6.99891e-05 39       2711     
 8667.99 371     8201     2.12325    2.12332    6.99237e-05 39       2721     
 8697.19 373     8250     2.12325    2.12332    6.97997e-05 39       2732     
 8717.54 376     8303     2.12325    2.12332    6.97171e-05 39       2744     
 8739.58 378     8350     2.12325    2.12332    6.9651e-05  39       2755     
 8795.32 381     8400     2.12325    2.12332    6.95759e-05 39       2774     
 8820.32 383     8453     2.12325    2.12332    6.94433e-05 39       2784     
 8881.21 385     8500     2.12325    2.12332    6.92966e-05 39       2802     
 8914.66 388     8559     2.12325    2.12332    6.81623e-05 39       2816     
 8932.52 390     8600     2.12325    2.12332    6.81392e-05 39       2824     
 8958.84 393     8659     2.12325    2.12332    6.79971e-05 39       2840     
 8996.67 395     8701     2.12325    2.12332    6.70296e-05 39       2855     
 9034.65 397     8750     2.12325    2.12332    6.69673e-05 39       2868     
 9058.89 400     8805     2.12325    2.12332    6.69081e-05 39       2877     
 9085.76 402     8850     2.12325    2.12332    6.65422e-05 39       2888     
 9118.27 405     8907     2.12325    2.12332    6.64357e-05 39       2903     
 9141.48 407     8950     2.12325    2.12332    6.63318e-05 39       2914     
 9162.54 409     9000     2.12325    2.12332    6.62544e-05 39       2923     
 9188.39 412     9055     2.12325    2.12332    6.61825e-05 39       2934     
 9213.28 414     9100     2.12325    2.12332    6.60366e-05 39       2947     
 9265.06 417     9150     2.12325    2.12332    6.59804e-05 39       2965     
 9297.51 419     9205     2.12325    2.12332    6.57756e-05 40       2976     
 9335.57 421     9250     2.12325    2.12332    6.57305e-05 39       2988     
 9387.74 424     9309     2.12325    2.12332    6.54997e-05 39       3006     
 9424.39 426     9350     2.12325    2.12332    6.54507e-05 39       3017     
 9463.53 428     9400     2.12325    2.12332    6.53637e-05 39       3034     
 9507.3  431     9455     2.12325    2.12332    6.50557e-05 39       3046     
 9556.42 433     9500     2.12325    2.12331    6.44267e-05 39       3062     
 9585.29 436     9555     2.12325    2.12331    6.43336e-05 39       3074     
 9611.65 438     9600     2.12325    2.12331    6.42721e-05 39       3083     
 9645.71 441     9655     2.12325    2.12331    6.41953e-05 39       3097     
 9676.5  443     9700     2.12325    2.12331    6.41738e-05 39       3106     
 9705.94 446     9750     2.12325    2.12331    6.41347e-05 39       3117     
 9740.67 448     9805     2.12325    2.12331    6.40223e-05 39       3127     
 9762.08 450     9850     2.12325    2.12331    6.40138e-05 39       3135     
 9794.75 453     9905     2.12325    2.12331    6.39314e-05 39       3143     
 9820.99 455     9951     2.12325    2.12331    6.38255e-05 39       3151     
 9839.76 457     10000    2.12325    2.12331    6.38053e-05 39       3158     
 9867.73 460     10051    2.12325    2.12331    6.37368e-05 39       3166     
 9894.78 463     10105    2.12325    2.12331    6.36959e-05 39       3177     
 9928.02 465     10150    2.12325    2.12331    6.36413e-05 39       3190     
 9950.38 468     10200    2.12325    2.12331    6.35826e-05 39       3200     
 10016.6 470     10250    2.12325    2.12331    6.34426e-05 39       3218     
 10064.1 473     10300    2.12325    2.12331    6.33842e-05 39       3231     
 10103.7 476     10357    2.12325    2.12331    6.33413e-05 39       3241     
 10124.8 478     10400    2.12325    2.12331    6.32826e-05 39       3247     
 10171.3 481     10453    2.12325    2.12331    6.32212e-05 39       3259     
 10208.9 484     10500    2.12325    2.12331    6.32116e-05 39       3267     
 10229.1 486     10550    2.12325    2.12331    6.31719e-05 39       3271     
Writing policy file: ./28b1788dd15_489_10248.5.policy
Intermediate policy written(interval: 2000)
 10248.5 489     10601    2.12325    2.12331    6.31571e-05 39       3277     
-------------------------------------------------------------------------------

SARSOP finishing ...
  Preset timeout reached
  Timeout     : 10000.000000s
  Actual Time : 10248.510000s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 10248.5 489     10601    2.12325    2.12331    6.31571e-05 39       3277     
-------------------------------------------------------------------------------

Writing out policy ...
  output file : ./28b1788dd15.policyx

