
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/28b446e47eb.pomdpx
  loading time : 0.49s 

SARSOP initializing ...
  initialization time : 24.00s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 24      0       0        1.27724    2.3447     1.06747     50       1        
 24.03   3       51       1.90219    2.24695    0.344763    8        16       
 24.05   5       100      2.01624    2.24695    0.230705    28       24       
 24.09   8       151      2.09998    2.24673    0.146744    30       30       
 24.12   11      209      2.15831    2.24647    0.0881649   46       37       
 24.16   13      250      2.17429    2.24633    0.0720369   66       43       
 24.2    16      300      2.19684    2.2462     0.0493553   86       47       
 24.25   19      355      2.20814    2.24598    0.0378453   111      55       
 24.3    21      419      2.21257    2.24597    0.0334031   143      61       
 24.35   22      450      2.21635    2.24586    0.0295151   161      67       
 24.43   24      505      2.2224     2.24576    0.0233659   195      77       
 24.52   26      557      2.22596    2.24573    0.0197643   221      84       
 24.59   27      600      2.22707    2.24572    0.01865     250      92       
 24.69   29      650      2.22868    2.24569    0.0170121   270      98       
 24.82   32      701      2.23128    2.24557    0.0142824   314      106      
 24.96   34      750      2.23258    2.24546    0.0128791   350      113      
 25.13   37      805      2.23501    2.24532    0.0103075   392      120      
 25.31   39      850      2.23612    2.2453     0.00918423  428      129      
 25.49   42      905      2.23758    2.24519    0.00761182  472      138      
 25.66   45      950      2.23843    2.24517    0.00673642  504      145      
 25.88   47      1000     2.2393     2.2451     0.00579526  545      151      
 26.16   50      1055     2.23994    2.245      0.00506699  594      162      
 26.46   53      1109     2.24049    2.24493    0.00444249  638      173      
 26.68   55      1150     2.24081    2.24491    0.00410166  670      180      
 27.11   58      1200     2.24122    2.24486    0.0036422   708      194      
 27.45   61      1251     2.24149    2.24476    0.00326897  759      206      
 27.84   64      1300     2.24175    2.24473    0.00297487  795      217      
 28.24   67      1351     2.24203    2.24469    0.00266447  835      224      
 28.73   70      1400     2.24217    2.24467    0.00250039  884      239      
 29.62   73      1455     2.24243    2.2446     0.00217666  145      252      
 29.85   75      1500     2.24251    2.24455    0.00203928  187      266      
 30.06   77      1551     2.24261    2.2445     0.00188946  222      277      
 30.34   80      1605     2.2427     2.24445    0.00174722  267      293      
 30.63   82      1651     2.24277    2.24441    0.00163937  309      305      
 31.02   85      1705     2.24288    2.24439    0.00151267  352      322      
 31.41   87      1750     2.24292    2.24438    0.00145692  169      337      
 31.67   89      1800     2.24296    2.24435    0.00139274  214      351      
 32.09   92      1857     2.24302    2.24432    0.00129655  161      367      
 32.44   94      1900     2.24306    2.2443     0.00124318  136      381      
 32.65   97      1957     2.24311    2.24427    0.00115751  96       393      
 32.92   99      2000     2.24314    2.24425    0.00111603  71       405      
 33.31   102     2059     2.24317    2.24422    0.00104864  72       423      
 33.51   104     2100     2.24319    2.24421    0.00101563  68       431      
 33.85   106     2150     2.24321    2.24419    0.000980053 63       446      
 34.19   108     2200     2.24324    2.24418    0.000943919 55       460      
 34.54   110     2250     2.24326    2.24417    0.000911773 57       476      
 34.81   112     2300     2.24327    2.24416    0.000891799 53       488      
 35.29   114     2350     2.24328    2.24415    0.000869319 48       507      
 35.59   116     2400     2.24329    2.24413    0.000841572 53       519      
 35.98   119     2457     2.2433     2.2441     0.000800637 51       534      
 36.35   121     2505     2.24331    2.24409    0.00078319  49       549      
 36.78   123     2550     2.24332    2.24408    0.000767174 47       563      
 37.11   126     2611     2.24333    2.24406    0.000737456 47       574      
 37.58   128     2661     2.24333    2.24406    0.0007235   51       589      
 37.99   130     2700     2.24334    2.24405    0.000711983 51       603      
 38.46   132     2750     2.24334    2.24404    0.000696372 52       622      
