
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/28b5e6b24dc.pomdpx
  loading time : 0.75s 

SARSOP initializing ...
  initialization time : 64.82s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 64.82   0       0        1.29885    4.13592    2.83707     50       1        
 65.41   2       50       2.33253    3.95772    1.62519     11       21       
 66.34   4       100      2.88732    3.95765    1.07033     17       36       
 68.16   6       150      3.2093     3.95755    0.748247    10       51       
 71.69   9       211      3.48072    3.95752    0.476793    7        68       
 76.57   11      250      3.54417    3.9574     0.413237    14       84       
 85.06   13      300      3.64011    3.95734    0.317229    20       104      
 94.02   15      350      3.71553    3.95723    0.241701    16       122      
 106     16      400      3.76671    3.95715    0.190433    16       142      
 117.26  18      450      3.80599    3.95694    0.150946    17       159      
 129.98  20      500      3.83504    3.95683    0.121789    13       176      
 144.98  22      550      3.85592    3.95676    0.100847    11       195      
 160.12  24      600      3.86925    3.95672    0.0874681   12       213      
 175.81  26      653      3.88378    3.9567     0.0729199   15       229      
 194.86  28      705      3.89262    3.95666    0.0640402   12       248      
 215.23  30      757      3.9002     3.95663    0.0564303   13       267      
 238.01  32      809      3.90744    3.95658    0.0491382   16       287      
 259.26  34      861      3.91325    3.9565     0.0432498   17       304      
 277.42  36      900      3.91523    3.95647    0.0412349   17       318      
 298.21  37      950      3.91944    3.95643    0.036991    19       334      
 314.75  39      1000     3.92266    3.9564     0.0337455   21       347      
 337.42  41      1050     3.92574    3.95637    0.0306271   19       361      
 356.36  43      1100     3.92904    3.95635    0.0273063   18       372      
 371.6   45      1150     3.93135    3.95627    0.0249221   20       381      
 397.16  47      1201     3.93293    3.95625    0.023312    23       397      
 420.34  49      1253     3.93473    3.95621    0.0214865   20       411      
 450.42  51      1305     3.93645    3.95615    0.0197085   22       428      
 476.91  53      1359     3.93801    3.95614    0.0181267   21       439      
 523.14  55      1413     3.93944    3.95608    0.0166404   25       460      
 546.57  56      1450     3.94009    3.95603    0.0159448   25       473      
 567.43  58      1500     3.9413     3.95602    0.0147182   25       483      
 601.13  60      1550     3.94227    3.95597    0.0137066   26       499      
 637.84  62      1600     3.94335    3.95588    0.0125312   27       513      
 659.29  64      1651     3.9442     3.95584    0.0116359   26       523      
 693.94  66      1703     3.94487    3.95579    0.0109184   27       537      
 728.81  68      1755     3.94562    3.95573    0.0101038   26       552      
 773.08  70      1807     3.94626    3.95567    0.00940893  26       569      
 804.75  72      1859     3.94684    3.95566    0.00882245  27       579      
 859.72  74      1911     3.94741    3.9556     0.00819328  28       599      
 896.42  75      1950     3.94765    3.9556     0.00795239  28       612      
 921.41  77      2000     3.9481     3.95559    0.00748293  28       621      
 973.78  79      2050     3.94849    3.95557    0.00707522  29       640      
 1011.78 82      2111     3.94898    3.95549    0.00651365  30       655      
 1058.8  84      2161     3.94935    3.95548    0.00613265  31       670      
 1110.95 86      2209     3.94967    3.95541    0.00573785  32       690      
 1177.36 88      2257     3.94997    3.95537    0.00540655  32       711      
 1231.53 90      2309     3.95028    3.95532    0.00504511  32       730      
 1283.29 92      2359     3.95051    3.95531    0.00479575  32       749      
 1327.35 94      2407     3.95071    3.95529    0.00458248  33       764      
 1405.45 96      2457     3.9509     3.95528    0.00438066  34       786      
 1490.56 98      2505     3.95108    3.95525    0.00416867  34       807      
 1552.82 100     2553     3.95125    3.95524    0.00399271  34       826      
 1620.84 102     2605     3.95146    3.95522    0.00376831  34       844      
 1683.38 104     2653     3.95162    3.95521    0.0035971   34       863      
 1733.51 106     2701     3.95181    3.95518    0.00337425  33       880      
 1783.69 108     2750     3.95193    3.95515    0.00321713  34       899      
 1835.07 110     2800     3.95209    3.95513    0.00304103  35       921      
 1878.91 112     2850     3.9522     3.95511    0.0029083   35       940      
 1929.14 114     2900     3.95232    3.9551     0.00278238  35       961      
 1980.12 116     2950     3.95244    3.95505    0.00260543  34       985      
 2031.47 118     3000     3.95256    3.95502    0.00246673  34       1010     
