
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/28e78313f9a.pomdpx
  loading time : 0.61s 

SARSOP initializing ...
  initialization time : 31.78s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 31.78   0       0        2.13413    4.07137    1.93724     50       1        
 32.18   2       50       3.08133    3.90193    0.820594    26       30       
 32.93   5       111      3.39941    3.89959    0.500178    36       53       
 34.11   7       157      3.50159    3.89812    0.396531    70       74       
 36.03   9       205      3.5517     3.89742    0.345729    104      96       
 38.71   11      253      3.58305    3.89674    0.313688    50       118      
 41.74   13      301      3.60695    3.89637    0.289419    36       140      
 45.28   15      350      3.62163    3.89602    0.274388    38       163      
 49.85   17      400      3.62988    3.89549    0.265613    31       187      
 54.89   19      450      3.65165    3.89496    0.243311    23       211      
 60.15   21      500      3.66445    3.89416    0.229708    26       234      
 66.65   23      550      3.6714     3.89394    0.222542    23       258      
 73.22   25      600      3.67791    3.89356    0.215656    24       280      
 80.04   27      650      3.68597    3.89302    0.207047    25       302      
 89.29   29      700      3.69137    3.89287    0.201492    22       327      
 98.46   31      750      3.6968     3.89171    0.19491     28       349      
 107.79  33      800      3.69858    3.89148    0.192896    26       371      
 117.65  35      850      3.70452    3.89122    0.186696    22       394      
 128.54  37      900      3.70935    3.89113    0.181778    28       417      
 139.84  40      961      3.71166    3.89086    0.1792      38       438      
 150.94  42      1009     3.71269    3.89073    0.178043    38       459      
 164.42  44      1057     3.7145     3.88971    0.175208    43       481      
 176.59  46      1107     3.71555    3.88968    0.174134    43       501      
 190.82  48      1159     3.71671    3.88914    0.172439    41       524      
 206.12  50      1207     3.71735    3.88903    0.171683    40       546      
 222     52      1259     3.71903    3.88872    0.169689    44       568      
 238.29  54      1309     3.72012    3.88863    0.168519    41       591      
 254.81  56      1357     3.72042    3.88854    0.168112    50       612      
 273.94  58      1407     3.72291    3.88751    0.164594    45       634      
 289.66  60      1457     3.72332    3.88746    0.164136    44       652      
 309.24  62      1507     3.72428    3.88733    0.163046    38       674      
 328.89  64      1557     3.72531    3.8873     0.161992    37       696      
 349.8   66      1605     3.72659    3.88643    0.15984     43       718      
 370.33  68      1653     3.72689    3.88637    0.159485    55       738      
 391.17  70      1701     3.72715    3.88634    0.159183    62       759      
 413.83  72      1750     3.72719    3.88631    0.159129    68       781      
 437.25  74      1800     3.72796    3.88629    0.158328    63       802      
 460.4   76      1850     3.72862    3.88622    0.157592    65       824      
 486.64  78      1900     3.72962    3.88611    0.15649     46       848      
 511.25  80      1950     3.7312     3.8841     0.152901    49       869      
 538.37  82      2000     3.73168    3.88409    0.15241     50       891      
 565.55  84      2051     3.73226    3.88402    0.151759    46       913      
 593.33  86      2101     3.73264    3.884      0.151365    52       934      
 617.57  88      2153     3.73301    3.88399    0.150984    57       953      
 646.22  90      2201     3.73317    3.88397    0.150804    68       974      
 676.34  92      2251     3.73323    3.88395    0.150727    82       994      
 708.15  94      2301     3.73359    3.88394    0.150352    75       1016     
 738.12  96      2350     3.73361    3.88393    0.150326    83       1036     
 772.56  98      2401     3.73382    3.88385    0.150031    82       1058     
 801.72  100     2451     3.73412    3.88374    0.149616    77       1077     
 840.33  102     2501     3.73471    3.88342    0.148701    72       1099     
 871.15  104     2551     3.73483    3.8834     0.148565    85       1119     
 911.6   106     2601     3.73542    3.88339    0.147962    64       1141     
 948.1   108     2651     3.736      3.88331    0.147312    54       1163     
 989.75  110     2703     3.73618    3.8831     0.146915    68       1184     
 1031.23 112     2753     3.73633    3.88308    0.146755    65       1205     
 1076.37 114     2803     3.73713    3.88204    0.144908    78       1228     
 1115.34 116     2853     3.73728    3.88196    0.144684    79       1249     
 1158.47 118     2905     3.73758    3.88188    0.144295    73       1271     
 1206.08 120     2955     3.73779    3.88184    0.14405     74       1292     
 1250.23 122     3007     3.73807    3.88124    0.143172    75       1314     
 1292.62 124     3061     3.73812    3.8812     0.143079    70       1336     
 1339.81 126     3109     3.73859    3.8812     0.142608    77       1356     
 1387.49 128     3161     3.73862    3.88119    0.142564    77       1378     
 1440.89 130     3211     3.73878    3.88111    0.142324    79       1399     
 1492.38 132     3261     3.73885    3.88109    0.14224     81       1421     
 1547.96 134     3300     3.73896    3.88104    0.142074    87       1444     
 1603.77 136     3361     3.73909    3.88101    0.141917    91       1464     
 1657.48 138     3411     3.73914    3.881      0.141859    93       1485     
 1710.87 140     3459     3.73944    3.88091    0.141468    91       1505     
 1769.55 142     3509     3.73949    3.88091    0.141419    86       1527     
 1828.76 144     3559     3.73968    3.88091    0.141231    95       1547     
 1891.84 146     3609     3.73983    3.8809     0.141072    92       1568     
 1956.64 148     3657     3.73987    3.88089    0.141021    93       1589     
 2018.2  150     3705     3.73995    3.88088    0.140932    85       1609     
Writing policy file: ./28e78313f9a_152_2088.26.policy
Intermediate policy written(interval: 2000)
 2088.26 152     3755     3.74022    3.88079    0.140576    95       1630     
 2153.88 154     3805     3.74025    3.88079    0.140542    95       1651     
 2219.25 156     3853     3.74027    3.88077    0.140501    96       1671     
 2282.02 158     3905     3.74032    3.88076    0.140439    98       1693     
 2348.16 160     3955     3.74039    3.88075    0.140358    97       1714     
 2419.75 162     4003     3.7406     3.88075    0.140145    98       1734     
 2489.43 164     4053     3.74061    3.88071    0.140098    105      1753     
 2559.68 166     4103     3.7407     3.88066    0.139962    107      1774     
 2635.74 168     4155     3.74085    3.88062    0.139769    108      1797     
 2699.98 170     4203     3.7409     3.88059    0.139696    114      1817     
 2777.5  172     4253     3.74105    3.88045    0.139398    121      1838     
 2864.99 174     4303     3.74106    3.88045    0.13939     148      1860     
 2939.59 176     4353     3.74106    3.88043    0.139361    144      1880     
 3009.78 178     4401     3.74107    3.88042    0.13935     131      1899     
 3089.09 180     4451     3.74123    3.88031    0.139082    108      1920     
 3166.45 182     4501     3.74139    3.8803     0.138907    103      1940     
 3248.95 184     4553     3.74152    3.88027    0.138744    111      1964     
 3341.39 186     4601     3.74177    3.87947    0.1377      118      1986     
 3422.59 188     4651     3.74184    3.87942    0.137574    120      2007     
 3504.08 190     4700     3.74195    3.87941    0.137458    128      2027     
 3593.1  192     4750     3.742      3.8794     0.137408    134      2049     
 3692.96 194     4800     3.74203    3.87938    0.137354    133      2071     
 3785.79 196     4850     3.74236    3.87928    0.136924    123      2093     
 3873.97 198     4900     3.74237    3.87928    0.136908    135      2114     
 3972.57 200     4950     3.74239    3.87928    0.136882    145      2136     
 4061.27 202     5000     3.7424     3.87926    0.136858    149      2158     
Writing policy file: ./28e78313f9a_204_4150.38.policy
Intermediate policy written(interval: 2000)
 4150.38 204     5050     3.7424     3.87925    0.136847    149      2180     
 4238.89 206     5100     3.74242    3.87925    0.136832    156      2200     
 4350.34 208     5150     3.74242    3.87924    0.13682     166      2222     
 4449.91 210     5200     3.74242    3.87922    0.136804    171      2243     
 4541.42 212     5250     3.7429     3.87727    0.134372    174      2265     
 4632.88 214     5300     3.74294    3.87726    0.134327    170      2285     
 4720.32 216     5350     3.74297    3.87726    0.134293    152      2305     
 4827.4  218     5400     3.74297    3.87724    0.134273    154      2327     
 4928.56 220     5450     3.74299    3.87723    0.134238    156      2347     
 5021.5  222     5500     3.74327    3.87718    0.133912    139      2367     
 5100.24 224     5550     3.74332    3.87718    0.13386     132      2384     
 5197.78 226     5600     3.74337    3.87717    0.133794    131      2405     
 5300.8  228     5650     3.74348    3.87716    0.133685    127      2425     
 5388.15 230     5701     3.7435     3.87714    0.133641    127      2444     
 5482.28 232     5751     3.74358    3.87713    0.133549    123      2463     
 5591.67 234     5801     3.74361    3.87711    0.133502    120      2484     
 5703.76 236     5853     3.74362    3.87711    0.133491    131      2506     
 5809.31 238     5903     3.74385    3.8771     0.13325     121      2526     
 5921.86 240     5953     3.74385    3.87707    0.133224    126      2547     
 6034.63 242     6003     3.74401    3.87654    0.132528    123      2568     
 6144.57 244     6055     3.74404    3.87654    0.132505    123      2590     
Writing policy file: ./28e78313f9a_246_6251.37.policy
Intermediate policy written(interval: 2000)
 6251.37 246     6105     3.74406    3.87654    0.132482    121      2611     
 6364.21 248     6155     3.74409    3.87654    0.132452    129      2632     
 6471.05 250     6203     3.74417    3.87654    0.132363    144      2651     
 6586.18 252     6253     3.74418    3.87651    0.13233     133      2671     
 6721.53 254     6303     3.74434    3.87651    0.132173    135      2693     
 6830.23 256     6353     3.74434    3.87648    0.132137    131      2712     
 6942.96 258     6403     3.74449    3.8764     0.13191     141      2731     
 7058.03 260     6451     3.74451    3.8764     0.131888    155      2751     
 7189.33 262     6500     3.74455    3.87639    0.131842    155      2771     
 7307.55 264     6550     3.74466    3.87634    0.131686    164      2790     
 7445.93 266     6603     3.74466    3.87634    0.131678    154      2813     
 7554.4  268     6653     3.74469    3.87633    0.131646    155      2832     
 7685.31 270     6703     3.74471    3.87631    0.131595    158      2853     
 7815.26 272     6757     3.74472    3.8763     0.131585    160      2876     
 7955.91 274     6807     3.74482    3.87629    0.131464    164      2897     
 8090.56 276     6857     3.74486    3.87628    0.131428    168      2918     
 8213.35 278     6909     3.74487    3.87628    0.13141     180      2939     
Writing policy file: ./28e78313f9a_280_8308.81.policy
Intermediate policy written(interval: 2000)
 8308.81 280     6959     3.74499    3.87613    0.131134    182      2959     
 8394.25 282     7009     3.745      3.87612    0.131127    180      2979     
 8481.35 284     7059     3.745      3.87611    0.131112    183      2999     
 8574.17 286     7107     3.745      3.87611    0.13111     199      3018     
 8661.17 288     7155     3.745      3.87611    0.131106    202      3038     
 8764.99 290     7209     3.74502    3.8761     0.131086    200      3062     
 8853.62 292     7259     3.74502    3.87609    0.131065    203      3082     
 8949.38 294     7309     3.74503    3.87608    0.131046    207      3103     
 9085.28 296     7359     3.74503    3.87607    0.131034    211      3124     
 9198.41 298     7411     3.74514    3.87606    0.130926    189      3145     
 9339.62 300     7459     3.74516    3.87586    0.130702    185      3164     
 9463.76 302     7509     3.74516    3.87586    0.130696    199      3184     
 9604.56 304     7559     3.74527    3.87583    0.130563    188      3204     
 9704.8  306     7609     3.74528    3.87583    0.130543    180      3224     
 9831.2  308     7661     3.7453     3.8758     0.1305      189      3246     
 9976.19 310     7711     3.74534    3.87571    0.130369    179      3266     
 10112.4 312     7761     3.74535    3.87571    0.130357    183      3287     
 10252.2 314     7811     3.74538    3.87568    0.130299    180      3308     
Writing policy file: ./28e78313f9a_316_10372.5.policy
Intermediate policy written(interval: 2000)
 10372.5 316     7861     3.74541    3.87567    0.130257    179      3327     
-------------------------------------------------------------------------------

SARSOP finishing ...
  Preset timeout reached
  Timeout     : 10000.000000s
  Actual Time : 10372.510000s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 10372.5 316     7861     3.74541    3.87567    0.130257    179      3327     
-------------------------------------------------------------------------------

Writing out policy ...
  output file : ./28e78313f9a.policyx

