
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/28e99c41e4.pomdpx
  loading time : 0.56s 

SARSOP initializing ...
  initialization time : 26.25s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 26.25   0       0        0.618564   1.34197    0.72341     50       1        
 26.74   2       53       0.832303   1.22596    0.393657    70       27       
 27.86   4       109      0.94584    1.22323    0.277393    94       54       
 29.78   5       150      0.986918   1.22252    0.235599    98       81       
 31.8    7       200      1.02617    1.22165    0.195481    18       101      
 34.58   9       255      1.05385    1.21999    0.166138    15       125      
 38.55   11      300      1.06128    1.21902    0.157738    19       153      
 41.7    12      350      1.0792     1.21749    0.138296    18       172      
 47.12   14      411      1.08702    1.21681    0.129788    21       199      
 51.91   15      450      1.09108    1.21672    0.125642    19       221      
 57.74   17      507      1.09545    1.21633    0.120876    23       245      
 64.89   18      550      1.09651    1.2163     0.11979     22       271      
 70.68   20      603      1.1008     1.21607    0.115265    18       290      
 80.33   21      650      1.102      1.216      0.113996    19       320      
 85.83   23      700      1.10547    1.2158     0.110327    19       336      
 98.15   25      750      1.10621    1.21572    0.10951     29       368      
 105.41  26      800      1.10952    1.2153     0.105787    25       385      
 117.26  28      863      1.11203    1.21418    0.102147    26       414      
 127.06  29      900      1.11214    1.21396    0.101826    37       434      
 139     31      959      1.11331    1.21392    0.10061     32       459      
 149.74  32      1000     1.11445    1.21389    0.0994469   33       481      
 162.58  34      1057     1.11556    1.2138     0.0982373   30       504      
 176.34  35      1100     1.11592    1.21376    0.0978487   36       529      
 188.52  37      1157     1.11734    1.21336    0.0960201   32       551      
 205.19  38      1200     1.11811    1.21335    0.095239    33       577      
 218.62  40      1255     1.11908    1.21319    0.0941103   37       597      
 236.55  41      1300     1.11929    1.21316    0.0938672   43       622      
 251.36  43      1357     1.12015    1.21295    0.0928054   34       643      
 268.26  44      1400     1.1207     1.21294    0.09224     34       668      
 283.31  46      1455     1.1214     1.2129     0.0915056   42       688      
 304.45  47      1500     1.12171    1.21268    0.0909766   53       714      
 320.57  49      1553     1.12185    1.21261    0.0907649   48       732      
 345.23  50      1600     1.12205    1.21257    0.0905203   42       760      
 358.88  52      1650     1.12235    1.21243    0.090081    50       776      
 387.11  54      1700     1.1225     1.21242    0.0899277   49       807      
 400.83  55      1750     1.12314    1.21233    0.0891948   43       822      
 429.64  57      1800     1.12346    1.2123     0.0888438   36       852      
 443.48  58      1851     1.1243     1.21227    0.0879713   33       867      
 471.4   60      1915     1.12484    1.21222    0.0873853   43       896      
 487.24  61      1950     1.12491    1.21222    0.0873086   50       913      
 513.22  63      2013     1.12509    1.21203    0.0869424   49       941      
 531.2   64      2050     1.12514    1.21203    0.0868892   48       959      
 557.59  66      2111     1.12536    1.21184    0.0864747   69       985      
 576.83  67      2150     1.12549    1.21182    0.0863327   54       1006     
 603     69      2209     1.12561    1.2118     0.086193    55       1031     
 628.1   70      2250     1.12588    1.21102    0.085144    55       1055     
 653.65  72      2305     1.12603    1.21046    0.0844318   57       1077     
 681.35  73      2350     1.12626    1.21037    0.0841133   58       1103     
 704.57  75      2405     1.12643    1.21025    0.08382     60       1122     
 735.78  76      2450     1.12648    1.21025    0.0837701   64       1149     
 756.67  78      2503     1.12655    1.21019    0.0836385   65       1166     
 792.3   79      2550     1.12664    1.21006    0.0834226   64       1194     
 812.97  81      2601     1.12678    1.21005    0.0832718   69       1210     
 850.84  83      2650     1.12681    1.21005    0.0832379   70       1239     
 872.55  84      2700     1.12684    1.20985    0.0830046   65       1254     
 913.64  86      2763     1.12686    1.20982    0.0829618   82       1283     
 938.69  87      2800     1.12697    1.20977    0.0828018   74       1301     
 976.58  89      2861     1.12699    1.20974    0.0827517   78       1327     
 1010.87 90      2900     1.12699    1.20974    0.0827489   85       1347     
 1044.37 92      2957     1.12704    1.20971    0.0826744   86       1370     
 1082.29 93      3000     1.12708    1.20968    0.0826029   89       1395     
 1109.96 95      3057     1.12731    1.20943    0.0821282   73       1415     
 1147.54 96      3100     1.12731    1.20943    0.0821175   80       1438     
 1177.14 98      3155     1.12744    1.20936    0.0819214   69       1457     
 1218.16 99      3200     1.1275     1.20928    0.0817749   73       1482     
 1246.49 101     3257     1.12783    1.20926    0.0814374   59       1503     
 1287.21 102     3300     1.12789    1.20926    0.0813712   60       1528     
 1317.3  104     3355     1.12792    1.20924    0.0813258   73       1547     
 1360.13 105     3400     1.12793    1.20924    0.0813157   83       1574     
 1390.43 107     3453     1.12807    1.20902    0.080946    81       1592     
 1439.4  108     3500     1.12821    1.20901    0.0808025   82       1619     
 1467.19 110     3551     1.12826    1.20901    0.0807524   80       1635     
 1521.8  112     3600     1.12829    1.209      0.0807059   80       1664     
 1549.35 113     3651     1.12854    1.20878    0.0802418   65       1679     
 1603.14 115     3715     1.12873    1.20863    0.0798933   66       1708     
 1635.29 116     3750     1.1288     1.20862    0.0798193   81       1724     
 1688.76 118     3813     1.12884    1.20858    0.0797411   87       1751     
 1734.33 119     3850     1.12884    1.20855    0.0797104   91       1769     
 1785.55 121     3911     1.12887    1.20855    0.0796821   85       1795     
 1827.45 122     3950     1.12893    1.20855    0.0796182   75       1814     
 1877.31 124     4011     1.12897    1.20854    0.0795701   82       1839     
 1922.76 125     4050     1.12904    1.20854    0.0795016   65       1858     
 1986.36 127     4111     1.1292     1.20846    0.0792588   70       1884     
Writing policy file: ./28e99c41e4_128_2040.policy
Intermediate policy written(interval: 2000)
 2040    128     4150     1.12923    1.20843    0.0791974   72       1902     
 2100.38 130     4211     1.12927    1.2084     0.0791373   84       1927     
 2149.48 131     4250     1.12932    1.2084     0.0790822   82       1948     
 2203.13 133     4311     1.12942    1.20838    0.0789635   86       1972     
 2252.26 134     4350     1.12942    1.20838    0.0789608   103      1992     
 2308.46 136     4407     1.12957    1.20836    0.0787893   77       2014     
 2364.27 137     4450     1.12965    1.20836    0.0787157   76       2037     
 2407.12 139     4507     1.12973    1.20835    0.0786214   78       2058     
 2459.29 140     4550     1.12977    1.20835    0.078584    81       2082     
 2512.99 142     4603     1.12981    1.20825    0.0784471   87       2100     
 2588.15 143     4650     1.12988    1.20818    0.0783022   77       2128     
 2630.62 145     4701     1.12999    1.20818    0.0781944   77       2143     
 2702.84 147     4763     1.13002    1.20818    0.078155    87       2170     
 2761.62 148     4800     1.13005    1.20801    0.0779578   90       2188     
 2838.78 150     4861     1.13011    1.20786    0.0777451   83       2214     
 2886.31 151     4900     1.13015    1.20775    0.0775992   83       2234     
 2936.7  153     4957     1.13019    1.20775    0.0775588   84       2256     
 2996.69 154     5000     1.13025    1.20775    0.0774944   95       2279     
 3038.27 156     5055     1.1303     1.20774    0.0774469   97       2298     
 3105.47 157     5100     1.13044    1.20772    0.0772784   90       2324     
 3156.58 159     5153     1.13045    1.20771    0.0772522   91       2343     
 3238.18 160     5200     1.13048    1.20753    0.0770487   104      2372     
 3275.12 162     5250     1.13051    1.20743    0.0769183   98       2386     
 3343.79 164     5313     1.13052    1.20743    0.0769037   113      2412     
 3388.94 165     5350     1.13054    1.20743    0.0768899   114      2430     
 3448.07 167     5409     1.13057    1.20742    0.0768554   108      2454     
 3500.61 168     5450     1.13059    1.20741    0.0768217   102      2476     
 3542.48 170     5505     1.13063    1.2074     0.0767684   96       2495     
 3617.5  172     5550     1.13065    1.2073     0.076651    111      2521     
 3661.2  173     5600     1.13067    1.2073     0.0766348   101      2537     
 3736.15 175     5663     1.13078    1.2073     0.0765212   91       2564     
 3787.79 176     5700     1.13078    1.2073     0.0765177   103      2582     
 3862.68 178     5761     1.13088    1.20729    0.0764191   88       2607     
 3916.69 179     5800     1.13089    1.20728    0.0763895   83       2629     
 3972.48 181     5857     1.13099    1.20704    0.0760457   89       2651     
Writing policy file: ./28e99c41e4_182_4042.08.policy
Intermediate policy written(interval: 2000)
 4042.08 182     5900     1.13104    1.20662    0.0755768   97       2676     
 4092.61 184     5951     1.13109    1.20662    0.0755302   96       2692     
 4171.76 186     6015     1.13111    1.20662    0.0755025   98       2719     
 4224.87 187     6050     1.13112    1.20661    0.0754964   104      2734     
 4317.96 189     6100     1.13113    1.20661    0.0754853   120      2764     
 4358.71 190     6151     1.13116    1.2066     0.0754434   113      2779     
 4449.16 192     6213     1.13122    1.20659    0.0753661   126      2806     
 4499.89 193     6250     1.13123    1.20658    0.075354    134      2822     
 4600.85 195     6311     1.13124    1.20657    0.0753311   146      2849     
 4660.68 196     6350     1.13125    1.20657    0.0753249   152      2867     
 4747.1  198     6409     1.13128    1.2065     0.075226    155      2892     
 4814.39 199     6450     1.13128    1.2065     0.075223    155      2912     
 4892.08 201     6511     1.13131    1.20648    0.07517     157      2936     
 4968.21 202     6550     1.13131    1.20648    0.0751682   156      2956     
 5061    204     6607     1.13135    1.20558    0.074229    162      2980     
 5148.79 205     6650     1.13136    1.20558    0.0742243   167      3003     
 5204.1  207     6703     1.13136    1.20558    0.0742217   176      3018     
 5307.1  208     6750     1.13136    1.20556    0.074197    191      3045     
 5362.91 210     6801     1.13137    1.20555    0.0741881   189      3060     
 5476.96 211     6850     1.13137    1.20553    0.0741568   184      3089     
 5527.06 213     6901     1.13138    1.20552    0.0741429   180      3104     
 5690.9  215     6965     1.13139    1.20552    0.0741234   167      3134     
 5780.03 216     7000     1.13139    1.20552    0.0741208   177      3152     
 5907.71 218     7063     1.13143    1.20537    0.0739476   179      3178     
 5987.14 219     7100     1.13143    1.20533    0.0739053   183      3196     
Writing policy file: ./28e99c41e4_221_6149.48.policy
Intermediate policy written(interval: 2000)
 6149.48 221     7163     1.13144    1.20521    0.0737725   192      3224     
 6235    222     7200     1.13146    1.20521    0.0737497   173      3242     
 6381.3  224     7259     1.13147    1.20521    0.0737453   182      3266     
 6516.07 225     7300     1.13147    1.20521    0.0737403   198      3288     
 6640.04 227     7357     1.1315     1.20516    0.0736524   177      3309     
 6775.65 228     7400     1.13151    1.20516    0.0736496   176      3332     
 6895.81 230     7453     1.13151    1.20516    0.0736472   193      3350     
 7074.66 231     7500     1.13152    1.20512    0.073605    199      3378     
 7162.63 233     7551     1.13154    1.20511    0.0735656   194      3392     
 7318.87 235     7615     1.13159    1.2051     0.0735132   163      3418     
 7404    236     7650     1.1316     1.2051     0.0735092   176      3432     
 7561.04 238     7713     1.1316     1.2051     0.0734996   176      3459     
 7677.15 239     7750     1.1316     1.2051     0.073498    174      3476     
 7816.97 241     7809     1.13162    1.2051     0.073485    171      3500     
 7948.39 242     7850     1.13162    1.2051     0.07348     182      3520     
 8085.75 244     7907     1.13164    1.20503    0.0733972   174      3542     
Writing policy file: ./28e99c41e4_245_8231.81.policy
