
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/2902e9ec67.pomdpx
  loading time : 0.62s 

SARSOP initializing ...
  initialization time : 55.83s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 55.83   0       0        0.835469   1.92085    1.08539     50       1        
 56.2    3       55       1.39564    1.8317     0.436058    5        28       
 56.66   5       100      1.55673    1.83167    0.274931    22       47       
 57.57   8       157      1.68475    1.83157    0.14682     18       65       
 59.37   10      201      1.73742    1.83148    0.094054    16       86       
 63.19   12      250      1.76633    1.83142    0.0650898   26       112      
 68.63   15      300      1.77879    1.83135    0.0525643   21       137      
 74.61   17      353      1.79413    1.8312     0.0370691   21       158      
 79.68   19      400      1.80087    1.83118    0.0303024   22       176      
 87.89   22      455      1.80975    1.83108    0.0213317   15       199      
 95.93   24      500      1.81359    1.83107    0.0174764   17       219      
 107.15  27      550      1.81648    1.83105    0.0145697   17       244      
 117.4   29      603      1.81976    1.83101    0.0112491   16       264      
 127.63  31      650      1.8212     1.83099    0.00978388  16       284      
 139.13  33      700      1.82227    1.83098    0.00870848  17       305      
 152     36      755      1.8238     1.83092    0.00712025  21       324      
 167.39  38      800      1.82465    1.83088    0.00623551  21       346      
 185.04  40      850      1.82535    1.83084    0.00549108  20       372      
 202.48  43      909      1.8261     1.83083    0.00472542  20       395      
 216     45      950      1.82644    1.83082    0.00438003  22       412      
 238.55  48      1009     1.82708    1.83076    0.0036818   24       439      
 253.77  50      1051     1.82745    1.83075    0.00330803  22       456      
 275.64  52      1100     1.82777    1.83072    0.00294905  23       481      
 297.08  55      1159     1.82809    1.83067    0.00258489  23       504      
 310.67  57      1201     1.82836    1.83066    0.00230082  25       518      
 338.04  59      1250     1.82853    1.83064    0.00210473  26       545      
 363.74  62      1300     1.82867    1.83061    0.00193999  27       568      
 383.23  64      1355     1.82887    1.8306     0.00173238  28       586      
 407.37  66      1400     1.82899    1.83059    0.00159906  30       606      
 439.78  68      1450     1.8291     1.83058    0.00147937  30       633      
 471.01  71      1507     1.82923    1.83054    0.00130826  32       655      
 500.54  73      1551     1.82932    1.83053    0.00121554  32       675      
 533.87  75      1600     1.82939    1.83053    0.00113495  33       698      
 568.7   77      1650     1.82944    1.83051    0.00106338  32       724      
 604.66  80      1700     1.82949    1.8305     0.00101053  30       747      
 632.31  82      1755     1.82958    1.83049    0.000915904 31       767      
 664.72  84      1800     1.82962    1.83049    0.00086946  32       787      
 705.61  86      1850     1.82966    1.83049    0.00082295  33       814      
 745.04  89      1909     1.82971    1.83047    0.000757389 33       833      
 782.87  91      1953     1.82975    1.83047    0.000712374 34       854      
 818.79  93      2001     1.82978    1.83046    0.000677839 34       875      
 858.27  95      2050     1.8298     1.83045    0.000650497 34       898      
 904.53  97      2100     1.82982    1.83044    0.000615826 34       921      
 940.91  99      2150     1.82984    1.83043    0.000593871 35       942      
 989.89  101     2200     1.82986    1.83043    0.000575231 35       964      
 1040.73 103     2250     1.82988    1.83043    0.000545529 35       986      
 1078.34 105     2300     1.82991    1.83043    0.000521375 34       1005     
 1117.94 107     2350     1.82992    1.83043    0.00050369  34       1025     
 1170.04 109     2400     1.82993    1.83042    0.000485262 35       1046     
 1230.98 111     2451     1.82995    1.83041    0.000467564 35       1070     
 1280.56 113     2503     1.82996    1.83041    0.000451348 36       1090     
 1354.2  115     2557     1.82998    1.83041    0.000430526 35       1114     
 1422.13 117     2609     1.82999    1.8304     0.000418458 37       1138     
 1477.96 119     2661     1.82999    1.8304     0.000407953 36       1159     
 1549.39 121     2700     1.83       1.8304     0.000404683 36       1183     
 1600.67 122     2750     1.83       1.8304     0.000394023 36       1201     
 1657.97 124     2800     1.83001    1.83039    0.000383112 36       1220     
 1718.21 126     2851     1.83002    1.83039    0.000374731 36       1240     
 1790.56 128     2907     1.83002    1.83039    0.000367366 36       1264     
 1851.12 130     2961     1.83003    1.83039    0.000359285 37       1285     
 1937.69 131     3000     1.83003    1.83039    0.000355404 36       1311     
 1984.85 133     3050     1.83003    1.83038    0.00034877  39       1327     
 2048.11 135     3100     1.83004    1.83038    0.000344184 40       1344     
Writing policy file: ./2902e9ec67_137_2125.64.policy
Intermediate policy written(interval: 2000)
 2125.64 137     3155     1.83004    1.83038    0.000337382 40       1367     
 2215.99 139     3211     1.83005    1.83038    0.000331778 37       1392     
 2286.23 140     3250     1.83005    1.83038    0.000327959 37       1412     
 2354.11 142     3300     1.83005    1.83038    0.000323619 38       1430     
 2419.66 144     3351     1.83006    1.83037    0.000316413 37       1447     
 2495.54 146     3407     1.83006    1.83037    0.000313526 37       1469     
 2592.05 148     3463     1.83006    1.83037    0.000310197 37       1493     
 2665.74 149     3500     1.83006    1.83037    0.000308051 37       1513     
 2747.29 151     3550     1.83007    1.83037    0.000303485 37       1532     
 2829.3  153     3605     1.83007    1.83037    0.000300489 38       1554     
 2934.73 155     3661     1.83007    1.83037    0.000295117 39       1578     
 3008.53 156     3700     1.83007    1.83037    0.000292974 43       1598     
 3066.91 158     3750     1.83007    1.83037    0.000291088 40       1614     
 3167.46 160     3807     1.83008    1.83037    0.000288952 41       1637     
 3264.26 161     3850     1.83008    1.83036    0.000288097 40       1660     
 3347.05 163     3900     1.83008    1.83036    0.000284254 38       1680     
 3425.67 165     3950     1.83008    1.83036    0.000281561 39       1697     
 3519.08 167     4007     1.83008    1.83036    0.000279582 39       1717     
 3610.33 169     4063     1.83008    1.83036    0.000278344 39       1737     
 3697.99 170     4100     1.83008    1.83036    0.0002775   39       1758     
 3783.54 172     4150     1.83008    1.83036    0.000274281 38       1775     
 3894.26 174     4209     1.83008    1.83036    0.000272626 40       1798     
 4007.17 175     4250     1.83008    1.83036    0.00027114  39       1819     
 4088.36 177     4300     1.83009    1.83036    0.000270018 40       1835     
Writing policy file: ./2902e9ec67_179_4211.55.policy
Intermediate policy written(interval: 2000)
 4211.55 179     4357     1.83009    1.83035    0.000269031 40       1858     
 4336.63 181     4413     1.83009    1.83035    0.000266728 40       1881     
 4432.48 182     4450     1.83009    1.83035    0.000266242 41       1899     
 4525.63 184     4500     1.83009    1.83035    0.000265088 40       1916     
 4636.9  186     4555     1.83009    1.83035    0.000263824 39       1937     
 4777.23 188     4600     1.83009    1.83035    0.000263017 39       1962     
 4864.27 189     4650     1.83009    1.83035    0.000262037 39       1978     
 4977.67 191     4701     1.83009    1.83035    0.000261212 40       1998     
 5076.46 193     4757     1.83009    1.83035    0.000259874 40       2017     
 5188.13 195     4813     1.83009    1.83035    0.000258951 40       2036     
 5300.52 196     4850     1.83009    1.83035    0.000258389 44       2054     
 5419.59 198     4901     1.83009    1.83035    0.000258091 43       2071     
 5546.65 200     4957     1.83009    1.83035    0.000257547 42       2092     
 5665.92 202     5013     1.83009    1.83035    0.000257088 44       2111     
 5773.79 203     5050     1.83009    1.83035    0.000256875 45       2130     
 5873.28 205     5100     1.83009    1.83035    0.000256377 41       2147     
 6006.12 207     5153     1.83009    1.83035    0.000254823 44       2170     
 6139.96 209     5213     1.83009    1.83035    0.000254305 43       2190     
Writing policy file: ./2902e9ec67_210_6261.92.policy
Intermediate policy written(interval: 2000)
 6261.92 210     5250     1.83009    1.83035    0.000254027 45       2210     
 6366.1  212     5300     1.83009    1.83035    0.000253673 45       2228     
 6469.34 214     5355     1.83009    1.83035    0.000253304 43       2245     
 6586.33 216     5411     1.83009    1.83035    0.000252825 41       2265     
 6711.31 217     5450     1.83009    1.83035    0.000252604 41       2285     
 6830.68 219     5500     1.83009    1.83035    0.000252323 46       2302     
 6957.72 221     5555     1.83009    1.83034    0.000251285 46       2322     
 7077.58 223     5611     1.83009    1.83034    0.000251034 46       2341     
 7186.68 224     5650     1.83009    1.83034    0.000250955 46       2358     
 7293.03 226     5700     1.83009    1.83034    0.000250241 47       2374     
 7414.76 228     5751     1.83009    1.83034    0.000249761 45       2393     
 7559.82 230     5807     1.83009    1.83034    0.00024944  44       2414     
 7675.21 232     5863     1.83009    1.83034    0.000249196 46       2432     
 7755.78 233     5900     1.83009    1.83034    0.000248974 45       2443     
 7880.65 235     5950     1.83009    1.83034    0.000248677 45       2460     
 7996.11 237     6003     1.83009    1.83034    0.000247823 46       2476     
 8117.28 239     6059     1.83009    1.83034    0.000247347 47       2495     
Writing policy file: ./2902e9ec67_240_8263.24.policy
Intermediate policy written(interval: 2000)
 8263.24 240     6100     1.83009    1.83034    0.000247266 44       2519     
 8342.63 242     6150     1.83009    1.83034    0.000245432 43       2534     
 8400.98 244     6200     1.83009    1.83034    0.000244915 45       2544     
 8507.35 246     6257     1.83009    1.83034    0.000244676 45       2563     
 8600.44 248     6313     1.8301     1.83034    0.000242488 44       2585     
 8659.32 249     6350     1.8301     1.83034    0.000242349 43       2600     
 8734.48 251     6400     1.8301     1.83034    0.000241697 45       2615     
 8815.47 253     6453     1.8301     1.83034    0.000241315 45       2631     
 8892.76 255     6509     1.8301     1.83034    0.00024113  46       2648     
 8975.08 256     6550     1.8301     1.83034    0.000241049 46       2669     
 9025.63 258     6600     1.8301     1.83034    0.000240965 45       2682     
 9069.62 260     6650     1.8301     1.83034    0.000240843 45       2695     
 9128.53 262     6705     1.8301     1.83034    0.000240607 47       2713     
 9191.12 264     6763     1.8301     1.83034    0.000240357 48       2733     
 9220.53 265     6800     1.8301     1.83034    0.000240307 48       2745     
 9258.61 267     6850     1.8301     1.83034    0.000240073 47       2758     
 9321.56 269     6905     1.8301     1.83034    0.000239853 45       2777     
 9365.51 271     6961     1.8301     1.83034    0.000239714 45       2792     
 9402.32 272     7000     1.8301     1.83034    0.000239617 46       2806     
 9431.84 274     7050     1.8301     1.83033    0.000238252 46       2816     
 9466.43 276     7101     1.8301     1.83033    0.000238125 44       2830     
 9510.05 278     7157     1.8301     1.83033    0.000237843 44       2847     
 9546.06 280     7213     1.8301     1.83033    0.000236838 45       2863     
 9566.25 281     7250     1.8301     1.83033    0.000236756 43       2872     
 9595.14 283     7300     1.8301     1.83033    0.000236527 45       2881     
 9629.61 285     7355     1.8301     1.83033    0.000235831 46       2896     
 9682.72 287     7411     1.8301     1.83033    0.000235296 46       2918     
 9717.47 288     7450     1.8301     1.83033    0.000234405 47       2931     
 9744.87 290     7500     1.8301     1.83033    0.000234202 46       2941     
 9788.19 292     7551     1.8301     1.83033    0.000234094 46       2954     
 9840.85 294     7607     1.8301     1.83033    0.000233976 47       2975     
 9881.53 296     7663     1.8301     1.83033    0.000233699 46       2989     
 9923.48 297     7700     1.8301     1.83033    0.000233601 46       3003     
 9959.53 299     7750     1.8301     1.83033    0.000232727 46       3015     
