
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/290385f432.pomdpx
  loading time : 0.73s 

SARSOP initializing ...
  initialization time : 54.39s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 54.39   0       0        0.642864   1.42815    0.785281    50       1        
 54.8    3       57       1.05939    1.36134    0.301958    10       24       
 55.16   5       100      1.17671    1.36129    0.184588    16       41       
 55.96   8       159      1.25878    1.36122    0.102441    12       56       
 57.75   10      205      1.28863    1.36115    0.0725265   16       76       
 60.18   12      250      1.30893    1.36108    0.0521532   13       96       
 64.5    15      309      1.32742    1.36103    0.0336117   14       121      
 68.2    17      351      1.33352    1.361      0.0274743   15       138      
 74.16   19      400      1.34022    1.36098    0.020766    15       162      
 80.54   22      451      1.3458     1.3609     0.0151007   15       183      
 86.53   24      500      1.34846    1.36086    0.0123996   15       201      
 96.03   27      555      1.3516     1.36078    0.00917519  15       224      
 104.66  29      600      1.35308    1.36074    0.00766234  17       246      
 117.56  31      650      1.35423    1.36066    0.0064286   18       273      
 126.71  34      707      1.35553    1.36061    0.0050824   17       292      
 137.44  36      751      1.35615    1.36061    0.00445432  20       312      
 151.82  38      800      1.35673    1.36058    0.00384696  22       337      
 167.89  41      859      1.3573     1.36051    0.00321515  22       362      
 178.78  43      900      1.35763    1.36051    0.00288042  21       378      
 197.82  45      950      1.35794    1.36048    0.0025452   23       406      
 212.07  48      1001     1.35826    1.36044    0.00217333  25       425      
 230.86  50      1050     1.35843    1.36043    0.00199699  25       450      
 244.48  53      1101     1.35863    1.3604     0.00176736  25       468      
 265.24  56      1159     1.35889    1.36039    0.00150058  27       493      
 281.02  58      1200     1.35899    1.36037    0.00138116  28       512      
 302.6   61      1250     1.35907    1.36035    0.00128176  28       538      
 317.9   63      1301     1.35917    1.36033    0.00116193  28       555      
 338.58  65      1350     1.35927    1.36033    0.00105216  30       577      
 358     68      1409     1.35936    1.36032    0.00095997  31       598      
 376.88  70      1453     1.35941    1.36031    0.000899791 31       617      
 397.23  72      1500     1.35947    1.3603     0.000830368 31       635      
 422.66  74      1550     1.35952    1.36029    0.000767638 33       660      
 446.02  77      1611     1.35959    1.36028    0.000692794 33       683      
 465.83  79      1657     1.35962    1.36028    0.000660462 34       703      
 492.77  81      1705     1.35964    1.36027    0.000624387 34       726      
 513.15  83      1751     1.35967    1.36026    0.000594066 34       744      
 535.01  85      1800     1.35969    1.36026    0.000567795 36       761      
 562.87  87      1850     1.35971    1.36026    0.00054337  37       784      
 591.36  89      1900     1.35974    1.36026    0.000515629 39       807      
 620.64  91      1950     1.35976    1.36025    0.000492808 38       830      
 648.3   94      2007     1.35979    1.36025    0.000459202 37       851      
 674.13  96      2055     1.35981    1.36025    0.000439997 38       870      
 701.73  98      2101     1.35982    1.36024    0.000425268 38       890      
 732.57  100     2151     1.35983    1.36024    0.000409845 39       911      
 758.46  102     2201     1.35985    1.36024    0.000393794 41       929      
 790.32  104     2250     1.35985    1.36024    0.000383081 39       950      
 822.68  106     2300     1.35986    1.36023    0.000367334 40       972      
 857.35  108     2351     1.35987    1.36023    0.000355925 40       995      
 889.72  110     2403     1.35988    1.36023    0.000347011 40       1017     
 921.69  112     2453     1.35989    1.36022    0.00033714  40       1039     
 956.13  114     2505     1.35989    1.36022    0.000329296 40       1062     
 991.63  116     2557     1.3599     1.36022    0.000323038 39       1084     
 1023.02 118     2611     1.3599     1.36022    0.00031431  41       1103     
 1058.99 119     2650     1.35991    1.36022    0.000311201 41       1125     
 1091.42 121     2700     1.35991    1.36022    0.000302964 41       1145     
 1124.04 123     2750     1.35992    1.36021    0.000296564 41       1167     
 1149.47 125     2800     1.35992    1.36021    0.000291905 41       1184     
 1179.67 127     2850     1.35992    1.36021    0.000286806 40       1202     
 1210.68 129     2900     1.35993    1.36021    0.000282257 41       1218     
 1255.86 131     2955     1.35993    1.36021    0.000276765 41       1241     
 1302.2  133     3009     1.35993    1.3602     0.000271547 41       1265     
 1334.36 135     3063     1.35993    1.3602     0.000269961 41       1281     
 1370.16 136     3100     1.35993    1.3602     0.000268425 41       1301     
 1407.31 138     3150     1.35994    1.3602     0.000265101 40       1320     
 1444.71 140     3200     1.35994    1.3602     0.00025992  40       1337     
 1488.73 142     3253     1.35994    1.3602     0.000257867 41       1357     
 1538.49 144     3307     1.35994    1.3602     0.000255011 41       1381     
 1585.63 146     3359     1.35995    1.3602     0.000252082 40       1403     
 1633.04 147     3400     1.35995    1.3602     0.000251649 42       1426     
 1667.11 149     3450     1.35995    1.3602     0.000249648 41       1441     
 1705.45 151     3500     1.35995    1.3602     0.000248202 41       1457     
 1744.32 153     3553     1.35995    1.3602     0.000246735 42       1474     
 1790.48 155     3607     1.35995    1.3602     0.000245188 42       1495     
 1837.06 157     3661     1.35995    1.3602     0.000244704 41       1514     
 1877.75 159     3700     1.35995    1.36019    0.000243181 42       1532     
 1905.28 160     3750     1.35995    1.36019    0.000242063 42       1545     
 1935.29 162     3800     1.35995    1.36019    0.000240796 40       1557     
 1985.08 164     3853     1.35995    1.36019    0.000240249 42       1577     
 2023.23 166     3905     1.35995    1.36019    0.000239981 42       1592     
 2051.78 168     3957     1.35995    1.36019    0.000239094 42       1601     
Writing policy file: ./290385f432_170_2107.15.policy
Intermediate policy written(interval: 2000)
 2107.15 170     4009     1.35996    1.36019    0.000237108 41       1623     
 2150.9  172     4061     1.35996    1.36019    0.000236357 40       1640     
 2184.44 174     4100     1.35996    1.36019    0.00023602  40       1655     
 2225.57 175     4150     1.35996    1.36019    0.000235582 40       1674     
 2255.11 177     4200     1.35996    1.36019    0.000233117 40       1683     
 2301.12 179     4250     1.35996    1.36019    0.000232956 40       1699     
 2343.48 181     4301     1.35996    1.36019    0.000232326 41       1715     
 2393.47 183     4353     1.35996    1.36019    0.000231966 42       1736     
 2443.91 185     4405     1.35996    1.36019    0.000231845 42       1755     
 2496.52 187     4459     1.35996    1.36019    0.000231754 43       1775     
 2536.11 189     4513     1.35996    1.36019    0.000231449 43       1791     
 2562.75 190     4550     1.35996    1.36019    0.000231369 43       1800     
 2601.1  192     4600     1.35996    1.36019    0.000230733 43       1810     
 2640.03 194     4651     1.35996    1.36019    0.000229964 42       1824     
 2681.46 196     4703     1.35996    1.36019    0.00022893  42       1836     
 2737.05 198     4755     1.35996    1.36019    0.000226867 44       1857     
 2792.15 200     4811     1.35996    1.36019    0.000226215 41       1873     
 2848.35 201     4850     1.35996    1.36019    0.000225751 42       1890     
