
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/29078313f9a.pomdpx
  loading time : 0.54s 

SARSOP initializing ...
  initialization time : 31.94s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 31.94   0       0        0.763103   1.92396    1.16086     50       1        
 31.98   3       59       1.39788    1.8345     0.436618    9        16       
 31.99   5       100      1.55222    1.8345     0.282278    15       18       
 32.02   8       157      1.6736     1.8344     0.160795    17       24       
 32.04   10      200      1.71772    1.83435    0.116627    24       28       
 32.07   12      250      1.74414    1.83421    0.0900669   40       35       
 32.11   15      305      1.77206    1.83407    0.0620144   53       40       
 32.15   17      355      1.77843    1.83401    0.0555714   85       47       
 32.19   19      400      1.79145    1.8339     0.0424482   93       50       
 32.23   21      450      1.79831    1.83386    0.0355502   117      54       
 32.3    24      503      1.80576    1.83378    0.0280233   142      58       
 32.36   26      550      1.81089    1.83372    0.0228278   163      62       
 32.46   29      609      1.81589    1.83365    0.0177604   194      68       
 32.56   31      650      1.8179     1.8336     0.0156941   231      74       
 32.73   34      700      1.82078    1.83348    0.012702    246      85       
 32.87   36      755      1.82266    1.83344    0.0107834   290      91       
 33      38      800      1.8238     1.83341    0.0096073   325      95       
 33.19   41      855      1.82534    1.83332    0.00798237  361      101      
 33.35   43      900      1.82616    1.83327    0.0071043   395      106      
 33.62   46      955      1.82723    1.8332     0.00596714  439      116      
 33.84   48      1000     1.82779    1.83316    0.00537356  474      122      
 34.13   51      1057     1.82858    1.83306    0.00447881  520      129      
 34.39   53      1100     1.829      1.83304    0.00403635  553      137      
 34.69   56      1153     1.82965    1.83299    0.00333631  566      144      
 34.96   58      1200     1.83001    1.83297    0.00296222  601      149      
 35.33   61      1253     1.83042    1.83294    0.00251966  645      156      
 35.65   63      1300     1.83062    1.83293    0.00231356  692      162      
 36.13   66      1350     1.83089    1.8329     0.0020093   730      173      
 36.75   69      1405     1.83112    1.83288    0.00176075  772      185      
 37.35   71      1450     1.83128    1.83285    0.00157425  188      193      
 37.66   74      1505     1.83148    1.83284    0.00136038  237      206      
 37.95   76      1550     1.83156    1.83282    0.00125587  275      215      
 38.35   79      1605     1.83164    1.83276    0.00112001  312      230      
 38.81   81      1650     1.83169    1.83275    0.00105301  174      241      
 39.18   84      1705     1.8318     1.83273    0.000927091 102      252      
 39.52   86      1750     1.83185    1.83272    0.000866396 88       264      
 39.84   89      1803     1.83192    1.8327     0.000784796 71       275      
 40.21   91      1850     1.83194    1.83269    0.00074475  56       287      
 40.5    94      1901     1.832      1.83268    0.00067194  56       295      
 41.01   96      1950     1.83203    1.83267    0.000641403 48       310      
 41.43   99      2001     1.83207    1.83265    0.000585483 44       322      
 41.95   101     2050     1.83209    1.83265    0.000556475 38       338      
 42.43   104     2103     1.83211    1.83263    0.000520479 41       350      
 42.8    106     2150     1.83213    1.83263    0.000490974 45       359      
 43.42   109     2209     1.83215    1.83261    0.000459198 45       373      
 43.87   111     2251     1.83216    1.8326     0.000441255 48       383      
 44.46   113     2300     1.83217    1.83259    0.000426294 45       397      
 45.08   116     2355     1.83218    1.83259    0.000404385 45       410      
 45.75   118     2400     1.83219    1.83258    0.000390379 44       423      
 46.6    120     2450     1.8322     1.83258    0.000379881 46       438      
 47.21   123     2507     1.83222    1.83257    0.000357431 45       447      
 47.83   125     2550     1.83222    1.83257    0.000345331 46       458      
 48.78   127     2600     1.83223    1.83256    0.000336464 44       476      
 49.59   130     2657     1.83224    1.83256    0.000320909 45       491      
 50.74   132     2701     1.83224    1.83255    0.000312502 41       509      
 51.14   134     2750     1.83225    1.83255    0.000303612 47       517      
 52.11   136     2800     1.83225    1.83255    0.000295626 46       532      
 53.29   139     2850     1.83226    1.83255    0.000289457 46       551      
 54.23   141     2907     1.83226    1.83254    0.000276468 46       564      
 55.51   143     2953     1.83227    1.83254    0.000272587 48       582      
 56.53   145     3000     1.83227    1.83254    0.000268573 48       596      
 58.11   147     3050     1.83227    1.83253    0.000263135 49       615      
 59.63   150     3109     1.83227    1.83253    0.000257315 46       632      
 60.95   152     3155     1.83227    1.83252    0.0002515   49       648      
 61.83   154     3200     1.83227    1.83252    0.000248313 53       657      
 63.57   156     3250     1.83228    1.83252    0.000241101 43       671      
 65.06   158     3300     1.83228    1.83252    0.000236077 46       683      
 66.2    160     3350     1.83228    1.83251    0.000232255 48       692      
 66.81   163     3411     1.83228    1.83251    0.000229956 52       698      
 68.03   165     3459     1.83228    1.83251    0.000226645 51       711      
 69.07   167     3507     1.83229    1.83251    0.000222041 48       722      
 69.64   169     3557     1.83229    1.83251    0.000216283 52       728      
 71.07   171     3605     1.83229    1.83251    0.000213448 56       744      
 72.82   173     3653     1.8323     1.83251    0.000210171 50       762      
 74.14   175     3701     1.8323     1.8325     0.0002077   52       774      
 75.21   177     3750     1.8323     1.8325     0.000207525 54       783      
 77.26   179     3800     1.8323     1.8325     0.000205608 53       800      
 78.7    181     3850     1.8323     1.8325     0.000202427 54       812      
 80.91   183     3900     1.8323     1.8325     0.000200313 55       829      
 82.88   186     3961     1.8323     1.8325     0.00019439  54       843      
 85.04   188     4009     1.83231    1.8325     0.000190247 51       858      
 86.83   190     4057     1.83231    1.83249    0.000187486 53       869      
 89.3    192     4105     1.83231    1.83249    0.000183459 56       885      
 90.84   194     4153     1.83231    1.83249    0.000182052 57       895      
 92.01   196     4201     1.83231    1.83249    0.00018099  56       902      
 94.24   198     4255     1.83231    1.83249    0.00017661  57       917      
 96.58   200     4307     1.83231    1.83249    0.00017441  53       931      
 98.35   202     4355     1.83231    1.83249    0.000172402 52       941      
 99.69   204     4403     1.83232    1.83249    0.000170021 54       951      
 102.36  206     4451     1.83232    1.83248    0.000167239 57       967      
 104.49  208     4500     1.83232    1.83248    0.000165393 55       979      
 107.04  210     4550     1.83232    1.83248    0.000163622 53       993      
 109.6   212     4600     1.83232    1.83248    0.000161139 60       1009     
