
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/292446e47eb.pomdpx
  loading time : 0.58s 

SARSOP initializing ...
  initialization time : 36.91s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 36.91   0       0        1.23937    3.02812    1.78875     50       1        
 36.95   3       59       2.27509    2.90538    0.630296    12       13       
 36.97   5       103      2.50208    2.90527    0.403194    16       17       
 36.99   7       150      2.63362    2.90518    0.271562    20       20       
 37.04   10      209      2.73833    2.90478    0.166449    31       27       
 37.09   12      253      2.77604    2.9046     0.128556    45       33       
 37.17   14      300      2.8064     2.9044     0.0979942   75       42       
 37.22   16      350      2.82481    2.90421    0.079394    107      45       
 37.3    19      405      2.84482    2.90394    0.0591221   140      48       
 37.39   21      450      2.85547    2.90373    0.0482534   169      53       
 37.54   24      509      2.86609    2.90331    0.037216    195      61       
 37.65   26      553      2.87187    2.90316    0.031299    223      65       
 37.79   28      600      2.8758     2.90303    0.0272281   254      69       
 38.01   30      650      2.87916    2.90287    0.0237169   302      80       
 38.24   33      707      2.88366    2.90244    0.018784    344      87       
 38.43   35      751      2.88568    2.90225    0.0165705   377      92       
 38.66   37      800      2.88732    2.90211    0.0147861   410      98       
 38.94   40      850      2.88913    2.90199    0.0128618   448      106      
 39.3    42      905      2.89081    2.90187    0.0110592   491      114      
 39.59   44      950      2.89167    2.90178    0.0101086   528      120      
 39.96   47      1000     2.89264    2.90163    0.00898692  567      127      
 40.31   49      1051     2.8936     2.90148    0.00788221  600      133      
 40.66   51      1100     2.89421    2.90136    0.00715104  637      139      
 41.15   54      1155     2.89516    2.90122    0.00606634  678      147      
 41.57   56      1200     2.89565    2.90115    0.00550036  715      152      
 42.19   58      1250     2.896      2.90102    0.00502223  124      159      
 42.46   61      1309     2.89643    2.90096    0.00453329  176      168      
 42.68   63      1353     2.89663    2.90089    0.00425955  218      175      
 42.91   65      1400     2.89684    2.90085    0.00401285  260      181      
 43.3    67      1450     2.89708    2.9008     0.00372183  309      192      
 43.74   70      1507     2.89734    2.90074    0.00339907  113      201      
 44.01   72      1551     2.89746    2.90068    0.00321834  148      211      
 44.3    74      1600     2.89762    2.90064    0.00302143  65       219      
 44.67   76      1650     2.89773    2.90062    0.00289101  49       231      
 45.12   79      1711     2.89791    2.90058    0.00267332  54       247      
 45.46   81      1757     2.89798    2.90055    0.00257133  52       255      
 45.79   83      1801     2.89804    2.90051    0.00246537  45       263      
 46.22   85      1850     2.89814    2.90047    0.00232999  45       274      
 46.53   87      1900     2.89822    2.90045    0.0022354   38       281      
 46.98   90      1959     2.89827    2.90041    0.00213457  46       292      
 47.39   92      2003     2.8983     2.90038    0.0020748   45       300      
 47.85   94      2050     2.89834    2.90036    0.00202029  37       310      
 48.4    96      2100     2.89836    2.90034    0.00197468  40       323      
 48.94   99      2161     2.89841    2.90031    0.00189364  37       332      
 49.36   101     2205     2.89845    2.9003     0.0018491   37       339      
 49.97   103     2253     2.8985     2.90028    0.00177727  39       350      
 50.56   105     2301     2.89851    2.90026    0.00175355  44       359      
 51.39   107     2350     2.89855    2.90025    0.00169986  40       373      
 51.99   109     2400     2.89858    2.90023    0.00164436  40       383      
 52.72   111     2450     2.89862    2.90021    0.00159705  40       395      
 53.39   113     2500     2.89864    2.90019    0.00155166  41       404      
 54.65   116     2550     2.89865    2.90018    0.00152208  43       423      
 55.32   118     2611     2.89867    2.90015    0.00148033  41       431      
 56.28   120     2655     2.89869    2.90015    0.00145783  38       444      
 56.99   122     2701     2.8987     2.90012    0.00141991  40       454      
 58.01   124     2750     2.89872    2.90012    0.00140107  43       467      
 58.68   126     2801     2.89873    2.90011    0.00137784  42       475      
