
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/29599c41e4.pomdpx
  loading time : 0.57s 

SARSOP initializing ...
  initialization time : 36.45s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 36.45   0       0        0.557864   1.56902    1.01115     50       1        
 38.54   1       50       0.65761    1.42403    0.76642     71       31       
 40.52   3       105      0.782264   1.42071    0.638443    96       46       
 42.24   4       150      0.806072   1.41914    0.613064    119      55       
 44.48   6       201      0.85266    1.41696    0.564304    10       65       
 53.44   8       265      0.91042    1.41483    0.504413    12       94       
 59.23   9       300      0.948071   1.41374    0.465673    9        109      
 69.56   11      361      0.977195   1.41251    0.435318    12       133      
 76.94   12      400      0.986351   1.41217    0.425824    11       147      
 85.35   14      459      1.02094    1.41143    0.390485    12       164      
 97.1    15      500      1.04033    1.41094    0.370608    9        184      
 108.84  17      555      1.07979    1.41047    0.330681    13       202      
 122.89  18      600      1.09646    1.41023    0.313774    13       222      
 133.08  20      651      1.1247     1.4096     0.284899    15       235      
 151.9   22      715      1.15021    1.40856    0.258344    15       258      
 154     23      750      1.15786    1.40844    0.250579    9        260      
 174.07  25      811      1.1734     1.40808    0.234683    17       282      
 188.98  26      850      1.18963    1.40752    0.217891    17       298      
 208.92  28      907      1.20338    1.40692    0.203548    16       317      
 228.76  29      950      1.21174    1.4067     0.194957    11       335      
 250     31      1007     1.23442    1.40593    0.17151     15       353      
 258.66  32      1050     1.23928    1.40564    0.166354    16       360      
 281.6   34      1105     1.25129    1.4051     0.153805    16       379      
 292.78  35      1150     1.25589    1.40463    0.148745    17       388      
 316.86  37      1207     1.2632     1.40433    0.14113     26       406      
 336.81  38      1250     1.26763    1.40413    0.136504    21       421      
 367.04  40      1309     1.27287    1.40372    0.130853    25       442      
 394.3   41      1350     1.27521    1.40355    0.128337    18       459      
 429.28  43      1411     1.28016    1.4035     0.123334    28       481      
 452.4   44      1450     1.28398    1.40307    0.119096    18       495      
 486.79  46      1513     1.28717    1.40286    0.115693    22       515      
 511.03  47      1550     1.28804    1.40269    0.114648    21       528      
 555.2   49      1615     1.29062    1.40259    0.111969    27       553      
 584.48  50      1650     1.29202    1.4025     0.11048     28       567      
 613.83  52      1700     1.29346    1.40234    0.108877    20       582      
 640.59  53      1751     1.29656    1.40209    0.105532    18       596      
 683.24  54      1800     1.29797    1.40208    0.104109    20       619      
 689.04  56      1853     1.30014    1.40184    0.1017      23       622      
 740.16  57      1900     1.30143    1.4017     0.100266    26       649      
 769.67  59      1955     1.30412    1.40129    0.0971781   37       663      
 810.41  60      2000     1.30494    1.40129    0.0963523   38       679      
 845.58  62      2057     1.30628    1.40114    0.0948575   48       692      
 889.69  63      2100     1.30679    1.40111    0.0943126   41       709      
 911.88  65      2159     1.30806    1.40102    0.0929657   24       718      
 943.03  66      2200     1.30865    1.40093    0.0922809   24       730      
 991.33  68      2261     1.30955    1.40079    0.0912461   28       749      
 1017.37 69      2300     1.30999    1.40077    0.0907796   24       759      
 1038.67 71      2363     1.31055    1.4006     0.090045    33       769      
 1079.06 72      2400     1.31093    1.40043    0.0894924   35       783      
 1165.31 74      2465     1.31214    1.40028    0.0881434   53       811      
 1205.92 75      2500     1.31251    1.40028    0.0877663   39       823      
 1283.12 77      2550     1.31292    1.40023    0.0873072   34       849      
 1328.06 78      2601     1.31394    1.39998    0.0860348   34       862      
 1367.38 79      2650     1.31434    1.39997    0.0856263   28       876      
 1380.3  81      2703     1.31477    1.39966    0.0848814   26       880      
 1404.22 82      2750     1.31509    1.39962    0.0845277   29       888      
 1426.39 84      2805     1.31593    1.39948    0.0835521   28       893      
 1481.08 85      2850     1.31627    1.39947    0.0832005   30       905      
 1558.63 87      2907     1.31663    1.39946    0.0828311   47       922      
 1609.26 88      2950     1.31693    1.39946    0.0825278   40       932      
 1655.47 90      3009     1.31751    1.39926    0.0817505   35       942      
 1727.03 91      3050     1.31775    1.39925    0.0815023   40       956      
 1846.92 93      3111     1.31845    1.39899    0.0805407   44       978      
 1919.12 94      3150     1.31874    1.39897    0.0802294   55       992      
 2020.68 96      3213     1.31912    1.39888    0.0797561   60       1013     
Writing policy file: ./29599c41e4_97_2073.44.policy
Intermediate policy written(interval: 2000)
 2073.44 97      3250     1.31956    1.39877    0.0792098   65       1025     
 2222.1  99      3315     1.31997    1.39867    0.0787057   85       1050     
 2316.17 100     3350     1.32005    1.39867    0.0786204   89       1065     
 2458.36 102     3400     1.32022    1.39858    0.078359    110      1093     
 2517.29 103     3451     1.32062    1.39838    0.0777574   77       1104     
 2643.6  104     3500     1.32085    1.39831    0.0774659   81       1129     
 2715.39 106     3553     1.32109    1.39829    0.0772009   90       1142     
 2802.92 107     3600     1.32124    1.39827    0.0770249   90       1156     
 2910.47 109     3655     1.32149    1.39813    0.0766467   40       1174     
 3029.88 110     3700     1.32172    1.39798    0.0762609   42       1193     
 3145.59 112     3757     1.32219    1.39793    0.0757459   63       1212     
 3272.15 113     3800     1.32225    1.39784    0.0755919   72       1232     
 3389.29 115     3859     1.3228     1.39754    0.0747387   55       1251     
 3491.46 116     3900     1.32297    1.39752    0.0745421   51       1267     
 3626.39 118     3961     1.32321    1.39739    0.0741794   73       1287     
 3730.16 119     4000     1.32337    1.39734    0.073969    64       1302     
 3863.28 121     4063     1.32347    1.39705    0.0735706   68       1321     
 3932.91 122     4100     1.32351    1.39704    0.0735335   74       1333     
 4006.17 124     4150     1.32409    1.39704    0.0729557   70       1345     
 4072.95 125     4201     1.32447    1.397      0.0725288   69       1355     
Writing policy file: ./29599c41e4_126_4232.08.policy
Intermediate policy written(interval: 2000)
 4232.08 126     4250     1.32452    1.397      0.072474    82       1378     
 4315.89 128     4303     1.32467    1.3968     0.0721254   98       1390     
 4402.06 129     4350     1.32481    1.39678    0.0719647   87       1401     
 4499.51 131     4405     1.32518    1.39673    0.0715426   87       1413     
 4611.41 132     4450     1.32567    1.39666    0.070991    81       1429     
 4728.86 134     4509     1.32595    1.39659    0.0706468   86       1443     
 4871.55 135     4550     1.32604    1.39659    0.0705452   91       1461     
 5013.94 137     4611     1.32627    1.39658    0.0703108   101      1482     
 5089.82 138     4650     1.32639    1.39649    0.0701032   107      1491     
 5204.94 140     4713     1.32658    1.39648    0.0699007   98       1505     
 5256.4  141     4750     1.32669    1.39648    0.0697923   94       1511     
 5469.95 143     4815     1.32693    1.39632    0.0693925   99       1537     
 5564.62 144     4850     1.3273     1.39632    0.0690257   85       1551     
 5756.66 145     4900     1.32745    1.39632    0.0688692   71       1574     
 5855.99 147     4953     1.32764    1.39632    0.068681    91       1585     
 6045.22 148     5000     1.32782    1.3963     0.0684818   88       1605     
 6170.47 150     5055     1.32822    1.39629    0.0680658   92       1619     
Writing policy file: ./29599c41e4_151_6275.3.policy
Intermediate policy written(interval: 2000)
 6275.3  151     5100     1.3284     1.39625    0.0678496   98       1631     
 6443.46 153     5159     1.3286     1.39612    0.0675268   103      1648     
 6590.83 154     5200     1.32866    1.39612    0.0674602   113      1663     
 6794.01 156     5263     1.32894    1.39602    0.0670809   115      1684     
 6894.55 157     5300     1.32902    1.39602    0.067004    119      1694     
 7023.3  159     5365     1.32911    1.396      0.0668973   117      1707     
 7141.48 160     5400     1.32917    1.39591    0.0667447   118      1719     
 7331.46 162     5450     1.32919    1.39585    0.0666642   125      1738     
 7426.6  163     5501     1.32925    1.39577    0.0665268   127      1747     
 7553.81 164     5550     1.32938    1.39571    0.0663251   127      1759     
 7691.31 166     5603     1.32948    1.39559    0.0661087   133      1772     
 7792.83 167     5650     1.32964    1.39557    0.0659284   91       1785     
 7914.96 169     5707     1.32976    1.39556    0.0658025   91       1799     
