
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/51d310edf5a.pomdpx
  loading time : 0.55s 

SARSOP initializing ...
  initialization time : 26.94s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 26.94   0       0        1.3408     2.33435    0.993542    50       1        
 27.86   3       50       1.60899    1.9514     0.342405    16       31       
 29.4    5       107      1.69813    1.94244    0.244312    22       55       
 31.62   7       157      1.71781    1.93984    0.222029    34       78       
 34.76   9       207      1.72849    1.93826    0.209771    38       102      
 39.01   11      259      1.73404    1.93534    0.201298    40       126      
 43.85   13      309      1.73644    1.933      0.196566    39       149      
 49.7    15      361      1.73926    1.93252    0.193254    24       173      
 56.47   17      411      1.7407     1.93083    0.190132    34       197      
 64.18   19      450      1.74098    1.93061    0.189623    34       221      
 72.25   20      500      1.74208    1.9295     0.187429    38       242      
 81.3    22      550      1.74344    1.92764    0.184203    32       263      
 93.42   24      600      1.74392    1.92745    0.183529    34       285      
 108.92  26      655      1.74434    1.92716    0.18282     35       310      
 126.14  28      709      1.74497    1.92703    0.182068    47       334      
 145.22  30      759      1.74511    1.92692    0.181812    48       357      
 166.4   32      809      1.7455     1.92622    0.180719    51       379      
 190.61  34      859      1.74566    1.92603    0.180373    52       401      
 216.28  36      909      1.74612    1.92536    0.17924     53       424      
 243.59  38      961      1.74637    1.92488    0.178513    53       446      
 275.08  39      1000     1.74648    1.92483    0.178352    63       470      
 300.57  41      1050     1.74671    1.92352    0.176808    75       488      
 339     43      1100     1.74675    1.92349    0.176734    78       510      
 381.24  45      1150     1.74681    1.92338    0.176578    78       533      
 418.73  47      1200     1.74683    1.92328    0.176456    78       553      
 468.66  49      1253     1.74704    1.92321    0.176168    84       576      
 536.84  51      1309     1.74715    1.92298    0.175826    86       602      
 621.92  53      1361     1.74739    1.92102    0.173623    86       626      
 711.45  55      1400     1.74742    1.92058    0.173168    86       650      
 789.32  56      1450     1.7475     1.92002    0.172516    93       672      
 848.45  58      1500     1.74769    1.9195     0.171813    102      691      
 902.65  60      1550     1.7478     1.91935    0.171556    100      710      
 963.4   62      1600     1.74788    1.9191     0.17122     105      731      
 1029.19 64      1651     1.74794    1.91889    0.17095     98       753      
 1098.36 66      1703     1.74797    1.9188     0.170829    98       775      
 1183.48 68      1753     1.74799    1.91872    0.170729    103      797      
 1266.71 70      1805     1.748      1.91868    0.170674    113      821      
 1347.13 72      1859     1.74812    1.91845    0.170326    101      845      
 1418.96 74      1911     1.7482     1.91834    0.170136    105      866      
 1504.4  76      1950     1.74821    1.91828    0.170074    118      890      
 1575.01 78      2000     1.74827    1.91805    0.169778    124      911      
 1654.23 79      2050     1.74832    1.91804    0.169712    133      933      
 1739.91 81      2100     1.74838    1.91782    0.169441    139      954      
 1827.09 83      2150     1.74844    1.91762    0.169179    141      974      
 1911.82 85      2200     1.74845    1.91752    0.169069    143      994      
 2021.37 87      2250     1.74846    1.91747    0.169011    152      1013     
 2150.62 89      2301     1.74846    1.91747    0.169004    164      1035     
 2285.48 91      2353     1.74848    1.91742    0.168939    172      1057     
 2427.32 93      2405     1.74849    1.91735    0.168863    178      1080     
 2581.38 95      2455     1.74849    1.9173     0.168815    171      1102     
 2735.18 97      2507     1.74849    1.91705    0.168551    181      1125     
 2919.46 99      2559     1.74852    1.91696    0.168437    193      1148     
 3097.22 101     2609     1.74858    1.91679    0.16821     196      1171     
 3279.86 103     2657     1.74859    1.91673    0.168141    214      1192     
 3496.8  105     2707     1.74866    1.91625    0.167589    227      1215     
 3707.98 107     2763     1.74872    1.91456    0.16584     232      1241     
 3875.4  108     2800     1.74873    1.91434    0.165616    223      1264     
 4008.97 110     2850     1.74874    1.91424    0.165493    236      1284     
 4191.27 112     2900     1.74886    1.91319    0.164331    228      1304     
 4333.26 114     2950     1.74887    1.9128     0.163936    232      1324     
 4509.93 116     3001     1.74887    1.9127     0.163827    230      1345     
 4677.63 118     3053     1.74888    1.91267    0.163786    237      1367     
 4826.04 120     3105     1.74892    1.91245    0.163525    227      1388     
 5004.16 122     3157     1.74896    1.91194    0.162982    227      1410     
Writing policy file: ./51d310edf5a_124_5156.13.policy
Intermediate policy written(interval: 5000)
 5156.13 124     3207     1.74896    1.91189    0.162927    220      1430     
 5352.35 126     3259     1.74897    1.91186    0.16289     214      1448     
 5508.23 128     3311     1.74897    1.91182    0.162846    224      1470     
 5685.66 130     3350     1.74897    1.91181    0.16284     228      1492     
 5856.15 131     3400     1.74898    1.91179    0.16281     241      1514     
 5999.25 133     3450     1.74901    1.91125    0.162242    251      1533     
 6146.47 135     3500     1.74901    1.91122    0.162204    248      1552     
 6300.54 137     3550     1.74902    1.9112     0.162181    236      1572     
 6483.57 139     3601     1.74902    1.91118    0.162163    246      1595     
 6667.47 141     3653     1.74904    1.91117    0.162129    256      1618     
 6858.24 143     3705     1.74904    1.91111    0.162064    270      1641     
 7058.58 145     3757     1.74905    1.91109    0.162033    289      1665     
 7220.21 147     3805     1.74907    1.91096    0.1619      276      1684     
 7421.6  149     3857     1.74907    1.91089    0.161822    277      1707     
 7631.46 151     3911     1.74908    1.91043    0.161349    269      1731     
 7816.05 153     3959     1.74908    1.9104     0.161323    267      1750     
