
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/52d28a0b85f.pomdpx
  loading time : 1.10s 

SARSOP initializing ...
  initialization time : 69.98s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 69.98   0       0        0.508336   0.703224   0.194888    50       1        
 70.67   1       50       0.544785   0.597764   0.0529785   41       16       
 71.74   2       100      0.557019   0.59729    0.0402711   35       23       
 73.11   3       150      0.56216    0.597012   0.0348518   30       29       
 75.48   4       200      0.564184   0.596643   0.0324588   26       37       
 78.07   5       253      0.566446   0.596117   0.029671    24       43       
 82.09   6       309      0.568591   0.595982   0.0273907   25       51       
 86.43   7       363      0.570125   0.59569    0.0255648   22       57       
 92.85   8       419      0.571022   0.59557    0.0245481   25       65       
 101.67  9       475      0.571711   0.595482   0.0237712   25       75       
 106.56  9       500      0.571711   0.595482   0.0237712   24       80       
 110.37  10      550      0.572244   0.595411   0.0231673   23       82       
 122.06  11      600      0.572763   0.595054   0.0222911   23       89       
 132.29  12      650      0.573112   0.594977   0.0218646   21       95       
 148.65  13      700      0.573496   0.594856   0.0213596   23       103      
 172.18  14      757      0.573984   0.594698   0.0207135   27       112      
 190.44  15      813      0.574205   0.594634   0.0204291   26       119      
 213.42  16      871      0.574471   0.594512   0.0200407   29       127      
 234.88  17      927      0.574686   0.594268   0.0195824   28       134      
 234.95  17      950      0.574686   0.594268   0.0195824   28       134      
 253.74  18      1000     0.574819   0.594211   0.019392    33       139      
 280.95  19      1050     0.574929   0.594143   0.0192134   28       148      
 303.88  20      1100     0.575055   0.594141   0.0190865   31       154      
 329.5   21      1155     0.575136   0.594098   0.0189625   30       161      
 367.68  22      1211     0.575191   0.594067   0.0188755   31       169      
 401.94  23      1269     0.575278   0.593938   0.0186594   34       176      
 431.7   24      1325     0.57532    0.593935   0.0186156   35       183      
 456.57  24      1350     0.57532    0.593935   0.0186156   35       187      
 467.64  25      1400     0.575343   0.593824   0.0184814   40       189      
 488.53  26      1450     0.575362   0.593821   0.0184593   41       193      
 522.63  27      1500     0.575385   0.593813   0.0184279   39       199      
 586.05  28      1550     0.575404   0.59368    0.0182753   39       206      
 627.99  29      1605     0.57553    0.593475   0.0179442   33       213      
 654.41  30      1661     0.575621   0.593447   0.0178264   37       217      
 681.97  31      1715     0.575656   0.593388   0.0177314   37       223      
 714.07  32      1769     0.575687   0.593369   0.0176821   38       229      
 746.86  33      1825     0.575707   0.593344   0.017637    39       235      
 770.02  33      1850     0.575707   0.593344   0.017637    44       239      
 786.44  34      1900     0.575732   0.593161   0.0174283   41       241      
 817.25  35      1950     0.575798   0.593139   0.0173414   36       245      
 856.45  36      2000     0.575835   0.593058   0.0172228   37       250      
 908.34  37      2051     0.575853   0.593051   0.0171984   41       259      
 940.4   38      2107     0.575863   0.593024   0.0171608   49       264      
 976.71  39      2161     0.575922   0.59302    0.0170982   48       269      
 1040.73 40      2217     0.575993   0.592986   0.0169931   41       276      
 1096.22 41      2275     0.576028   0.592953   0.016925    38       283      
 1109.75 41      2300     0.576028   0.592953   0.016925    36       285      
 1124.34 42      2350     0.576043   0.592953   0.0169101   38       287      
 1188.39 43      2400     0.576065   0.592937   0.0168716   44       294      
 1248.75 44      2450     0.576094   0.592818   0.0167242   46       300      
 1278.1  45      2501     0.576124   0.592817   0.0166937   44       303      
 1354.04 46      2555     0.576137   0.592769   0.0166326   45       309      
 1371.98 47      2605     0.576147   0.592763   0.0166164   45       312      
 1451.11 48      2661     0.576155   0.592738   0.0165831   48       319      
 1512.39 49      2717     0.576164   0.592738   0.0165739   50       323      
 1574.17 50      2771     0.57617    0.592678   0.0165081   58       326      
 1642.96 51      2827     0.576188   0.592653   0.0164654   56       332      
 1653.39 51      2850     0.576188   0.592653   0.0164654   54       333      
 1691.28 52      2900     0.576193   0.592647   0.0164534   54       337      
 1775.13 53      2950     0.57621    0.592541   0.0163301   50       342      
 1888.48 54      3000     0.576225   0.592495   0.01627     56       350      
 1958.09 55      3053     0.576248   0.592494   0.0162463   54       355      
 2028.07 56      3109     0.576255   0.592494   0.0162388   50       359      
 2102.7  57      3163     0.576265   0.592449   0.0161834   56       364      
 2233.24 58      3221     0.576272   0.592447   0.0161745   56       372      
 2280.88 59      3277     0.576278   0.592418   0.0161395   60       377      
 2299.39 59      3300     0.576278   0.592418   0.0161395   56       379      
 2345.63 60      3350     0.576282   0.592418   0.0161351   60       383      
 2415.09 61      3400     0.576285   0.592417   0.0161322   65       389      
 2436.2  62      3450     0.576288   0.592369   0.0160814   66       391      
 2495.17 63      3500     0.576293   0.592369   0.016076    63       395      
 2567.22 64      3550     0.576299   0.592369   0.0160698   60       400      
 2636.34 65      3605     0.576306   0.592339   0.0160332   64       404      
 2718.47 66      3661     0.576311   0.592339   0.0160275   61       412      
 2797.41 67      3719     0.576314   0.592339   0.0160249   61       418      
 2884.35 68      3775     0.576325   0.59233    0.0160046   59       424      
 2942.39 68      3800     0.576325   0.59233    0.0160046   57       429      
 2968.66 69      3850     0.576331   0.592328   0.0159969   55       431      
 3014.31 70      3900     0.576335   0.592298   0.0159627   55       434      
 3077.08 71      3950     0.576341   0.592288   0.0159476   57       438      
 3175.35 72      4000     0.576368   0.592231   0.0158632   61       444      
 3263.58 73      4053     0.576375   0.592217   0.0158416   55       449      
 3324.62 74      4107     0.57638    0.592199   0.0158189   59       452      
 3438.09 75      4163     0.576388   0.592145   0.0157578   62       458      
 3510.95 76      4219     0.57639    0.592145   0.015755    61       463      
 3580.98 77      4275     0.576398   0.592129   0.0157317   52       467      
 3616.69 77      4300     0.576398   0.592129   0.0157317   53       470      
 3655.22 78      4350     0.576404   0.592129   0.0157254   55       472      
 3734.33 79      4400     0.576407   0.592129   0.0157223   55       477      
 3852.25 80      4450     0.576415   0.592035   0.0156205   58       481      
 3958.93 81      4500     0.576422   0.592025   0.0156025   57       485      
 4026.35 82      4553     0.576427   0.592025   0.015598    57       489      
 4103.27 83      4609     0.576431   0.592024   0.0155936   60       494      
 4170.05 84      4663     0.576433   0.592023   0.0155902   59       498      
 4246.77 85      4719     0.576437   0.591984   0.0155466   63       502      
 4384.06 86      4777     0.576442   0.59198    0.0155377   65       511      
 4384.44 86      4800     0.576442   0.59198    0.0155377   63       511      
 4430.89 87      4850     0.576444   0.59198    0.0155355   66       514      
 4438.2  88      4900     0.576446   0.591977   0.0155315   64       515      
 4516.36 89      4950     0.576447   0.591977   0.0155297   67       519      
 4601.19 90      5000     0.576448   0.591975   0.0155265   74       524      
 4686.21 91      5050     0.576449   0.591952   0.0155029   80       530      
 4740.93 92      5101     0.576451   0.591952   0.0155009   80       533      
 4862.34 93      5157     0.576457   0.591858   0.015401    81       539      
 4928.26 94      5213     0.576458   0.591836   0.0153779   82       543      
 5022.6  95      5269     0.576459   0.591835   0.0153758   85       549      
Writing policy file: ./52d28a0b85f_96_5095.9.policy
Intermediate policy written(interval: 5000)
 5095.9  96      5323     0.576461   0.591691   0.0152293   81       552      
 5167.92 96      5350     0.576461   0.591691   0.0152293   82       556      
 5168.67 97      5400     0.576462   0.591662   0.0152002   85       556      
 5261.84 98      5450     0.576465   0.591662   0.0151972   84       561      
 5351.01 99      5500     0.576473   0.591662   0.0151889   81       565      
 5425.15 100     5550     0.576475   0.591661   0.0151862   79       570      
 5499.24 101     5601     0.576476   0.591647   0.0151712   78       574      
 5599.27 102     5657     0.576476   0.591646   0.01517     78       580      
 5723.35 103     5713     0.576481   0.591604   0.0151223   78       586      
 5790.71 104     5769     0.576483   0.591603   0.0151209   79       590      
 5922.32 105     5827     0.576484   0.591532   0.0150484   84       596      
 5922.77 105     5850     0.576484   0.591532   0.0150484   83       596      
 5981.36 106     5900     0.576485   0.591532   0.0150474   85       599      
 6077.57 107     5950     0.576487   0.59153    0.0150429   84       604      
 6161.75 108     6000     0.576489   0.591504   0.0150144   85       608      
 6218.48 109     6050     0.57649    0.591503   0.0150136   84       611      
 6297.59 110     6103     0.576491   0.591503   0.015012    84       615      
 6410.8  111     6159     0.576494   0.591459   0.0149648   82       620      
 6518.93 112     6215     0.576496   0.591458   0.0149625   87       625      
 6595.71 113     6269     0.576497   0.591458   0.0149616   88       629      
 6645.39 114     6321     0.576499   0.591442   0.0149432   92       632      
 6743.93 115     6375     0.576501   0.591442   0.0149406   83       636      
 6802.04 115     6400     0.576501   0.591442   0.0149406   79       639      
 6811.47 116     6450     0.576502   0.591428   0.0149263   79       640      
 6899.84 117     6500     0.576504   0.591428   0.014924    79       644      
 6993.66 118     6550     0.576505   0.591427   0.0149224   85       649      
 7158.67 119     6600     0.576511   0.591412   0.0149009   82       654      
 7249.86 120     6650     0.576512   0.591412   0.0148998   84       658      
 7357.63 121     6703     0.576513   0.59137    0.0148567   84       663      
 7436.12 122     6757     0.576514   0.59137    0.0148556   82       667      
 7558.97 123     6813     0.576544   0.591364   0.0148199   77       672      
 7595.01 124     6865     0.576547   0.591364   0.0148169   76       673      
 7687.74 125     6919     0.576552   0.591286   0.0147333   76       677      
 7775.51 126     6975     0.576558   0.591285   0.0147274   69       681      
 7827.23 126     7000     0.576558   0.591285   0.0147274   69       684      
 7871.12 127     7050     0.576562   0.591284   0.014722    65       686      
 7988.87 128     7100     0.576564   0.591283   0.0147191   64       692      
 8071.67 129     7150     0.576569   0.591275   0.0147059   61       696      
 8140.25 130     7200     0.576571   0.591275   0.0147037   64       699      
 8205.39 131     7255     0.576575   0.591275   0.0146995   67       701      
 8288.12 132     7311     0.576577   0.591273   0.0146966   69       705      
 8389.59 133     7367     0.576578   0.591273   0.0146952   67       709      
 8489.7  134     7423     0.576579   0.591272   0.0146932   73       713      
 8570.7  134     7450     0.576579   0.591272   0.0146932   73       716      
 8571.55 135     7500     0.576582   0.591272   0.0146898   74       716      
 8657.34 136     7550     0.576584   0.591243   0.0146589   75       719      
 8668.1  137     7600     0.576585   0.591221   0.0146359   75       720      
 8701.67 138     7650     0.576586   0.591221   0.0146347   73       722      
 8806.34 139     7700     0.576587   0.591181   0.0145932   75       726      
 8904.32 140     7751     0.57659    0.591129   0.0145394   77       730      
 8960.56 141     7805     0.57659    0.591128   0.0145371   77       732      
 9060.13 142     7861     0.576593   0.591127   0.0145334   75       735      
 9181.29 143     7917     0.576594   0.591126   0.0145319   78       740      
 9327.42 144     7975     0.576597   0.591113   0.0145158   84       745      
 9355.52 144     8000     0.576597   0.591113   0.0145158   84       746      
 9425.6  145     8050     0.576598   0.591113   0.0145148   87       748      
 9551.24 146     8100     0.576601   0.591112   0.0145111   85       753      
 9755.13 147     8150     0.576607   0.591032   0.0144252   85       759      
 9860.8  148     8201     0.576609   0.591032   0.0144232   90       764      
 9961.73 149     8257     0.576612   0.591032   0.0144207   88       768      
Writing policy file: ./52d28a0b85f_150_10100.policy
Intermediate policy written(interval: 5000)
 10100   150     8313     0.576615   0.591032   0.0144164   81       773      
 10205.6 151     8369     0.576619   0.591031   0.0144129   75       776      
 10322.8 152     8425     0.576623   0.591024   0.014401    70       780      
 10323.6 153     8473     0.576624   0.591023   0.0143989   70       780      
 10397.5 153     8500     0.576624   0.591023   0.0143989   70       783      
 10398.5 154     8550     0.576625   0.591022   0.0143972   74       783      
 10399.4 155     8600     0.576625   0.591022   0.0143967   79       783      
 10539.1 156     8650     0.576628   0.590983   0.0143551   77       787      
 10681.5 157     8700     0.576634   0.590919   0.0142849   77       791      
 10821.9 158     8751     0.576637   0.590919   0.014282    77       797      
 10944.8 159     8807     0.576641   0.590905   0.0142639   78       801      
 11059.1 160     8863     0.576642   0.590897   0.0142552   79       805      
 11177.5 161     8919     0.576643   0.590897   0.0142542   83       810      
 11278.7 162     8973     0.576644   0.590897   0.0142536   81       814      
 11378.1 162     9000     0.576644   0.590897   0.0142536   78       817      
 11379.2 163     9050     0.576644   0.59087    0.0142263   79       817      
 11426.4 164     9100     0.576645   0.59087    0.0142254   80       818      
 11500.5 165     9150     0.576645   0.59087    0.0142252   81       821      
 11633.7 166     9200     0.576655   0.590823   0.0141686   80       825      
 11708.7 167     9250     0.576657   0.590817   0.0141607   84       828      
 11814.1 168     9303     0.576658   0.590789   0.0141304   83       831      
 11899.1 169     9359     0.576658   0.590789   0.0141303   85       834      
 11979.8 170     9413     0.576659   0.590788   0.0141297   85       837      
 12039.2 171     9467     0.576659   0.590788   0.014129    84       839      
 12102.8 172     9521     0.57666    0.590788   0.0141281   84       842      
 12167.4 173     9575     0.57666    0.590788   0.0141277   89       845      
 12201.8 173     9600     0.57666    0.590788   0.0141277   86       846      
 12251.7 174     9650     0.57666    0.590761   0.0141007   89       848      
 12359.1 175     9700     0.576665   0.590761   0.0140965   85       851      
 12444.1 176     9750     0.576666   0.590753   0.0140874   90       854      
 12545.6 177     9800     0.576667   0.590737   0.01407     91       857      
 12703.4 178     9855     0.576668   0.590736   0.0140675   87       862      
 12793.6 179     9911     0.57667    0.590735   0.0140655   93       865      
 12863.5 180     9965     0.57667    0.590735   0.014065    90       867      
 12980.2 181     10021    0.576673   0.590735   0.0140622   89       871      
 13053.8 182     10073    0.576674   0.590735   0.0140611   85       873      
 13167.4 182     10100    0.576674   0.590735   0.0140611   84       877      
