
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/53228a0b85f.pomdpx
  loading time : 0.64s 

SARSOP initializing ...
  initialization time : 26.30s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 26.3    0       0        1.32448    2.311      0.986525    50       1        
 27.22   3       50       1.59231    1.93188    0.339578    16       31       
 28.76   5       107      1.68104    1.92303    0.241995    23       55       
 31.15   7       157      1.69596    1.92018    0.224218    33       79       
 34.29   9       207      1.70808    1.91752    0.209435    26       102      
 38.25   11      259      1.71602    1.91587    0.199846    26       126      
 42.99   13      311      1.71948    1.91477    0.195292    38       150      
 48.56   14      350      1.72084    1.91412    0.193282    29       174      
 55.09   16      400      1.72245    1.91141    0.18896     34       197      
 61.98   18      450      1.72343    1.91116    0.187732    35       218      
 69.62   20      500      1.72476    1.90913    0.184367    34       239      
 80.33   22      553      1.72553    1.90875    0.183225    30       263      
 95.07   24      607      1.72598    1.9085     0.182521    41       288      
 110.7   26      661      1.72647    1.90812    0.181652    45       313      
 127.05  28      700      1.72676    1.90806    0.181297    44       336      
 145.63  29      750      1.72715    1.90776    0.180607    40       359      
 161.37  31      800      1.72795    1.90716    0.179212    44       377      
 182.61  33      850      1.72821    1.90704    0.178832    55       398      
 210.48  35      900      1.72854    1.90652    0.17798     45       419      
 236.3   37      950      1.72876    1.90637    0.177613    53       442      
 262.97  39      1001     1.72902    1.90584    0.176815    61       463      
 294.02  41      1053     1.72938    1.90503    0.175644    64       486      
 333.92  43      1105     1.72943    1.9042     0.174773    79       510      
 378.67  45      1159     1.72947    1.90389    0.174419    92       534      
 418.53  47      1209     1.72955    1.90371    0.174164    88       555      
 471.2   49      1259     1.7296     1.90208    0.17248     99       579      
 529.51  51      1313     1.72982    1.9014     0.171583    92       604      
 578.5   52      1350     1.72986    1.90138    0.171519    95       625      
 629.05  54      1400     1.72994    1.9011     0.171162    116      645      
 686.31  56      1450     1.73013    1.89997    0.169842    105      666      
 744.67  58      1500     1.73018    1.89965    0.169464    111      686      
 810.82  60      1551     1.73025    1.8994     0.169158    97       709      
 885.32  62      1605     1.73028    1.89932    0.169036    102      733      
 952.57  64      1657     1.73032    1.89923    0.168908    117      753      
 1029.78 66      1711     1.73034    1.89916    0.168825    114      776      
 1107.37 67      1750     1.73041    1.89915    0.168743    117      798      
 1190.77 69      1800     1.73043    1.89877    0.168335    114      820      
 1282.35 71      1850     1.73046    1.8987     0.168237    118      839      
 1384.88 73      1900     1.73048    1.89867    0.168184    114      859      
 1495.54 75      1953     1.73057    1.89845    0.167885    120      882      
 1650.09 77      2009     1.73066    1.8984     0.167739    123      908      
 1751.14 79      2050     1.73067    1.8983     0.167628    128      933      
 1843.3  80      2100     1.73072    1.8978     0.167082    133      955      
 1928.77 82      2150     1.73079    1.89775    0.166954    133      975      
 2013.32 84      2200     1.73085    1.89755    0.166698    143      995      
 2104.24 86      2250     1.73088    1.89742    0.166536    141      1015     
 2204.27 88      2301     1.7309     1.89735    0.166454    163      1037     
 2318.96 90      2351     1.7309     1.89731    0.16641     181      1058     
 2450.88 92      2405     1.73093    1.89727    0.166337    190      1081     
 2595.38 94      2459     1.73098    1.89722    0.166233    197      1104     
 2792.92 95      2500     1.73099    1.89721    0.166218    183      1128     
 2927.07 97      2550     1.73101    1.89714    0.166135    174      1151     
 3049.16 99      2600     1.73111    1.89591    0.164806    168      1173     
 3163.31 101     2650     1.73112    1.89584    0.164715    164      1193     
 3257.04 103     2700     1.73118    1.89566    0.164478    173      1210     
 3384.54 105     2750     1.73122    1.89544    0.164225    164      1232     
 3516.61 107     2801     1.73122    1.89539    0.164167    168      1254     
 3703.17 109     2857     1.73124    1.89537    0.164132    182      1278     
 3854.09 111     2907     1.73125    1.89532    0.164073    191      1301     
 4086.78 113     2959     1.73125    1.89527    0.164021    208      1325     
 4306.55 115     3013     1.73126    1.89521    0.163956    213      1349     
 4466.4  116     3050     1.73127    1.8947     0.163439    212      1370     
 4609.92 118     3100     1.73128    1.89439    0.163107    220      1390     
 4753.74 120     3150     1.73131    1.89399    0.16268     219      1409     
 4929.99 122     3200     1.73132    1.89392    0.1626      218      1430     
Writing policy file: ./53228a0b85f_124_5172.07.policy
Intermediate policy written(interval: 5000)
 5172.07 124     3250     1.73132    1.89389    0.162568    230      1452     
 5315.35 126     3300     1.73138    1.89368    0.162301    230      1471     
 5494.73 128     3350     1.73138    1.89365    0.162266    228      1489     
 5686.4  130     3401     1.73138    1.89364    0.16226     221      1510     
 5903.13 132     3455     1.73139    1.89363    0.162237    220      1533     
 6075.69 134     3509     1.73145    1.89362    0.162174    212      1554     
 6284.02 136     3563     1.7315     1.89329    0.161797    223      1577     
 6488.7  137     3600     1.7315     1.89329    0.161795    223      1599     
 6707.33 139     3650     1.7315     1.89312    0.161617    215      1620     
 6880.04 141     3700     1.73151    1.89306    0.161549    206      1638     
 7059.17 143     3750     1.73151    1.89305    0.161535    221      1656     
 7291.66 145     3801     1.73153    1.89298    0.161454    225      1677     
 7566.73 147     3853     1.73153    1.89293    0.161399    231      1701     
 7857.32 149     3907     1.73153    1.89257    0.16104     237      1726     
 8119.41 151     3959     1.73154    1.89248    0.160946    248      1750     
 8407.08 153     4013     1.73157    1.89187    0.1603      242      1773     
 8598.39 154     4050     1.73157    1.89183    0.16026     231      1794     
 8860.23 156     4100     1.73164    1.89138    0.159733    241      1816     
 9077.12 158     4150     1.73165    1.89136    0.159709    250      1835     
 9245    160     4200     1.73165    1.89133    0.159683    258      1854     
 9394.88 162     4250     1.73165    1.8913     0.159649    264      1874     
 9617.8  164     4300     1.73166    1.89129    0.15963     261      1897     
 9780.82 166     4353     1.73167    1.89118    0.159504    275      1917     
 9954.52 168     4405     1.73167    1.89108    0.159405    275      1938     
 10136.9 170     4459     1.73168    1.89104    0.159364    281      1960     
Writing policy file: ./53228a0b85f_172_10311.9.policy
Intermediate policy written(interval: 5000)
 10311.9 172     4511     1.73168    1.89085    0.159166    283      1982     
 10468.6 174     4561     1.73171    1.89084    0.159125    277      2001     
 10653   176     4600     1.73172    1.8908     0.159073    268      2023     
 10831.9 177     4650     1.73173    1.89079    0.159066    274      2044     
 11000   179     4700     1.73173    1.89077    0.159045    276      2064     
 11181.8 181     4750     1.73173    1.89073    0.159001    292      2085     
 11365.9 183     4800     1.73173    1.89072    0.158986    308      2106     
 11562   185     4850     1.73176    1.89071    0.158951    293      2128     
 11727.2 187     4900     1.73178    1.89056    0.15878     296      2146     
 11907   189     4950     1.73178    1.89055    0.158773    302      2166     
 12128.1 191     5003     1.7318     1.89045    0.158655    324      2190     
 12348   193     5053     1.73184    1.88869    0.156848    329      2213     
 12549.2 195     5105     1.73186    1.88863    0.156771    342      2234     
 12775.4 197     5157     1.73186    1.88862    0.15676     359      2257     
 12996.6 199     5211     1.73186    1.8886     0.156739    369      2279     
 13199.8 201     5250     1.73186    1.8886     0.156738    378      2299     
 13394.8 202     5300     1.73186    1.88858    0.156719    379      2319     
 13601.8 204     5350     1.73186    1.88851    0.156652    389      2339     
 13801.5 206     5400     1.73186    1.88851    0.156649    385      2358     
 14032.2 208     5450     1.73186    1.8885     0.156644    386      2380     
 14236.2 210     5500     1.73188    1.88784    0.155961    383      2399     
 14436.5 212     5550     1.73189    1.88781    0.155921    384      2418     
 14662.1 214     5601     1.73189    1.88758    0.155684    402      2438     
 14914.5 216     5659     1.73189    1.88757    0.15568     414      2461     
 15146.8 218     5709     1.73189    1.88757    0.155678    414      2481     
Writing policy file: ./53228a0b85f_219_15411.4.policy
Intermediate policy written(interval: 5000)
 15411.4 219     5750     1.73189    1.88757    0.155676    413      2504     
 15663.5 221     5800     1.73189    1.88747    0.155571    400      2525     
 15911.1 223     5850     1.73191    1.88726    0.155354    397      2546     
 16174.4 225     5900     1.73191    1.88721    0.155306    400      2568     
 16442.1 227     5950     1.73192    1.88687    0.15495     399      2590     
 16706.6 229     6000     1.73192    1.88682    0.154899    400      2611     
 16933.3 231     6051     1.73192    1.88679    0.154867    394      2630     
