id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,r,sigma_m,sigma_g,noise,model,K,C,precision,timeout,timeInterval,max_state,max_obs,max_action,min_state,min_obs,min_action,cost,beta
28a2e9ec67,0.59,29.99,10142,0.00154667,  Preset timeout reached,50,50,50,0.95,2016-10-21 21:53:06,0.5,0.1,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
28b2e9ec67,0.66,32.82,10140.4,0.00528861,  Preset timeout reached,50,50,50,0.95,2016-10-21 21:53:07,1,0.1,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2902e9ec67,0.62,55.83,10275.2,0.000228548,  Preset timeout reached,50,50,50,0.95,2016-10-21 21:55:21,0.5,0.1,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
28c2e9ec67,0.63,38.72,10282.7,0.0142952,  Preset timeout reached,50,50,50,0.95,2016-10-21 21:55:26,1.5,0.1,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2922e9ec67,0.71,60.17,10312.5,0.00473586,  Preset timeout reached,50,50,50,0.95,2016-10-21 21:55:56,1.5,0.1,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2912e9ec67,0.67,59.72,10463.4,0.00135948,  Preset timeout reached,50,50,50,0.95,2016-10-21 21:58:27,1,0.1,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
28f2e9ec67,0.65,43.61,10837,0.510165,  Preset timeout reached,50,50,50,0.95,2016-10-21 22:04:41,1.5,0.5,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
28e2e9ec67,0.64,37.05,11083.2,0.240396,  Preset timeout reached,50,50,50,0.95,2016-10-21 22:08:47,1,0.5,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
28d2e9ec67,0.65,33.64,11091.4,0.0713715,  Preset timeout reached,50,50,50,0.95,2016-10-21 22:08:55,0.5,0.5,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2952e9ec67,0.73,71.87,11148.3,0.626526,  Preset timeout reached,50,50,50,0.95,2016-10-21 22:09:52,1.5,0.5,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2942e9ec67,0.67,69.2,11644.7,0.411012,  Preset timeout reached,50,50,50,0.95,2016-10-21 22:18:07,1,0.5,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2932e9ec67,0.72,66.23,12149.1,0.168372,  Preset timeout reached,50,50,50,0.95,2016-10-21 22:26:31,0.5,0.5,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2905e6b24dc,0.49,15.13,10028.5,4.18004e-05,  Preset timeout reached,50,50,50,0.95,2016-10-22 00:42:33,0.5,0.1,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2925e6b24dc,0.52,19.4,10091.4,0.00744574,  Preset timeout reached,50,50,50,0.95,2016-10-22 00:44:11,1.5,0.1,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
28c5e6b24dc,0.7,65.15,10111.8,0.00129799,  Preset timeout reached,50,50,50,0.95,2016-10-22 00:44:17,1.5,0.1,0.5,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
28a5e6b24dc,0.74,59.59,10276.4,5.30083e-05,  Preset timeout reached,50,50,50,0.95,2016-10-22 00:44:41,0.5,0.1,0.5,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
28b5e6b24dc,0.75,64.82,10310.8,0.000316296,  Preset timeout reached,50,50,50,0.95,2016-10-22 00:45:18,1,0.1,0.5,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2915e6b24dc,0.45,16.96,10038.8,0.00285951,  Preset timeout reached,50,50,50,0.95,2016-10-22 00:45:51,1,0.1,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
