
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/5481f3de22.pomdpx
  loading time : 4.05s 

SARSOP initializing ...
  initialization time : 323.91s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 323.91  0       0        1.25993    1.95289    0.69296     100      1        
 325.69  4       50       1.65606    1.86339    0.207325    137      27       
 328.26  7       100      1.72472    1.86213    0.137406    176      52       
 332.08  11      153      1.76027    1.86096    0.100686    103      73       
 336.73  14      200      1.7741     1.85983    0.0857263   63       96       
 341.73  17      253      1.77802    1.85942    0.0813966   80       121      
 347.28  19      300      1.78214    1.85907    0.0769298   91       146      
 354.61  22      350      1.78407    1.85846    0.0743904   78       169      
 361.02  25      400      1.78745    1.85791    0.0704611   49       190      
 368.01  28      453      1.78933    1.85736    0.0680323   54       214      
 374.89  31      503      1.79284    1.85715    0.0643107   52       237      
 383.78  34      559      1.79695    1.85687    0.0599217   37       263      
 391.17  36      600      1.79716    1.85684    0.0596767   48       283      
 402.09  39      651      1.79912    1.85678    0.0576663   62       304      
 417.55  42      707      1.80086    1.85653    0.0556686   65       330      
 427.07  44      750      1.80088    1.8565     0.0556203   81       351      
 441.33  47      803      1.80092    1.85649    0.05557     92       373      
 459.26  49      850      1.80095    1.85648    0.0555373   87       398      
 472.27  52      900      1.80098    1.85646    0.0554859   92       417      
 499.03  55      957      1.80142    1.8563     0.0548734   95       443      
 521.79  57      1000     1.80144    1.85629    0.054852    105      465      
 547.91  60      1055     1.80223    1.85585    0.0536166   94       487      
 570.37  63      1109     1.8023     1.85583    0.0535361   83       511      
 594.27  65      1151     1.80363    1.85541    0.0517769   84       531      
 623.8   67      1200     1.80365    1.8554     0.0517466   102      557      
 644.97  70      1251     1.8037     1.85537    0.0516683   103      574      
 675.35  73      1307     1.80372    1.85537    0.0516529   108      597      
 703.21  75      1350     1.80372    1.85536    0.0516384   123      618      
 730     78      1401     1.80374    1.85535    0.0516153   104      638      
 773.97  80      1450     1.80439    1.85532    0.0509314   98       665      
 800.98  83      1500     1.80443    1.85532    0.0508899   102      682      
 842.53  86      1557     1.80447    1.85532    0.0508457   112      706      
