
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/6ab36df2138.pomdpx
  loading time : 4.46s 

SARSOP initializing ...
  initialization time : 410.78s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 410.78  0       0        0.505444   0.620083   0.114639    100      1        
 425.09  1       55       0.51001    0.571207   0.0611978   90       28       
 457.31  2       109      0.511437   0.570881   0.0594441   34       54       
 501.61  3       163      0.511846   0.570381   0.058535    28       77       
 549.41  4       217      0.512614   0.57007    0.0574561   29       99       
 610.99  5       271      0.513424   0.569731   0.0563071   30       123      
 685.62  6       325      0.514668   0.569267   0.0545994   27       149      
 772.22  6       350      0.514668   0.569267   0.0545994   27       174      
 844.2   7       400      0.51601    0.568801   0.0527905   20       196      
 925.6   8       450      0.516362   0.56865    0.0522884   22       214      
 1013.21 9       500      0.518251   0.568268   0.050017    17       236      
 1060.18 10      550      0.520367   0.568028   0.047661    14       246      
 1127.17 11      600      0.520784   0.568012   0.0472289   22       260      
 1206.84 12      650      0.523652   0.567783   0.0441309   19       275      
 1336.55 13      700      0.524432   0.567556   0.0431246   22       298      
 1470.24 14      750      0.524547   0.567535   0.0429881   24       316      
 1626.36 15      800      0.526497   0.567442   0.0409444   24       335      
 1755.84 16      850      0.527283   0.567233   0.0399497   20       354      
 1917.69 17      900      0.527813   0.567102   0.0392894   32       374      
 2117.5  18      951      0.528016   0.566926   0.0389097   43       396      
 2246.86 19      1001     0.530205   0.566844   0.0366398   39       412      
 2395.16 20      1051     0.531308   0.566731   0.0354237   41       427      
 2663.6  21      1103     0.531516   0.566588   0.0350718   38       446      
 2836.27 22      1153     0.533077   0.566518   0.0334401   39       461      
 3044.98 23      1203     0.534135   0.566432   0.0322972   39       477      
 3389.05 24      1253     0.534239   0.566424   0.0321847   44       501      
 3685.44 25      1303     0.534339   0.566364   0.0320258   49       519      
 4057.51 26      1353     0.534529   0.566297   0.0317682   50       540      
 4453.23 27      1403     0.534616   0.566196   0.03158     52       561      
 4810.36 28      1453     0.534626   0.566191   0.0315648   57       578      
 5235.83 29      1503     0.534649   0.566186   0.0315373   53       595      
Writing policy file: ./6ab36df2138_30_5851.22.policy
Intermediate policy written(interval: 5000)
