
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/6b236df2138.pomdpx
  loading time : 4.31s 

SARSOP initializing ...
  initialization time : 943.05s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 943.05  0       0        1.65426    4.27248    2.61822     100      1        
 943.57  2       50       2.96261    4.09891    1.1363      20       21       
 943.99  5       105      3.57563    4.09882    0.523188    19       31       
 944.19  7       150      3.75208    4.09879    0.346714    38       34       
 944.66  9       200      3.85635    4.09873    0.242379    64       42       
 944.97  11      267      3.90443    4.09875    0.194321    86       51       
 945.26  12      300      3.92542    4.09873    0.173311    101      55       
 946.18  15      359      3.9837     4.0986     0.114899    138      67       
 947.18  16      409      3.99614    4.09851    0.102367    159      75       
 948.46  18      455      4.01735    4.09837    0.0810137   191      83       
 949.35  20      503      4.03056    4.09829    0.0677339   90       87       
 950.46  22      551      4.04301    4.0982     0.0551897   80       93       
 952.05  24      600      4.04988    4.09813    0.0482487   68       100      
 952.85  25      650      4.05387    4.09812    0.0442511   64       104      
 954.2   26      700      4.05772    4.09811    0.0403887   62       110      
 956.14  28      773      4.06359    4.09804    0.0344475   46       118      
 956.72  29      800      4.06536    4.098      0.0326421   42       122      
 960.59  31      857      4.06948    4.09793    0.0284554   38       134      
 962.91  32      909      4.07119    4.09788    0.0266949   39       140      
 965.34  33      950      4.07231    4.09787    0.0255557   41       147      
 968.58  35      1019     4.07456    4.09782    0.0232629   40       154      
 971.25  36      1050     4.07552    4.0978     0.0222833   43       159      
 975.16  38      1107     4.07765    4.09775    0.0200981   33       166      
 978.85  39      1159     4.07858    4.0977     0.019118    49       173      
 983.68  41      1213     4.08022    4.0976     0.017386    43       181      
 988.89  42      1265     4.08097    4.09759    0.0166198   55       191      
 990.75  43      1300     4.08163    4.09755    0.0159176   46       194      
 994.13  44      1350     4.08219    4.09754    0.0153453   50       200      
 1003.08 45      1400     4.08266    4.09753    0.0148734   54       214      
 1008.88 47      1461     4.08374    4.0975     0.0137622   63       222      
 1014.9  48      1500     4.08413    4.09747    0.0133383   59       230      
 1023.21 50      1571     4.08518    4.09739    0.0122073   53       240      
 1028.71 51      1623     4.08547    4.09736    0.0118965   55       248      
 1034.57 52      1657     4.08582    4.09735    0.0115333   60       257      
 1037.86 53      1700     4.08627    4.09732    0.0110489   61       262      
 1050.15 55      1773     4.08687    4.09726    0.0103893   66       275      
 1054.49 56      1807     4.08723    4.09725    0.0100151   62       280      
 1064.06 57      1850     4.08757    4.09723    0.00965424  58       291      
 1076.83 59      1909     4.088      4.09719    0.00919154  64       304      
 1085.95 60      1950     4.08824    4.09718    0.00894165  62       314      
 1095.25 62      2000     4.08866    4.09715    0.00848781  57       322      
 1106.19 64      2065     4.0892     4.09708    0.00788197  62       333      
 1115.43 65      2103     4.08934    4.09707    0.00773675  63       343      
 1130.53 67      2161     4.08969    4.09705    0.00735982  66       357      
 1137.78 68      2200     4.08988    4.09704    0.00716093  71       365      
 1146.84 69      2250     4.09006    4.09703    0.00696744  78       373      
 1154.69 70      2300     4.09018    4.09702    0.00683624  83       380      
 1168.57 72      2351     4.09043    4.09699    0.00656315  76       394      
 1182.57 73      2400     4.09057    4.09698    0.0064148   71       407      
 1202.63 75      2457     4.09081    4.09695    0.00613801  81       424      
 1212.96 77      2515     4.09106    4.09691    0.00585024  76       433      
 1226.62 78      2553     4.09117    4.0969     0.00572873  76       443      
 1242.76 80      2600     4.09128    4.09689    0.00560984  69       455      
 1255.47 81      2650     4.0915     4.09687    0.00536266  74       464      
 1273.49 82      2700     4.0916     4.09686    0.00525837  79       478      
 1282.37 84      2750     4.09176    4.09683    0.00507126  81       486      
 1296.15 85      2800     4.09186    4.09683    0.00497004  84       494      
 1320.66 87      2861     4.09199    4.0968     0.00481209  84       510      
 1337.36 88      2900     4.09206    4.09679    0.00473346  82       520      
 1360.15 90      2963     4.09221    4.09675    0.00454104  90       536      
 1380.04 91      3000     4.09228    4.09675    0.00446981  89       550      
 1411.8  93      3059     4.09243    4.09672    0.00429347  83       567      
 1427.8  94      3111     4.09248    4.09671    0.00423079  84       575      
