
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/ef3d3b6834.pomdpx
  loading time : 4.86s 

SARSOP initializing ...
  initialization time : 1670.06s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1670.06 0       0        0.534345   1.4157     0.881352    100      1        
 1674.05 2       53       0.772115   1.32777    0.555651    7        11       
 1676.67 4       105      0.878805   1.32771    0.448907    9        15       
 1679.58 6       157      0.958379   1.32769    0.369307    8        19       
 1684.52 8       209      1.0088     1.32766    0.318856    8        23       
 1691.04 10      261      1.04756    1.32759    0.28003     9        27       
 1704.78 12      300      1.06064    1.32758    0.266938    7        35       
 1711.08 13      350      1.08505    1.32751    0.242461    7        38       
 1718.19 15      400      1.10714    1.32748    0.220338    7        41       
 1728.68 17      450      1.12733    1.32746    0.20013     6        45       
 1742.78 19      500      1.14393    1.32742    0.183493    8        51       
 1748.91 21      550      1.1581     1.32741    0.169308    6        53       
 1762.18 23      600      1.17254    1.32738    0.154836    6        57       
 1778.94 25      651      1.18809    1.32732    0.139229    9        62       
 1798.41 27      703      1.19962    1.3273     0.127677    8        67       
 1820.16 29      757      1.20906    1.32726    0.118198    8        72       
 1837.57 31      809      1.21701    1.32722    0.110208    9        76       
 1857.26 33      861      1.22462    1.32719    0.102578    8        80       
 1882.08 35      900      1.22908    1.32719    0.0981167   7        85       
 1899    36      950      1.2362     1.32717    0.0909779   7        88       
 1910.54 38      1000     1.24168    1.32717    0.0854894   9        90       
 1937.97 40      1050     1.24857    1.32714    0.0785709   8        95       
 1963.09 42      1100     1.25314    1.32714    0.0739992   9        99       
 1990.85 44      1150     1.25738    1.32711    0.0697346   11       104      
 2018.84 46      1200     1.26096    1.3271     0.0661437   9        108      
 2077.24 48      1251     1.2657     1.32706    0.0613674   10       117      
 2102.85 50      1303     1.26893    1.327      0.0580705   12       121      
 2132.56 52      1355     1.27149    1.32699    0.0555004   11       125      
 2157.14 54      1407     1.27435    1.32697    0.0526173   12       128      
 2218.21 56      1459     1.2774     1.32694    0.049535    13       136      
 2249.78 58      1511     1.27956    1.32691    0.0473529   12       140      
 2296.9  60      1550     1.28058    1.32689    0.046309    13       146      
 2329.64 61      1600     1.28276    1.32686    0.044103    12       150      
 2380.17 63      1650     1.28514    1.32684    0.0416994   13       156      
 2437    65      1700     1.28691    1.32682    0.0399059   14       162      
 2495.99 67      1750     1.28855    1.32678    0.0382315   14       168      
 2574.19 69      1800     1.28994    1.32677    0.0368323   13       176      
 2635.52 71      1850     1.29091    1.32674    0.0358312   15       182      
 2689.7  73      1901     1.29182    1.32673    0.0349087   15       187      
 2735.86 75      1953     1.29273    1.3267     0.0339659   15       191      
