id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,r,sigma_m,sigma_g,noise,K,C,model,precision,timeout,timeInterval,max_state,max_obs,max_action,min_state,min_obs,min_action,cost
5461f3de22,4,298.13,20451.9,0.00396896,  Preset timeout reached,100,100,100,0.95,2016-10-08 12:41:06,0.5,0.1,0.1,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none
5471f3de22,4.05,347.62,20485.2,0.00548704,  Preset timeout reached,100,100,100,0.95,2016-10-08 12:42:18,1,0.1,0.1,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none
5481f3de22,4.05,323.91,20561.8,0.0433513,  Preset timeout reached,100,100,100,0.95,2016-10-08 12:44:13,0.5,0.5,0.1,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none
54a1f3de22,4.44,822.14,21115.3,0.000412232,  Preset timeout reached,100,100,100,0.95,2016-10-08 12:52:52,0.5,0.1,0.5,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none
5491f3de22,4.16,362.74,21252.2,0.117335,  Preset timeout reached,100,100,100,0.95,2016-10-08 12:54:52,1,0.5,0.1,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none
54b1f3de22,4.17,936.2,21514.4,0.00112465,  Preset timeout reached,100,100,100,0.95,2016-10-08 13:00:40,1,0.1,0.5,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none
542fddbb0d,4.53,1533.69,22595.6,0.000825675,  Preset timeout reached,100,100,100,0.95,2016-10-08 13:18:39,0.5,0.1,0.5,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none
5451f3de22,5.07,1952.56,22952.5,0.315949,  Preset timeout reached,100,100,100,0.95,2016-10-08 13:23:12,1,0.5,0.5,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none
543fddbb0d,4.77,1654.5,23397.7,0.00699041,  Preset timeout reached,100,100,100,0.95,2016-10-08 13:32:04,1,0.1,0.5,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none
544fddbb0d,4.9,1840.05,23838.3,0.211526,  Preset timeout reached,100,100,100,0.95,2016-10-08 13:39:22,0.5,0.5,0.5,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none
6ac36df2138,4.76,671.06,6050.2,0.00958177,NA,100,100,100,0.95,2016-10-08 15:28:35,0.1,0.1,lognormal,bh,0.66,1,0.2,1e-07,20000,5000,1,1,1,0,0,0,none
6a836df2138,3.98,276.28,20443.5,0.00431782,  Preset timeout reached,100,100,100,0.95,2016-10-08 19:29:07,0.1,0.1,uniform,allen,0.66,1,0.2,1e-07,20000,5000,1,1,1,0,0,0,none
6b036df2138,3.9,315.75,20489.1,0.00547877,  Preset timeout reached,100,100,100,0.95,2016-10-08 19:30:34,0.1,0.1,uniform,bh,0.66,1,0.2,1e-07,20000,5000,1,1,1,0,0,0,none
6aa36df2138,5.05,430.75,20713.5,0.000653787,  Preset timeout reached,100,100,100,0.95,2016-10-08 19:35:04,0.1,0.5,uniform,allen,0.66,1,0.2,1e-07,20000,5000,1,1,1,0,0,0,none
6b236df2138,4.31,943.05,21130.7,0.00104602,  Preset timeout reached,100,100,100,0.95,2016-10-08 19:40:33,0.1,0.5,uniform,bh,0.66,1,0.2,1e-07,20000,5000,1,1,1,0,0,0,none
6b136df2138,4,339.3,21168.2,0.118559,  Preset timeout reached,100,100,100,0.95,2016-10-08 19:43:03,0.5,0.1,uniform,bh,0.66,1,0.2,1e-07,20000,5000,1,1,1,0,0,0,none
6a636df2138,4.66,1647.46,21882.7,0.000758749,  Preset timeout reached,100,100,100,0.95,2016-10-08 19:53:10,0.1,0.5,lognormal,allen,0.66,1,0.2,1e-07,20000,5000,1,1,1,0,0,0,none
6a736df2138,4.69,1738.07,22551.9,0.020664,  Preset timeout reached,100,100,100,0.95,2016-10-08 20:05:45,0.5,0.5,lognormal,allen,0.66,1,0.2,1e-07,20000,5000,1,1,1,0,0,0,none
6af36df2138,5.38,1946.61,23247.7,0.305577,  Preset timeout reached,100,100,100,0.95,2016-10-08 20:15:41,0.5,0.5,lognormal,bh,0.66,1,0.2,1e-07,20000,5000,1,1,1,0,0,0,none
6ae36df2138,4.58,1649.8,23360.7,0.00749711,  Preset timeout reached,100,100,100,0.95,2016-10-08 20:19:37,0.1,0.5,lognormal,bh,0.66,1,0.2,1e-07,20000,5000,1,1,1,0,0,0,none
