
Loading the model ...
  input file   : /root/pomdpplus/inst/notebook/tuna-100/3d289205e.pomdpx
  loading time : 4.05s 

SARSOP initializing ...
  initialization time : 846.03s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 846.03  0       0        1.94315    3.19483    1.25168     100      1        
 858.51  2       73       2.55148    3.17954    0.628054    169      37       
 871.48  2       100      2.55148    3.17954    0.628054    79       64       
 888.22  3       150      2.69738    3.17949    0.482116    65       85       
 905.03  5       211      2.84205    3.17943    0.33738     44       103      
 920.03  6       250      2.88406    3.17942    0.295366    42       129      
 925.63  6       300      2.88406    3.17942    0.295366    82       179      
 933.42  6       350      2.88406    3.17942    0.295366    106      229      
 939.98  7       493      2.90215    3.17942    0.27727     103      244      
 940.56  7       494      2.90215    3.17942    0.27727     93       245      
 943.2   7       500      2.90215    3.17942    0.27727     93       251      
 965.24  8       550      2.95662    3.17942    0.222791    52       279      
 994.19  9       600      2.99917    3.17941    0.180247    52       304      
 1020.05 11      657      3.03664    3.1794     0.142751    48       322      
 1068.12 13      711      3.06899    3.17882    0.109824    53       348      
 1101.05 14      750      3.07612    3.17882    0.1027      52       365      
 1113.03 14      800      3.07612    3.17882    0.1027      78       415      
 1127.46 14      850      3.07612    3.17882    0.1027      98       465      
 1131.96 15      965      3.09006    3.17881    0.088758    77       470      
 1133.55 15      966      3.09006    3.17881    0.088758    78       471      
 1167.55 16      1011     3.09485    3.17881    0.0839635   79       492      
 1209.63 17      1050     3.09806    3.17881    0.0807536   79       513      
 1263.81 19      1100     3.11606    3.17866    0.062602    74       536      
 1332.57 20      1150     3.11789    3.17866    0.0607722   77       564      
 1366.24 22      1205     3.13042    3.17866    0.048247    71       585      
 1428.57 23      1259     3.13237    3.17866    0.0462925   74       611      
 1483.66 24      1303     3.13357    3.17866    0.0450893   79       631      
 1563.27 25      1350     3.13398    3.17866    0.044672    71       658      
 1643.67 27      1403     3.14177    3.17833    0.0365524   64       679      
 1730.26 28      1455     3.14231    3.17833    0.0360189   64       704      
 1826.44 29      1500     3.14259    3.17832    0.0357302   71       727      
 1960.49 31      1565     3.14348    3.17832    0.0348423   68       756      
 2034.76 32      1600     3.14379    3.17832    0.0345362   53       774      
 2071.3  32      1650     3.14379    3.17832    0.0345362   89       824      
 2112.57 32      1700     3.14379    3.17832    0.0345362   86       874      
 2152    33      1861     3.14411    3.17831    0.0342018   77       903      
 2160.83 33      1862     3.14411    3.17831    0.0342018   78       904      
 2168.5  33      1863     3.14411    3.17831    0.0342018   78       905      
 2274.36 34      1900     3.1469     3.17819    0.031292    89       925      
 2419.48 35      1950     3.14712    3.17819    0.0310733   93       952      
 2541.08 37      2011     3.14731    3.17819    0.0308781   94       973      
 2671.63 38      2050     3.14768    3.17819    0.0305068   82       994      
 2833.2  40      2109     3.14804    3.17819    0.0301465   85       1019     
 2984    41      2150     3.14854    3.17819    0.0296482   90       1044     
 3124.05 43      2203     3.14922    3.17819    0.0289669   88       1063     
 3322.08 45      2250     3.14963    3.17819    0.0285589   94       1090     
 3424.57 46      2300     3.15011    3.17819    0.028078    74       1107     
 3485.04 46      2350     3.15011    3.17819    0.028078    85       1157     
 3545.15 46      2400     3.15011    3.17819    0.028078    103      1207     
 3587.06 47      2561     3.15045    3.17818    0.0277296   87       1235     
 3587.72 47      2562     3.15045    3.17818    0.0277296   88       1235     
 3594.18 47      2563     3.15045    3.17818    0.0277296   89       1236     
 3729.61 48      2600     3.15056    3.17818    0.027627    99       1255     
 3920.48 50      2657     3.15064    3.17818    0.0275467   93       1279     
 4140.39 51      2700     3.15068    3.17818    0.0275078   97       1305     
 4344.34 53      2750     3.15086    3.17818    0.0273216   91       1325     
