
Loading the model ...
  input file   : /root/pomdpplus/inst/notebook/tuna-100/404d2c6c11.pomdpx
  loading time : 4.14s 

SARSOP initializing ...
  initialization time : 782.07s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 782.07  0       0        1.7601     2.55391    0.793808    100      1        
 787.91  3       50       2.2466     2.54124    0.294638    146      28       
 799.69  5       100      2.33191    2.54087    0.208959    84       52       
 814.88  7       167      2.3936     2.54086    0.147261    111      81       
 828.05  8       200      2.4126     2.54086    0.12826     94       99       
 833.96  8       250      2.4126     2.54086    0.12826     87       149      
 838.77  9       347      2.42606    2.54085    0.114792    78       170      
 840.8   9       350      2.42606    2.54085    0.114792    67       173      
 865.79  10      400      2.44095    2.54084    0.0998926   55       202      
 892.89  12      467      2.46579    2.54071    0.0749167   61       228      
 915.63  13      500      2.46767    2.5407     0.0730358   63       245      
 936.46  15      555      2.48698    2.5407     0.0537252   57       270      
 966.41  16      603      2.49005    2.5407     0.0506498   61       293      
 1021.25 17      650      2.49124    2.5407     0.0494607   63       321      
 1073.44 19      719      2.50345    2.54062    0.0371693   55       348      
 1083    19      750      2.50345    2.54062    0.0371693   55       379      
 1101.07 19      800      2.50345    2.54062    0.0371693   54       429      
 1122.6  19      850      2.50345    2.54062    0.0371693   68       479      
 1126.5  20      983      2.50427    2.5406     0.0363288   69       479      
 1128.98 20      984      2.50427    2.5406     0.0363288   70       480      
 1165.98 20      1000     2.50427    2.5406     0.0363288   79       496      
 1216.11 22      1059     2.50562    2.5406     0.0349765   78       515      
 1289.21 24      1111     2.51052    2.54049    0.0299712   74       540      
 1347.02 25      1150     2.5114     2.54049    0.0290907   77       559      
 1405.65 26      1200     2.51158    2.54049    0.0289128   63       588      
 1436.07 26      1250     2.51158    2.54049    0.0289128   69       638      
 1464.51 27      1391     2.51285    2.54049    0.0276375   89       675      
 1467.21 27      1392     2.51285    2.54049    0.0276375   90       676      
