
Loading the model ...
  input file   : /root/pomdpplus/inst/notebook/tuna-100/4057811409a.pomdpx
  loading time : 3.73s 

SARSOP initializing ...
  initialization time : 640.74s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 640.74  0       0        0.612341   0.778907   0.166567    100      1        
 642.42  1       75       0.665353   0.773768   0.108414    103      39       
 643.23  2       117      0.698664   0.773764   0.0751001   112      59       
 644.32  3       165      0.713103   0.773764   0.0606605   129      83       
 645.26  4       200      0.730147   0.773757   0.0436099   139      101      
 646.53  5       277      0.735963   0.773757   0.0377948   214      138      
 647.88  5       300      0.735963   0.773757   0.0377948   109      161      
 649.8   7       361      0.750633   0.773754   0.023122    87       180      
 652.08  8       411      0.756512   0.773751   0.0172384   103      204      
 654.78  9       459      0.758464   0.77375    0.0152861   111      228      
 658.35  10      500      0.761273   0.773739   0.0124656   79       254      
 661.23  11      550      0.763477   0.773736   0.0102585   59       285      
 662.39  12      600      0.764812   0.773736   0.00892356  72       297      
 665.67  13      653      0.76542    0.773736   0.00831583  64       321      
 670.46  14      700      0.766652   0.773734   0.00708178  56       351      
 675.15  15      750      0.768213   0.77373    0.00551679  50       379      
 679.22  17      815      0.769191   0.773727   0.00453589  47       399      
 682.89  17      850      0.769191   0.773727   0.00453589  61       434      
 689.39  18      981      0.769528   0.773725   0.00419717  66       482      
 689.73  18      982      0.769528   0.773725   0.00419717  66       483      
 693.45  18      1000     0.769528   0.773725   0.00419717  64       501      
 699.02  19      1050     0.769969   0.773722   0.00375258  60       525      
 704.77  20      1100     0.770516   0.773716   0.00319996  58       550      
 710.87  21      1150     0.770621   0.773716   0.00309505  52       572      
 718.27  22      1200     0.770882   0.77371    0.00282816  49       600      
 725.82  23      1250     0.771182   0.773708   0.00252637  50       627      
 730     24      1300     0.771362   0.773705   0.00234302  59       650      
 738.36  24      1350     0.771362   0.773705   0.00234302  80       700      
 742.02  25      1449     0.771389   0.7737     0.00231075  82       715      
 742.54  25      1450     0.771389   0.7737     0.00231075  82       716      
 751.09  26      1509     0.771562   0.773697   0.00213485  85       745      
 758.57  26      1550     0.771562   0.773697   0.00213485  92       786      
