
Loading the model ...
  input file   : /home/rstudio/inst/notebook/tuna-150/3af76c50b16.pomdpx
  loading time : 14.91s 

SARSOP initializing ...
  initialization time : 5782.99s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 5782.99 0       0        1.75103    2.58453    0.8335      150      1        
 5785.05 2       50       2.32357    2.5722     0.248625    196      30       
 5785.88 2       100      2.32357    2.5722     0.248625    246      80       
 5788.42 3       183      2.34407    2.5722     0.22813     299      93       
 5792.25 4       205      2.4183     2.57219    0.153893    147      103      
 5800.65 5       261      2.43516    2.57219    0.137032    190      131      
 5812.36 6       300      2.45855    2.57218    0.113629    223      155      
 5819.69 8       350      2.48394    2.57218    0.0882378   269      176      
 5831.05 9       400      2.50555    2.57218    0.0666258   300      209      
 5845.87 11      450      2.51667    2.57218    0.0555099   317      232      
 5859.17 12      503      2.52877    2.57217    0.0433932   329      249      
 5868.13 13      550      2.53556    2.57216    0.0366061   360      258      
 5878.75 14      665      2.54019    2.57216    0.031972    431      259      
 5880.37 14      666      2.54019    2.57216    0.031972    432      260      
 5900.4  15      711      2.5453     2.57216    0.0268524   434      281      
 5918.65 16      753      2.54714    2.57216    0.0250146   468      300      
 5933.26 17      800      2.55118    2.57216    0.0209783   428      325      
 5958.49 18      851      2.55443    2.57215    0.0177277   447      349      
 5989.17 19      903      2.55625    2.57215    0.0158978   468      374      
 6020.52 20      950      2.55701    2.57215    0.0151384   489      398      
 6071.33 22      1015     2.56013    2.57214    0.0120142   512      428      
 6079.32 22      1050     2.56013    2.57214    0.0120142   538      428      
 6100.33 23      1149     2.5614     2.57214    0.0107429   609      428      
 6101.62 23      1150     2.5614     2.57214    0.0107429   610      428      
 6161.68 24      1213     2.56189    2.57214    0.010251    637      459      
 6218.1  25      1261     2.56277    2.57214    0.00937317  679      483      
 6282.63 26      1309     2.56347    2.57213    0.00866075  690      506      
 6314.8  27      1363     2.56462    2.57213    0.00751142  648      527      
 6384.34 28      1433     2.56493    2.57213    0.00720383  680      562      
 6415.17 28      1450     2.56493    2.57213    0.00720383  693      579      
 6474.23 29      1500     2.56544    2.57213    0.00669249  729      600      
 6540.35 30      1550     2.56587    2.57213    0.00625134  762      621      
 6630.27 31      1609     2.56633    2.57212    0.00579344  797      650      
 6743.15 33      1679     2.56675    2.57211    0.00536662  732      684      
 6785.06 33      1700     2.56675    2.57211    0.00536662  753      705      
 6845.79 34      1750     2.56685    2.57211    0.00526747  803      720      
 6972.43 35      1813     2.56714    2.57211    0.00497117  612      751      
 7069.52 36      1879     2.56728    2.57211    0.00482671  647      783      
 7107.5  36      1900     2.56728    2.57211    0.00482671  668      804      
 7191.96 37      1950     2.56737    2.57211    0.00473255  555      822      
 7259.76 38      2003     2.56762    2.5721     0.00448395  608      845      
 7342.87 39      2069     2.56778    2.5721     0.00432669  668      878      
 7405.09 39      2100     2.56778    2.5721     0.00432669  699      909      
 7486.38 40      2150     2.56792    2.5721     0.00418355  500      924      
 7564.06 41      2209     2.56797    2.5721     0.00412655  559      947      
 7675.83 42      2281     2.56809    2.5721     0.00400228  625      983      
 7715.23 42      2300     2.56809    2.5721     0.00400228  644      1002     
 7797.22 43      2355     2.56823    2.57209    0.00386115  400      1019     
 7941.83 44      2433     2.56828    2.57209    0.00381553  354      1058     
 7951.43 44      2450     2.56828    2.57209    0.00381553  351      1075     
 7986.75 45      2509     2.56872    2.57209    0.00337599  256      1095     
 8027.47 45      2550     2.56872    2.57209    0.00337599  192      1136     
 8039.15 46      2605     2.56873    2.57209    0.00335702  131      1143     
 8091    46      2650     2.56873    2.57209    0.00335702  129      1188     
 8095.99 47      2700     2.5688     2.57209    0.00328736  89       1190     
 8156.89 48      2795     2.56881    2.57209    0.00327817  94       1237     
 8164.41 48      2800     2.56881    2.57209    0.00327817  94       1242     
 8222.48 49      2887     2.56886    2.57208    0.00322777  71       1282     
 8240.01 49      2900     2.56886    2.57208    0.00322777  74       1294     
 8303.38 50      2983     2.56887    2.57208    0.003218    72       1329     
 8333.65 50      3000     2.56887    2.57208    0.003218    74       1346     
 8384.11 51      3075     2.56893    2.57208    0.00315041  77       1374     
 8430    51      3100     2.56893    2.57208    0.00315041  84       1399     
 8478.97 52      3169     2.56893    2.57208    0.00314637  80       1420     
 8537.5  52      3200     2.56893    2.57208    0.00314637  82       1449     
 8572.9  53      3263     2.56894    2.57208    0.00314354  80       1464     
 8648.85 53      3300     2.56894    2.57208    0.00314354  80       1500     
 8675.8  54      3357     2.56894    2.57208    0.00314023  72       1510     
 8776.02 54      3400     2.56894    2.57208    0.00314023  75       1553     
 8786.43 55      3450     2.569      2.57208    0.00308294  80       1556     
 8912.56 56      3541     2.569      2.57208    0.00307895  84       1600     
 8945.34 56      3550     2.569      2.57208    0.00307895  85       1609     
 9065    57      3633     2.56906    2.57208    0.00301596  81       1645     
 9117.12 57      3650     2.56906    2.57208    0.00301596  84       1661     
 9225.88 58      3731     2.56907    2.57208    0.0030096   79       1692     
 9281.22 58      3750     2.56907    2.57208    0.0030096   83       1710     
 9377.7  59      3825     2.56907    2.57208    0.00300634  85       1737     
 9475.19 59      3850     2.56907    2.57208    0.00300634  90       1761     
 9548.08 60      3919     2.56907    2.57208    0.00300449  93       1782     
 9653.31 60      3950     2.56907    2.57208    0.00300449  89       1813     
 9710.13 61      4011     2.56907    2.57208    0.00300113  83       1827     
 9856.36 61      4050     2.56907    2.57208    0.00300113  86       1865     
 9887.83 62      4105     2.56908    2.57208    0.00299967  75       1872     
 10078.2 63      4150     2.56908    2.57208    0.00299967  74       1916     
 10124   63      4200     2.56908    2.57208    0.00299783  82       1922     
 10294.2 64      4285     2.56912    2.57207    0.00295692  85       1961     
 10359.6 64      4300     2.56912    2.57207    0.00295692  95       1976     
 10532.7 65      4379     2.56912    2.57207    0.00295502  88       2007     
 10639.1 65      4400     2.56912    2.57207    0.00295502  95       2028     
 10767.1 66      4473     2.56912    2.57207    0.00295267  88       2053     
 10885.3 66      4500     2.56912    2.57207    0.00295267  83       2080     
 10966.1 67      4563     2.56912    2.57207    0.00294871  78       2097     
 11151.5 67      4600     2.56912    2.57207    0.00294871  97       2133     
 11198   68      4653     2.56913    2.57207    0.00294489  82       2140     
 11475.4 69      4745     2.56913    2.57207    0.00294286  93       2184     
 11495.4 69      4750     2.56913    2.57207    0.00294286  93       2188     
 11700.7 70      4835     2.56913    2.57207    0.00294094  97       2227     
 11771.3 70      4850     2.56913    2.57207    0.00294094  96       2240     
 11937.9 71      4923     2.56913    2.57207    0.00293877  89       2268     
 12092.1 71      4950     2.56913    2.57207    0.00293877  93       2294     
 12217.5 72      5015     2.56914    2.57207    0.00293636  88       2312     
 12399.8 72      5050     2.56914    2.57207    0.00293636  89       2345     
 12453.6 73      5103     2.56914    2.57207    0.00293405  88       2353     
 12712.6 74      5191     2.56914    2.57207    0.0029317   93       2396     
 12772.9 74      5200     2.56914    2.57207    0.0029317   91       2405     
 12991.2 75      5279     2.5692     2.57207    0.00287351  95       2439     
 13148.6 75      5300     2.5692     2.57207    0.00287351  103      2459     
 13304.3 76      5369     2.5692     2.57207    0.00286791  94       2482     
 13600   76      5400     2.5692     2.57207    0.00286791  96       2512     
 13733.6 77      5461     2.5692     2.57207    0.00286569  97       2526     
 14082.4 77      5500     2.5692     2.57207    0.00286569  108      2562     
 14138.2 78      5551     2.5692     2.57207    0.00286408  98       2567     
 14597   79      5643     2.56921    2.57207    0.00286208  94       2612     
 14680.9 79      5650     2.56921    2.57207    0.00286208  98       2619     
 15093.4 80      5733     2.56926    2.57207    0.00280627  98       2656     
 15254.8 80      5750     2.56926    2.57207    0.00280627  101      2670     
 15593.1 81      5827     2.56926    2.57207    0.0028041   98       2699     
 15836.1 81      5850     2.56926    2.57207    0.0028041   108      2719     
 16133.4 82      5921     2.56926    2.57207    0.002803    109      2742     
 16492.2 82      5950     2.56926    2.57207    0.002803    119      2770     
 16693.6 83      6017     2.56926    2.57207    0.00280209  109      2788     
 17108.8 83      6050     2.56926    2.57207    0.00280209  111      2820     
 17263.4 84      6109     2.56927    2.57207    0.00280031  109      2832     
 17763.7 84      6150     2.56927    2.57207    0.00280031  125      2870     
 17843.4 85      6203     2.56927    2.57207    0.00279844  106      2875     
 18388.2 86      6250     2.56927    2.57207    0.00279844  111      2920     
 18436.5 86      6300     2.56927    2.57207    0.00279748  108      2923     
 18955   87      6389     2.56927    2.57207    0.00279625  97       2965     
 19087.2 87      6400     2.56927    2.57207    0.00279625  101      2975     
 19524   88      6483     2.56927    2.57207    0.00279497  99       3010     
 19710.6 88      6500     2.56927    2.57207    0.00279497  111      3025     
 20099.7 89      6577     2.56927    2.57207    0.00279345  103      3054     
 20340.6 89      6600     2.56927    2.57207    0.00279345  109      3075     
 20625.2 90      6671     2.56927    2.57207    0.00279212  100      3098     
Writing policy file: tuna-150/3af76c50b16_90_20955.9.policy
Intermediate policy written(interval: 15000)
 20955.9 90      6700     2.56927    2.57207    0.00279212  117      3125     
 21160   91      6765     2.56928    2.57207    0.00279088  107      3142     
 21530.5 91      6800     2.56928    2.57207    0.00279088  124      3175     
 21651.5 92      6857     2.56928    2.57207    0.00278929  115      3185     
 22093.7 92      6900     2.56928    2.57207    0.00278929  107      3227     
 22117.5 93      6950     2.56928    2.57207    0.00278776  107      3229     
 22528.5 94      7041     2.56928    2.57207    0.0027864   111      3272     
 22575   94      7050     2.56928    2.57207    0.0027864   114      3277     
 22890.4 95      7133     2.56928    2.57207    0.00278514  103      3313     
 22956.2 95      7150     2.56928    2.57207    0.00278514  116      3322     
 23169.1 96      7223     2.56928    2.57207    0.00278397  112      3349     
 23346.7 96      7250     2.56928    2.57207    0.00278397  120      3374     
 23493   97      7315     2.56928    2.57207    0.0027819   107      3393     
 23671.7 97      7350     2.56928    2.57207    0.0027819   106      3428     
 23731.8 98      7405     2.56933    2.57206    0.00273124  99       3437     
 23960.5 98      7450     2.56933    2.57206    0.00273124  110      3480     
 23980.9 99      7501     2.56933    2.57206    0.00272935  99       3482     
 24194.9 100     7597     2.56934    2.57206    0.00272764  110      3525     
 24203   100     7600     2.56934    2.57206    0.00272764  111      3527     
 24407   101     7691     2.56934    2.57206    0.00272608  111      3570     
 24430   101     7700     2.56934    2.57206    0.00272608  118      3577     
 24590.2 102     7787     2.56934    2.57206    0.00272455  113      3615     
 24618.7 102     7800     2.56934    2.57206    0.00272455  107      3625     
 24750.2 103     7883     2.56934    2.57206    0.00272317  95       3659     
 24781.5 103     7900     2.56934    2.57206    0.00272317  104      3671     
 24885.8 104     7979     2.56934    2.57206    0.00272192  102      3701     
 24940.4 104     8000     2.56934    2.57206    0.00272192  107      3720     
 25035.4 105     8075     2.56934    2.57206    0.00272078  109      3746     
 25102.3 105     8100     2.56934    2.57206    0.00272078  109      3768     
 25183.6 106     8169     2.56934    2.57206    0.00271965  105      3789     
 25272   106     8200     2.56934    2.57206    0.00271965  100      3815     
 25338.5 107     8265     2.56934    2.57206    0.00271858  104      3831     
 25433   107     8300     2.56934    2.57206    0.00271858  113      3859     
 25484.9 108     8361     2.56935    2.57206    0.0027176   97       3871     
 25614.7 108     8400     2.56935    2.57206    0.0027176   111      3907     
 25647.7 109     8455     2.56935    2.57206    0.00271669  100      3914     
 25805.7 109     8500     2.56935    2.57206    0.00271669  110      3956     
 25815.3 110     8550     2.56935    2.57206    0.00271585  101      3957     
 25988.5 111     8643     2.56935    2.57206    0.00271501  105      3999     
 25991.4 111     8650     2.56935    2.57206    0.00271501  105      3999     
 26148   112     8739     2.56935    2.57206    0.00271414  103      4036     
 26180.8 112     8750     2.56935    2.57206    0.00271414  112      4044     
 26355.5 113     8835     2.56935    2.57206    0.00271358  111      4080     
 26403   113     8850     2.56935    2.57206    0.00271358  113      4094     
 26548.3 114     8929     2.56935    2.57206    0.00271091  105      4125     
 26595   114     8950     2.56935    2.57206    0.00271091  109      4138     
 26700.4 115     9023     2.56935    2.57206    0.00270973  100      4163     
 26794.3 115     9050     2.56935    2.57206    0.00270973  107      4187     
 26898   116     9119     2.56935    2.57206    0.00270882  100      4207     
 27012.1 116     9150     2.56935    2.57206    0.00270882  114      4235     
 27092.4 117     9213     2.56935    2.57206    0.00270793  100      4251     
 27245.2 117     9250     2.56935    2.57206    0.00270793  111      4288     
 27311.5 118     9311     2.56939    2.57206    0.00267189  111      4299     
 27484   118     9350     2.56939    2.57206    0.00267189  118      4337     
 27535.4 119     9407     2.56939    2.57206    0.00267088  96       4345     
 27702.5 119     9450     2.56939    2.57206    0.00267088  103      4380     
 27728.9 120     9503     2.56939    2.57206    0.00267024  100      4384     
 27938.5 120     9550     2.56939    2.57206    0.00267024  109      4427     
 27949.7 121     9601     2.56939    2.57206    0.00266959  97       4428     
 28141.2 122     9697     2.56939    2.57206    0.00266901  101      4466     
 28143.6 122     9700     2.56939    2.57206    0.00266901  101      4466     
 28388.3 123     9795     2.56939    2.57206    0.00266857  97       4511     
 28390.7 123     9800     2.56939    2.57206    0.00266857  100      4511     
 28627   124     9893     2.56939    2.57206    0.0026677   100      4553     
 28644.7 124     9900     2.56939    2.57206    0.0026677   104      4558     
 28854.7 125     9991     2.56939    2.57206    0.00266702  103      4599     
 28857.5 125     10000    2.56939    2.57206    0.00266702  106      4599     
 29035.1 126     10089    2.56939    2.57206    0.00266641  95       4637     
 29068.1 126     10100    2.56939    2.57206    0.00266641  101      4646     
 29237.8 127     10185    2.56939    2.57206    0.0026656   102      4682     
 29283.3 127     10200    2.56939    2.57206    0.0026656   103      4694     
 29474.3 128     10281    2.56939    2.57206    0.00266468  108      4726     
 29498   128     10300    2.56939    2.57206    0.00266468  121      4731     
 29657.4 129     10379    2.5694     2.57206    0.00266379  99       4760     
 29708.4 129     10400    2.5694     2.57206    0.00266379  108      4771     
 29867.5 130     10477    2.5694     2.57206    0.00266298  91       4798     
 29970.9 130     10500    2.5694     2.57206    0.00266298  108      4821     
 30102.9 131     10573    2.5694     2.57206    0.00266186  92       4845     
 30156   131     10600    2.5694     2.57206    0.00266186  107      4857     
 30257.8 132     10669    2.5694     2.57206    0.00266111  124      4877     
 30384.3 132     10700    2.5694     2.57206    0.00266111  136      4904     
 30482.6 133     10767    2.5694     2.57206    0.00266042  128      4921     
 30631.4 133     10800    2.5694     2.57206    0.00266042  121      4951     
 30722.1 134     10865    2.5694     2.57206    0.00265978  115      4966     
 30872.8 134     10900    2.5694     2.57206    0.00265978  122      5000     
 30938.8 135     10963    2.5694     2.57206    0.00265904  128      5013     
 31104.5 135     11000    2.5694     2.57206    0.00265904  121      5047     
 31163.5 136     11061    2.5694     2.57206    0.00265843  109      5058     
 31332.2 136     11100    2.5694     2.57206    0.00265843  124      5095     
 31379.6 137     11157    2.5694     2.57206    0.00265791  106      5103     
 31579.8 137     11200    2.5694     2.57206    0.00265791  106      5140     
 31603.8 138     11253    2.5694     2.57206    0.00265743  98       5144     
 31834.1 138     11300    2.5694     2.57206    0.00265743  101      5188     
 31840.4 139     11350    2.5694     2.57206    0.00265699  112      5188     
 32054.9 140     11447    2.5694     2.57206    0.00265659  106      5228     
 32058   140     11450    2.5694     2.57206    0.00265659  105      5228     
 32299.5 141     11541    2.5694     2.57206    0.00265625  108      5265     
 32328.9 141     11550    2.5694     2.57206    0.00265625  114      5270     
 32541.3 142     11635    2.5694     2.57206    0.00265593  99       5307     
 32577.4 142     11650    2.5694     2.57206    0.00265593  102      5312     
 32762.1 143     11733    2.5694     2.57206    0.00265565  103      5345     
 32796.7 143     11750    2.5694     2.57206    0.00265565  112      5351     
 32981.2 144     11829    2.5694     2.57206    0.00265539  109      5381     
 33035.1 144     11850    2.5694     2.57206    0.00265539  121      5390     
