
Loading the model ...
  input file   : /home/rstudio/pomdpplus/inst/notebook/tuna/2fe6d2cc3ab.pomdpx
  loading time : 0.67s 

SARSOP initializing ...
  initialization time : 114.97s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 114.97  0       0        0.677401   1.2694     0.591998    50       1        
 118.98  1       97       0.89933    1.25995    0.360617    112      49       
 119.36  1       100      0.89933    1.25995    0.360617    115      52       
 127.15  2       183      1.00932    1.2598     0.250482    25       91       
 131.07  2       200      1.00932    1.2598     0.250482    24       108      
 139.03  3       261      1.06343    1.25978    0.196354    18       129      
 164.9   4       329      1.09784    1.25969    0.161846    15       162      
 184.76  4       350      1.09784    1.25969    0.161846    16       183      
 209.63  5       400      1.12421    1.25967    0.135453    15       203      
 270.99  5       450      1.12421    1.25967    0.135453    43       253      
 296.66  6       549      1.14029    1.25965    0.119355    43       271      
 297.9   6       550      1.14029    1.25965    0.119355    44       272      
 353.06  7       625      1.15672    1.25957    0.102847    42       308      
 395.29  7       650      1.15672    1.25957    0.102847    44       333      
 425.34  8       700      1.16388    1.25957    0.0956927   52       349      
 469.6   9       750      1.17145    1.25947    0.0880218   49       371      
 520.2   10      803      1.18417    1.25875    0.0745875   48       395      
 589.23  11      871      1.18752    1.25875    0.0712317   50       428      
 653.3   11      900      1.18752    1.25875    0.0712317   40       457      
 779.41  12      950      1.18752    1.25875    0.0712317   71       506      
 780.61  12      1029     1.19347    1.25875    0.0652751   60       506      
 837.54  12      1050     1.19347    1.25875    0.0652751   60       527      
 880.06  13      1107     1.19697    1.25874    0.0617676   61       544      
 962.29  14      1179     1.19947    1.25874    0.0592702   57       579      
 1024.63 14      1200     1.19947    1.25874    0.0592702   61       600      
 1073.47 15      1250     1.20093    1.25873    0.057806    65       616      
 1156.36 16      1307     1.20271    1.25872    0.0560063   59       641      
 1247.91 17      1367     1.20465    1.25871    0.0540611   59       670      
 1350.23 18      1427     1.20556    1.2587     0.0531381   62       700      
 1436.9  18      1450     1.20556    1.2587     0.0531381   64       723      
 1508.84 19      1500     1.21148    1.25849    0.0470117   61       743      
 1594.92 20      1561     1.21212    1.25849    0.0463683   58       765      
 1738.55 21      1637     1.21271    1.25849    0.045779    57       801      
 1790.14 21      1650     1.21271    1.25849    0.045779    66       814      
 1890.73 22      1709     1.21327    1.25849    0.0452187   64       837      
 2041.09 22      1750     1.21327    1.25849    0.0452187   74       878      
 2257.28 22      1800     1.21327    1.25849    0.0452187   83       928      
 2324.75 23      1923     1.21627    1.25842    0.0421537   82       943      
 2325.18 23      1924     1.21627    1.25842    0.0421537   83       943      
 2436.86 23      1950     1.21627    1.25842    0.0421537   85       968      
 2508.15 24      2009     1.21665    1.25842    0.0417778   82       983      
 2701.03 24      2050     1.21665    1.25842    0.0417778   87       1024     
 2728.83 25      2100     1.21716    1.25842    0.0412631   87       1030     
 2893.54 26      2173     1.21747    1.25842    0.0409535   85       1062     
 3024.92 26      2200     1.21747    1.25842    0.0409535   84       1088     
 3087.46 27      2255     1.21778    1.25842    0.0406391   82       1101     
 3261.88 28      2333     1.21822    1.25841    0.0401872   82       1139     
 3336.76 28      2350     1.21822    1.25841    0.0401872   81       1156     
