
Loading the model ...
  input file   : /home/rstudio/pomdpplus/inst/notebook/tuna/3016d2cc3ab.pomdpx
  loading time : 0.64s 

SARSOP initializing ...
  initialization time : 115.21s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 115.21  0       0        3.26765    4.74459    1.47694     50       1        
 116.23  3       59       4.42948    4.71876    0.289275    106      30       
 118.07  4       113      4.46566    4.71868    0.253018    152      56       
 120.6   5       153      4.49745    4.7186     0.221152    186      75       
 126.14  6       200      4.52218    4.71853    0.196357    144      104      
 131.2   7       250      4.55236    4.71853    0.166172    108      131      
 136.84  9       321      4.5862     4.71847    0.132271    59       156      
 143.65  10      350      4.5862     4.71847    0.132271    57       184      
 149.45  11      400      4.59788    4.71846    0.120583    51       204      
 155.17  12      455      4.61256    4.71618    0.103622    44       221      
 164.7   13      511      4.61682    4.71618    0.0993605   54       248      
 174.73  14      565      4.62236    4.71608    0.0937232   53       273      
 187.59  15      619      4.62588    4.71607    0.0901954   47       300      
 195.11  16      673      4.63724    4.71607    0.0788327   55       326      
 205.35  17      700      4.63724    4.71607    0.0788327   55       352      
 215.83  17      750      4.63863    4.71601    0.0773782   53       375      
 226.52  19      815      4.64158    4.716      0.0744211   46       393      
 238.53  20      853      4.64205    4.71594    0.0738901   46       411      
 257.52  21      900      4.64384    4.71594    0.0721019   57       439      
 279.34  23      963      4.64491    4.71593    0.0710159   42       463      
 305.77  24      1009     4.64768    4.71593    0.0682486   46       485      
 339.51  25      1061     4.65408    4.71547    0.0613948   52       510      
 386.35  26      1121     4.65433    4.71547    0.0611365   51       538      
 435.64  26      1150     4.65433    4.71547    0.0611365   64       566      
 468.92  27      1200     4.65544    4.71547    0.0600321   61       582      
 506.1   28      1250     4.65568    4.71547    0.0597857   57       599      
 571.06  29      1311     4.65906    4.71546    0.0564      52       626      
 626.76  30      1359     4.65956    4.71546    0.0559004   57       648      
 708.58  31      1425     4.66003    4.71546    0.0554226   62       679      
 770.68  31      1450     4.66003    4.71546    0.0554226   64       704      
 828.66  32      1500     4.66029    4.71545    0.0551599   64       725      
