
Loading the model ...
  input file   : /home/rstudio/pomdpplus/inst/notebook/tuna/30c6d2cc3ab.pomdpx
  loading time : 0.60s 

SARSOP initializing ...
  initialization time : 107.47s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 107.47  0       0        2.03648    2.60508    0.5686      50       1        
 108.66  2       50       2.30077    2.58715    0.28638     95       44       
 111.6   3       173      2.33915    2.58708    0.247929    218      86       
 111.72  3       174      2.33915    2.58708    0.247929    219      87       
 114.21  5       209      2.40445    2.58642    0.181976    155      102      
 117.47  7       257      2.42147    2.58633    0.164859    183      123      
 122.48  9       315      2.44532    2.58624    0.140923    225      149      
 127.03  10      353      2.44795    2.58619    0.138244    259      167      
 135.83  10      400      2.44795    2.58619    0.138244    285      214      
 150.2   11      537      2.46336    2.58617    0.122816    324      258      
 150.52  11      538      2.46336    2.58617    0.122816    324      258      
 154.44  11      550      2.46336    2.58617    0.122816    332      270      
 164.1   12      600      2.46627    2.58614    0.119875    376      295      
 177.32  13      650      2.46843    2.58611    0.117685    413      322      
 200.54  14      753      2.47386    2.58611    0.112251    443      360      
 201.39  14      754      2.47386    2.58611    0.112251    443      360      
 224.96  15      821      2.47441    2.58611    0.111691    485      392      
 243.87  16      867      2.4753     2.5861     0.110801    501      413      
 273.26  17      927      2.47777    2.5861     0.108331    531      441      
 297.7   17      950      2.47777    2.5861     0.108331    545      463      
 325.14  18      1000     2.47999    2.5861     0.106105    575      480      
 370.96  19      1077     2.48347    2.58609    0.10262     510      512      
 397.11  19      1100     2.48347    2.58609    0.10262     519      534      
 425.48  20      1150     2.48409    2.58608    0.101989    533      554      
 462.64  21      1200     2.4858     2.58607    0.100279    554      579      
 505.4   22      1269     2.48833    2.58607    0.0977443   578      602      
 547.81  23      1300     2.48833    2.58607    0.0977443   606      631      
 588.3   23      1350     2.49093    2.58603    0.0951038   642      649      
 639.91  24      1400     2.49225    2.586      0.0937459   667      672      
 687.37  25      1450     2.49289    2.586      0.0931029   717      694      
 736.56  26      1500     2.49404    2.58599    0.091953    706      709      
 803.57  27      1569     2.49608    2.58599    0.0899147   775      742      
 875.25  28      1621     2.49685    2.58598    0.0891298   778      766      
 938.58  29      1673     2.49818    2.58598    0.0878006   830      790      
 1019.14 30      1725     2.49819    2.58598    0.0877952   817      814      
 1069.51 31      1750     2.49819    2.58598    0.0877952   842      836      
 1140.22 32      1823     2.49823    2.58598    0.0877521   910      857      
 1224.28 32      1850     2.49823    2.58598    0.0877521   870      882      
 1272.61 33      1900     2.49856    2.58598    0.0874173   920      896      
 1343.53 34      1950     2.49864    2.58598    0.0873331   964      921      
 1431.87 35      2000     2.49869    2.58598    0.0872874   897      939      
 1543.44 35      2050     2.49869    2.58598    0.0872874   947      989      
 1572.14 36      2109     2.50012    2.58597    0.0858473   945      989      
 1637.11 37      2157     2.50018    2.58597    0.0857809   993      1011     
 1730.78 38      2207     2.50039    2.58596    0.0855746   842      1034     
 1821.03 39      2273     2.50106    2.58595    0.0848871   908      1065     
 1887.45 40      2321     2.50199    2.58595    0.0839527   895      1087     
 1985.51 40      2350     2.50199    2.58595    0.0839527   814      1115     
 2033.54 41      2400     2.50287    2.58593    0.0830636   864      1127     
 2119.88 42      2459     2.50329    2.58593    0.0826449   847      1151     
 2267.87 43      2527     2.50347    2.58593    0.0824642   829      1182     
 2338.62 43      2550     2.50347    2.58593    0.0824642   852      1203     
 2436.21 44      2600     2.50392    2.58593    0.0820141   853      1219     
 2534.81 45      2650     2.50394    2.58593    0.0819867   903      1244     
 2603.25 46      2700     2.50408    2.58593    0.0818451   899      1260     
 2745.82 47      2763     2.50463    2.58593    0.0813022   901      1289     
 2857.56 48      2809     2.50467    2.58593    0.0812548   947      1309     
 2996.86 49      2855     2.50479    2.58593    0.0811374   934      1329     
 3117.4  50      2915     2.50501    2.58593    0.0809226   994      1357     
 3242.06 51      2961     2.50512    2.58593    0.0808053   1028     1377     
 3411.13 52      3005     2.50584    2.58593    0.080092    1034     1396     
 3562.85 53      3067     2.50601    2.58593    0.0799117   1096     1424     
 3663.42 54      3115     2.50606    2.58593    0.0798605   1026     1445     
 3799.92 55      3159     2.50626    2.58592    0.0796655   993      1465     
 3901.48 56      3205     2.50657    2.58592    0.0793482   1039     1486     
 4009.2  57      3250     2.50658    2.58592    0.0793342   1084     1505     
 4215.76 58      3300     2.50659    2.58592    0.079326    1012     1528     
 4329.7  59      3350     2.5066     2.58592    0.0793128   1062     1553     
 4452.26 60      3400     2.50663    2.58589    0.0792607   1112     1579     
 4684.05 61      3450     2.50663    2.58589    0.0792557   1063     1605     
 4824.84 62      3500     2.50702    2.58589    0.0788674   1113     1622     
 4986.1  63      3550     2.50705    2.58589    0.0788396   1163     1647     
Writing policy file: tuna/30c6d2cc3ab_65_5151.42.policy
Intermediate policy written(interval: 5000)
 5151.42 65      3619     2.5071     2.58588    0.0787835   1209     1668     
 5342.43 66      3663     2.50711    2.58588    0.0787784   1172     1687     
 5446.51 67      3705     2.50711    2.58588    0.0787769   1214     1705     
 5737.22 67      3750     2.50711    2.58588    0.0787769   1259     1748     
 5842.9  68      3825     2.50803    2.58588    0.0778544   1295     1762     
 6038.15 68      3850     2.50803    2.58588    0.0778544   1282     1786     
 6153.02 69      3900     2.50803    2.58588    0.0778543   1332     1806     
 6297.89 71      3971     2.50818    2.58588    0.0776982   1403     1829     
 6438.81 71      4000     2.50818    2.58588    0.0776982   1412     1856     
 6656.1  72      4050     2.50823    2.58588    0.0776531   1383     1873     
 6826.28 74      4121     2.5085     2.58588    0.0773761   1454     1896     
 6973.44 74      4150     2.5085     2.58588    0.0773761   1483     1923     
 7214.69 75      4200     2.509      2.58587    0.0768768   1450     1939     
 7420.69 76      4250     2.50915    2.58587    0.0767256   1500     1960     
 7641.69 77      4300     2.50932    2.58587    0.0765508   1550     1984     
 7965.12 78      4350     2.50933    2.58587    0.0765459   1502     2009     
 8106.64 79      4400     2.50947    2.58587    0.0764024   1552     2025     
 8253.99 80      4457     2.50967    2.58587    0.0762013   1609     2046     
 8420.96 81      4503     2.50969    2.58587    0.0761837   1635     2066     
 8565.29 82      4550     2.50974    2.58584    0.0760978   1682     2086     
 8849.73 83      4600     2.51022    2.58584    0.075613    1640     2113     
 9080.36 84      4650     2.51168    2.58567    0.0739907   1690     2138     
 9265.32 85      4700     2.51199    2.58566    0.0736773   1740     2161     
 9436.31 86      4751     2.5121     2.58566    0.0735589   1791     2179     
 9830.85 87      4819     2.5121     2.58566    0.0735585   1736     2210     
 10119.8 87      4850     2.5121     2.58566    0.0735585   1767     2239     
Writing policy file: tuna/30c6d2cc3ab_88_10310.policy
Intermediate policy written(interval: 5000)
 10310   88      4900     2.51211    2.58566    0.0735568   1817     2252     
 10523   89      4955     2.51233    2.58566    0.0733277   1872     2272     
 10888.1 90      5003     2.51236    2.58566    0.0732964   1834     2294     
 11156.4 91      5051     2.51236    2.58566    0.0732954   1882     2315     
 11440.1 92      5105     2.51236    2.58566    0.0732951   1936     2339     
 11697.5 93      5153     2.51237    2.58566    0.0732929   1984     2360     
 12103.5 94      5201     2.51237    2.58566    0.0732901   1943     2381     
 12412.6 95      5251     2.51237    2.58566    0.0732891   1993     2403     
 12705.9 96      5300     2.51237    2.58566    0.0732876   2042     2425     
 13279.2 97      5367     2.51237    2.58566    0.073287    2032     2456     
 13565.3 98      5413     2.51237    2.58566    0.0732867   2078     2476     
 13944.4 99      5477     2.5124     2.58566    0.0732553   2142     2506     
 14214.9 99      5500     2.5124     2.58566    0.0732553   2165     2527     
 14420.2 100     5550     2.51252    2.58566    0.0731327   2215     2540     
 14923.2 101     5603     2.51257    2.58566    0.0730879   2137     2563     
Writing policy file: tuna/30c6d2cc3ab_102_15388.9.policy
Intermediate policy written(interval: 5000)
 15388.9 102     5671     2.51259    2.58566    0.0730676   2205     2594     
 15707.2 103     5717     2.51261    2.58566    0.0730458   2251     2614     
 16029.8 104     5765     2.51263    2.58566    0.0730266   2299     2635     
 16547.9 105     5813     2.51264    2.58566    0.0730208   2248     2656     
 16838.7 106     5859     2.51264    2.58566    0.0730182   2294     2676     
 17070.2 107     5905     2.51264    2.58566    0.0730174   2340     2696     
 17295.5 108     5951     2.51264    2.58566    0.0730149   2386     2716     
 17525.6 109     6000     2.51264    2.58566    0.0730127   2435     2737     
 17747   110     6050     2.51265    2.58566    0.0730097   2464     2761     
 18084   110     6100     2.51265    2.58566    0.0730097   2344     2811     
 18120.7 111     6167     2.5133     2.58565    0.0723505   2411     2815     
 18286.3 112     6213     2.5133     2.58565    0.0723435   2457     2835     
 18488.7 113     6259     2.51331    2.58565    0.0723427   2301     2855     
 18727.8 114     6325     2.51331    2.58565    0.0723338   2367     2885     
 18945.8 114     6350     2.51331    2.58565    0.0723338   2261     2908     
 19073.1 115     6400     2.51351    2.58565    0.0721388   2311     2922     
 19308.7 116     6450     2.51358    2.58565    0.07207     2178     2946     
 19459.9 117     6500     2.5136     2.58565    0.0720521   2228     2963     
 19778.1 118     6567     2.51369    2.58565    0.0719563   2221     2994     
 19995.8 119     6613     2.51373    2.58564    0.0719132   2194     3014     
 20176.2 120     6659     2.51374    2.58564    0.0719075   2240     3035     
Writing policy file: tuna/30c6d2cc3ab_121_20417.5.policy
Intermediate policy written(interval: 5000)
 20417.5 121     6705     2.51375    2.58564    0.0718945   2220     3055     
