
Loading the model ...
  input file   : /home/rstudio/pomdpplus/inst/notebook/tuna/30e29c2d3ef.pomdpx
  loading time : 0.59s 

SARSOP initializing ...
  initialization time : 126.75s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 126.75  0       0        3.65407    4.93336    1.27929     50       1        
 127.23  2       50       4.54248    4.91032    0.367839    97       46       
 128.08  2       100      4.54248    4.91032    0.367839    147      96       
 130.2   3       255      4.60062    4.91027    0.309641    302      129      
 130.33  3       256      4.60062    4.91027    0.309641    303      130      
 130.44  3       257      4.60062    4.91027    0.309641    304      131      
 132.13  5       300      4.71888    4.9094     0.190527    347      162      
 134.78  5       350      4.71888    4.9094     0.190527    242      212      
 138.57  6       497      4.73003    4.9094     0.179376    238      249      
 138.74  6       498      4.73003    4.9094     0.179376    239      250      
 139     6       500      4.73003    4.9094     0.179376    241      252      
 141.98  8       550      4.76294    4.90875    0.145809    274      279      
 145.76  9       600      4.78796    4.90875    0.120786    310      310      
 150.79  10      650      4.79979    4.90873    0.108938    347      336      
 155.34  11      700      4.81892    4.90856    0.0896403   381      355      
 161.82  12      763      4.82591    4.90853    0.0826237   402      378      
 165.83  12      800      4.82591    4.90853    0.0826237   271      412      
 169     12      850      4.82591    4.90853    0.0826237   317      440      
 177.12  13      991      4.82929    4.90849    0.0792078   355      466      
 177.44  13      992      4.82929    4.90849    0.0792078   356      467      
 179.1   13      1000     4.82929    4.90849    0.0792078   353      475      
 184.58  14      1050     4.83045    4.90849    0.0780382   351      496      
 192.18  15      1100     4.83201    4.90848    0.0764692   366      523      
 201.31  16      1150     4.83606    4.90848    0.0724169   392      551      
 211.4   17      1200     4.83731    4.90846    0.0711526   415      576      
 219.55  18      1250     4.84599    4.90818    0.0621948   417      593      
 234.61  19      1323     4.84742    4.90818    0.0607537   436      627      
 245.81  19      1350     4.84742    4.90818    0.0607537   443      654      
 255.82  20      1400     4.84894    4.90818    0.0592321   444      668      
 270.29  21      1450     4.84987    4.90817    0.0582984   431      694      
 283.89  22      1500     4.85051    4.90817    0.0576566   441      716      
 298.12  23      1550     4.85446    4.90817    0.0537029   462      741      
 312.46  24      1600     4.85523    4.90816    0.0529307   500      763      
 329.65  25      1650     4.85606    4.90816    0.0521004   529      786      
 355.05  26      1717     4.8573     4.90815    0.0508537   557      816      
 367.72  26      1750     4.8573     4.90815    0.0508537   467      842      
 385.94  26      1800     4.8573     4.90815    0.0508537   504      885      
 406.24  27      1913     4.85796    4.90813    0.0501691   562      897      
