
Loading the model ...
  input file   : /home/rstudio/pomdpplus/inst/notebook/tuna/31129c2d3ef.pomdpx
  loading time : 0.56s 

SARSOP initializing ...
  initialization time : 120.72s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 120.72  0       0        2.1387     2.69579    0.557089    50       1        
 121.62  5       50       2.56017    2.68072    0.120553    96       24       
 122.88  7       100      2.58107    2.68063    0.0995621   146      51       
 124.11  9       150      2.59146    2.68061    0.0891481   196      70       
 126.34  11      219      2.60279    2.68056    0.0777756   265      101      
 128.5   12      257      2.60534    2.68055    0.0752031   253      120      
 131.49  13      300      2.61569    2.68028    0.0645992   280      145      
 134.69  14      350      2.61643    2.68028    0.0638548   296      172      
 137.76  15      400      2.61751    2.68028    0.062768    282      194      
 141.94  16      450      2.61773    2.68027    0.0625437   320      221      
 146.58  17      500      2.61799    2.68027    0.0622748   353      246      
 151.92  18      550      2.61854    2.68025    0.061712    236      273      
 155.86  19      600      2.61929    2.68025    0.0609605   193      293      
 160.57  21      667      2.62018    2.68025    0.060065    192      315      
 165.99  22      713      2.62099    2.68024    0.0592555   155      337      
 171.56  23      769      2.6221     2.68024    0.05814     165      363      
 176.2   24      821      2.62233    2.68023    0.0579088   173      387      
 182.77  25      873      2.62302    2.68023    0.0572062   154      412      
 189.39  26      925      2.6236     2.68023    0.0566293   165      437      
 195.71  26      950      2.6236     2.68023    0.0566293   167      461      
 201.67  27      1000     2.62374    2.68022    0.0564895   168      482      
 208.77  28      1050     2.62405    2.68022    0.0561665   159      505      
 215.43  29      1100     2.62474    2.68022    0.0554809   150      524      
 221.01  30      1150     2.62502    2.68022    0.0551932   151      541      
 231.79  31      1203     2.62562    2.68022    0.0545906   155      566      
 244.72  32      1271     2.6264     2.68021    0.0538105   159      598      
 255.61  33      1300     2.6264     2.68021    0.0538105   163      625      
 266.33  33      1350     2.62676    2.68021    0.0534587   160      645      
 274.64  34      1400     2.62712    2.68021    0.0530883   176      662      
 284.41  35      1453     2.62736    2.68021    0.0528448   178      683      
 297.75  36      1505     2.62757    2.6802     0.0526313   171      707      
 312.01  37      1557     2.62776    2.6802     0.0524392   168      732      
 330.48  38      1625     2.62788    2.6802     0.0523154   165      764      
 345.27  38      1650     2.62788    2.6802     0.0523154   164      788      
 359.51  39      1700     2.6283     2.6802     0.0518967   181      810      
 374.98  40      1750     2.62854    2.6802     0.0516596   158      833      
 390.29  41      1800     2.62881    2.68019    0.0513823   151      857      
 402.8   42      1850     2.62902    2.68016    0.051137    141      875      
 414.21  43      1901     2.62986    2.68016    0.0502976   156      893      
 434.46  44      1959     2.62995    2.68015    0.0502032   154      921      
 452.49  45      2011     2.63002    2.68015    0.0501283   149      945      
 470.17  46      2061     2.6302     2.68015    0.0499498   144      968      
 490.55  47      2117     2.63021    2.68015    0.0499328   158      994      
 511     48      2169     2.63024    2.68015    0.0499067   150      1018     
 531.45  49      2221     2.63111    2.68013    0.0490294   155      1043     
 553.19  50      2273     2.63122    2.68013    0.048918    167      1067     
 575.73  50      2300     2.63122    2.68013    0.048918    150      1093     
 595.12  51      2350     2.63128    2.68013    0.0488546   144      1113     
 612.54  52      2400     2.63143    2.68013    0.0487084   147      1131     
 633.24  53      2450     2.6315     2.68013    0.0486351   166      1152     
 655.08  54      2500     2.63169    2.68013    0.0484391   184      1175     
 680.97  55      2561     2.63263    2.68012    0.0474929   195      1201     
 709.02  56      2627     2.63305    2.68012    0.0470701   202      1232     
 730.82  56      2650     2.63305    2.68012    0.0470701   208      1254     
 743.29  57      2701     2.63309    2.68011    0.0470215   215      1267     
 771.12  58      2763     2.63321    2.6801     0.0468947   205      1295     
 805.32  59      2800     2.63321    2.6801     0.0468947   213      1330     
 820.87  59      2850     2.63322    2.6801     0.0468816   213      1342     
 841.59  60      2900     2.63326    2.6801     0.046837    212      1360     
 866.97  61      2953     2.63331    2.6801     0.0467871   213      1383     
 897.41  62      3009     2.63344    2.6801     0.0466559   213      1409     
 926.42  63      3063     2.63351    2.68009    0.0465826   210      1433     
 957.11  64      3117     2.63353    2.68009    0.0465661   218      1458     
 990.54  65      3177     2.6336     2.68009    0.0464901   210      1486     
 1016.93 65      3200     2.6336     2.68009    0.0464901   212      1508     
 1043.29 66      3250     2.63384    2.68009    0.0462531   203      1528     
 1059.21 67      3301     2.63385    2.68009    0.0462418   214      1543     
 1091.45 68      3355     2.63396    2.68009    0.0461361   196      1567     
 1125.78 69      3409     2.63396    2.68009    0.0461326   195      1592     
 1158.58 70      3461     2.63396    2.68009    0.046132    200      1616     
 1194.02 71      3519     2.63398    2.68009    0.0461078   202      1642     
 1232.45 71      3550     2.63398    2.68009    0.0461078   205      1671     
 1257.04 72      3600     2.634      2.68009    0.0460843   193      1686     
 1294.37 73      3650     2.63408    2.68005    0.0459758   199      1710     
 1349.12 74      3759     2.63538    2.68005    0.0446685   223      1756     
 1349.93 74      3760     2.63538    2.68005    0.0446685   223      1756     
 1387.58 75      3815     2.6354     2.68005    0.044647    239      1781     
 1430.31 76      3850     2.6354     2.68005    0.044647    251      1814     
 1454.83 76      3900     2.6354     2.68004    0.0446404   265      1828     
 1485.37 77      3950     2.63542    2.68004    0.0446127   261      1848     
 1514.34 78      4000     2.63543    2.68004    0.0446085   245      1867     
 1554.78 79      4053     2.63543    2.68003    0.0446      236      1892     
 1607.27 80      4123     2.63545    2.68003    0.0445886   249      1925     
 1649.41 81      4150     2.63545    2.68003    0.0445886   242      1950     
 1688.13 81      4200     2.63546    2.68003    0.0445782   257      1972     
 1707.2  82      4250     2.63549    2.68003    0.0445388   255      1984     
 1755.31 83      4307     2.63551    2.68003    0.0445279   254      2011     
 1801.09 84      4359     2.63551    2.68003    0.0445231   253      2035     
 1845.09 85      4411     2.63553    2.68001    0.0444844   234      2059     
 1896.67 86      4463     2.63563    2.67998    0.0443549   254      2083     
 1941.6  87      4515     2.63563    2.67998    0.0443506   254      2107     
 2001.26 88      4581     2.63649    2.67997    0.0434787   262      2139     
 2039.11 88      4600     2.63649    2.67997    0.0434787   258      2157     
 2076.55 89      4650     2.6365     2.67997    0.0434708   251      2176     
 2113.74 90      4707     2.63663    2.67994    0.0433146   252      2198     
 2166.54 91      4763     2.63666    2.67994    0.0432788   257      2224     
 2222.23 92      4817     2.63679    2.67994    0.0431539   246      2250     
 2279.84 93      4873     2.6368     2.67994    0.0431449   250      2276     
 2333.55 93      4900     2.6368     2.67994    0.0431449   234      2302     
 2355.59 94      4950     2.6368     2.67994    0.043139    254      2313     
 2403.2  95      5000     2.63681    2.67994    0.0431364   267      2334     
 2457.27 96      5051     2.63681    2.67994    0.0431364   280      2358     
 2511.53 97      5105     2.63682    2.67994    0.0431211   278      2382     
 2575.24 98      5159     2.63682    2.67994    0.0431185   289      2406     
 2645.18 99      5215     2.63685    2.67994    0.043089    278      2431     
 2705.11 100     5267     2.63691    2.67993    0.0430256   277      2455     
 2777.57 100     5300     2.63691    2.67993    0.0430256   274      2486     
 2824.34 101     5350     2.63695    2.67993    0.0429835   290      2500     
 2883.74 102     5400     2.63698    2.67993    0.04295     308      2521     
 2940.93 103     5450     2.63698    2.67993    0.0429494   319      2542     
 2995.12 104     5500     2.63698    2.67993    0.0429491   319      2564     
 3041.63 105     5550     2.63699    2.67993    0.0429375   309      2584     
 3108.03 106     5611     2.63701    2.67993    0.0429192   312      2612     
 3187.83 107     5679     2.63704    2.67992    0.0428835   319      2644     
 3252.77 107     5700     2.63704    2.67992    0.0428835   316      2665     
 3316.03 108     5750     2.63712    2.67992    0.0427997   328      2685     
 3383.13 109     5800     2.63712    2.67992    0.0427981   332      2707     
 3452.36 110     5850     2.63712    2.67991    0.0427918   333      2728     
 3522.03 111     5900     2.63712    2.67991    0.0427904   334      2749     
 3576.52 112     5950     2.63712    2.67991    0.04279     327      2767     
 3641.95 113     6001     2.63712    2.67991    0.0427899   335      2790     
 3713.58 114     6051     2.63713    2.67991    0.0427885   324      2813     
 3790.75 115     6109     2.63715    2.67991    0.042762    330      2839     
 3879.49 116     6175     2.63715    2.67991    0.0427613   323      2869     
 3949.84 116     6200     2.63715    2.67991    0.0427613   303      2892     
 3995.17 117     6250     2.63724    2.67991    0.042672    305      2906     
 4064.99 118     6300     2.63727    2.67991    0.0426377   322      2927     
 4133.44 119     6350     2.63731    2.67991    0.0426011   340      2948     
 4205.3  120     6400     2.63734    2.67991    0.0425712   329      2970     
 4277.04 121     6450     2.63744    2.67991    0.042472    323      2992     
 4359.34 122     6507     2.63782    2.6799     0.0420858   333      3018     
 4448.21 123     6559     2.63784    2.6799     0.0420572   330      3042     
 4527.57 124     6611     2.63808    2.6799     0.0418239   327      3065     
 4613.5  125     6663     2.63812    2.6799     0.0417732   314      3089     
 4710.39 126     6727     2.63827    2.67989    0.0416247   304      3119     
 4785.57 126     6750     2.63827    2.67989    0.0416247   299      3140     
 4861.59 127     6800     2.63829    2.67989    0.0416009   307      3161     
