
Loading the model ...
  input file   : /home/rstudio/pomdpplus/inst/notebook/tuna/33f6e194755.pomdpx
  loading time : 16.17s 

SARSOP initializing ...
  initialization time : 4080.16s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4080.16 0       0        0.608666   0.807981   0.199315    150      1        
 4084.24 1       50       0.704533   0.80277    0.0982376   178      35       
 4086.67 3       105      0.732227   0.802768   0.0705413   189      53       
 4089.59 4       177      0.742329   0.802768   0.0604398   117      89       
 4091.15 5       200      0.762901   0.802766   0.0398655   110      99       
 4094.69 6       251      0.767881   0.802766   0.0348853   116      123      
 4100.2  8       315      0.779989   0.802765   0.0227762   83       151      
 4103.95 9       350      0.785254   0.802762   0.0175078   59       175      
 4106.93 9       400      0.785254   0.802762   0.0175078   78       225      
 4107.29 10      465      0.787094   0.802761   0.0156671   68       225      
 4111.74 11      513      0.78793    0.802761   0.0148314   49       249      
 4117.39 12      550      0.791202   0.80276    0.0115582   44       276      
 4122.09 14      607      0.794148   0.802758   0.00861085  45       295      
 4127.42 15      650      0.795569   0.802754   0.00718498  36       326      
 4133.51 17      717      0.797401   0.802753   0.00535156  46       349      
 4139.33 18      757      0.797657   0.802752   0.00509521  40       369      
 4144.24 19      800      0.798533   0.802751   0.00421799  25       401      
 4148.65 19      850      0.798533   0.802751   0.00421799  45       451      
 4151.68 20      967      0.798947   0.802747   0.00379994  69       474      
 4152.18 20      968      0.798947   0.802747   0.00379994  69       475      
 4158.44 21      1019     0.799496   0.802747   0.00325049  66       499      
 4164.39 22      1063     0.799636   0.802746   0.00311017  66       518      
 4171.97 23      1100     0.800037   0.802745   0.00270782  62       541      
 4181.08 25      1161     0.800612   0.802741   0.00212973  62       566      
 4188.18 26      1201     0.800669   0.802741   0.00207245  64       586      
 4200.5  28      1263     0.801007   0.802738   0.00173112  61       617      
 4204.99 28      1300     0.801007   0.802738   0.00173112  74       654      
 4211.4  28      1350     0.801007   0.802738   0.00173112  73       704      
 4220.88 29      1535     0.801026   0.802732   0.00170547  90       753      
 4221.93 29      1536     0.801026   0.802732   0.00170547  91       754      
 4222.75 29      1537     0.801026   0.802732   0.00170547  91       755      
 4228.38 29      1550     0.801026   0.802732   0.00170547  90       768      
 4239.45 31      1611     0.801261   0.80273    0.00146856  91       790      
 4248.24 32      1651     0.801296   0.80273    0.0014335   92       809      
 4256.46 32      1700     0.801296   0.80273    0.0014335   121      858      
 4266.04 32      1750     0.801296   0.80273    0.0014335   142      908      
 4269.98 33      1865     0.801411   0.80273    0.00131897  127      916      
 4270.89 33      1866     0.801411   0.80273    0.00131897  127      917      
 4282.32 34      1913     0.801492   0.802729   0.00123674  122      940      
 4294.03 35      1961     0.801571   0.802727   0.00115572  122      964      
 4301.26 35      2000     0.801571   0.802727   0.00115572  125      1003     
 4311.33 35      2050     0.801571   0.802727   0.00115572  125      1053     
 4322.22 35      2100     0.801571   0.802727   0.00115572  123      1103     
 4328.01 36      2261     0.801577   0.802725   0.00114879  139      1114     
 4329.2  36      2262     0.801577   0.802725   0.00114879  139      1115     
 4330.11 36      2263     0.801577   0.802725   0.00114879  140      1116     
 4340.54 37      2311     0.801652   0.802724   0.00107224  135      1138     
 4353.28 38      2361     0.801667   0.802724   0.00105736  136      1163     
 4365.1  39      2403     0.801726   0.802723   0.000997294 132      1184     
 4377.75 40      2451     0.801765   0.802723   0.000957718 131      1207     
 4381.56 40      2500     0.801765   0.802723   0.000957718 133      1234     
 4388.26 40      2550     0.801765   0.802723   0.000957718 133      1284     
 4396    40      2600     0.801765   0.802723   0.000957718 131      1334     
 4398.98 41      2761     0.801767   0.802722   0.000955222 143      1339     
 4399.45 41      2762     0.801767   0.802722   0.000955222 144      1340     
 4399.98 41      2763     0.801767   0.802722   0.000955222 145      1341     
 4404.92 41      2800     0.801767   0.802722   0.000955222 137      1378     
 4412.31 41      2850     0.801767   0.802722   0.000955222 149      1428     
 4420.53 41      2900     0.801767   0.802722   0.000955222 166      1478     
 4427.37 42      3071     0.801769   0.802721   0.000952934 149      1494     
 4428.83 42      3072     0.801769   0.802721   0.000952934 149      1495     
 4429.84 42      3073     0.801769   0.802721   0.000952934 150      1496     
 4440.83 43      3119     0.801812   0.802721   0.000908205 148      1517     
 4441.59 43      3150     0.801812   0.802721   0.000908205 140      1517     
 4448.93 43      3200     0.801812   0.802721   0.000908205 152      1564     
 4457.56 43      3250     0.801812   0.802721   0.000908205 165      1614     
 4464.95 44      3437     0.801814   0.80272    0.000906188 156      1641     
 4465.45 44      3438     0.801814   0.80272    0.000906188 156      1641     
 4466.02 44      3439     0.801814   0.80272    0.000906188 156      1642     
 4467.98 44      3450     0.801814   0.80272    0.000906188 158      1653     
 4475.65 44      3500     0.801814   0.80272    0.000906188 138      1703     
 4484.22 44      3550     0.801814   0.80272    0.000906188 139      1753     
 4493.63 45      3747     0.801816   0.80272    0.000903967 139      1793     
 4494.12 45      3748     0.801816   0.80272    0.000903967 140      1793     
 4494.6  45      3749     0.801816   0.80272    0.000903967 137      1793     
 4495.08 45      3750     0.801816   0.80272    0.000903967 137      1793     
 4499.38 45      3800     0.801816   0.80272    0.000903967 130      1818     
 4507.73 45      3850     0.801816   0.80272    0.000903967 141      1868     
 4518.45 46      4051     0.801818   0.80272    0.000902164 136      1916     
 4518.95 46      4052     0.801818   0.80272    0.000902164 137      1916     
 4519.45 46      4053     0.801818   0.80272    0.000902164 137      1916     
 4519.95 46      4054     0.801818   0.80272    0.000902164 135      1916     
 4523.37 46      4100     0.801818   0.80272    0.000902164 132      1932     
