
Loading the model ...
  input file   : /home/rstudio/pomdpplus/inst/notebook/tuna/3476e194755.pomdpx
  loading time : 15.61s 

SARSOP initializing ...
  initialization time : 4761.24s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4761.24 0       0        0.608666   0.807834   0.199167    150      1        
 4775.84 1       50       0.697567   0.802583   0.105016    180      34       
 4789.84 3       101      0.734532   0.802573   0.0680403   56       50       
 4806.12 4       150      0.744528   0.802572   0.0580441   53       80       
 4820.77 5       243      0.753294   0.802571   0.0492769   110      120      
 4824.89 5       250      0.753294   0.802571   0.0492769   106      127      
 4845.4  7       307      0.774795   0.802524   0.0277296   94       151      
 4866.8  8       363      0.777647   0.802524   0.0248768   89       178      
 4890.31 9       400      0.77874    0.802524   0.0237836   93       199      
 4916.1  11      453      0.785801   0.802518   0.0167171   80       222      
 4953.94 13      500      0.788686   0.80248    0.0137935   78       252      
 4974.84 13      550      0.789375   0.802479   0.0131045   42       284      
 4984.49 14      611      0.791065   0.802479   0.0114148   69       298      
 5011.51 15      651      0.791442   0.802479   0.011037    69       318      
 5064.29 17      717      0.793915   0.802463   0.008548    67       350      
 5099.16 18      750      0.795103   0.802458   0.00735502  65       368      
 5147.54 20      807      0.796337   0.802425   0.00608742  63       393      
 5191.68 21      850      0.796514   0.802425   0.00591053  67       416      
 5231.97 22      900      0.796612   0.802424   0.00581268  74       452      
 5271.21 22      950      0.796612   0.802424   0.00581268  74       502      
 5320.11 23      1115     0.796732   0.802413   0.00568102  128      546      
 5325.03 23      1116     0.796732   0.802413   0.00568102  128      547      
 5329.06 23      1117     0.796732   0.802413   0.00568102  129      548      
 5375.19 24      1150     0.797312   0.802403   0.00509111  131      566      
 5445.68 26      1203     0.797725   0.802387   0.00466179  128      588      
 5540.13 28      1259     0.798232   0.802383   0.00415096  124      615      
 5618.4  29      1300     0.798302   0.802383   0.00408045  129      639      
 5732.61 29      1350     0.798302   0.802383   0.00408045  86       689      
 5811.18 30      1469     0.798685   0.802383   0.00369746  102      719      
 5815.24 30      1470     0.798685   0.802383   0.00369746  103      720      
 5885.89 31      1511     0.798718   0.802383   0.00366448  96       739      
 5980.15 32      1550     0.798748   0.802382   0.00363483  100      761      
 6087.79 34      1600     0.799153   0.802371   0.00321823  96       783      
 6230.72 35      1650     0.799178   0.802371   0.00319259  96       812      
 6345.43 37      1700     0.799217   0.802371   0.00315359  95       831      
 6496.37 39      1753     0.799437   0.802365   0.00292739  94       855      
 6713.15 41      1800     0.799655   0.802355   0.00270008  93       886      
 6830.77 42      1853     0.799669   0.802355   0.00268542  98       902      
 7052.59 44      1911     0.799709   0.802355   0.00264579  93       929      
 7278.1  45      1950     0.79973    0.802355   0.00262498  105      954      
 7475.73 47      2000     0.79981    0.802348   0.00253821  103      975      
 7693.39 49      2059     0.79993    0.80234    0.00241002  94       1000     
 7945.65 50      2100     0.799936   0.80234    0.00240341  99       1024     
 8150.77 51      2150     0.79994    0.80234    0.00239935  111      1060     
 8392.61 51      2200     0.79994    0.80234    0.00239935  105      1110     
 8649.91 51      2250     0.79994    0.80234    0.00239935  104      1160     
